feature,importance
ft_ht_swing_rolling_5,0.10678738
away_gd_5,0.07452966
ht_lead_difference_rolling_5,0.06349151
home_gd_5,0.062981874
home_ga_5,0.03313739
away_xg_performance_rolling_5,0.03131619
is_league_competition,0.027547538
home_lost_lead_rolling_5,0.027510995
away_ga_5,0.026294576
away_clean_sheet_rolling_5,0.0262649
home_clean_sheet_rolling_5,0.025776047
home_xg_performance_rolling_5,0.025312556
home_comeback_win_rolling_5,0.024791477
away_gf_5,0.024757855
home_defensive_efficiency_rolling_5,0.02371432
away_comeback_win_rolling_5,0.023380466
away_lost_lead_rolling_5,0.023356823
home_played,0.021379888
h2h_goal_diff,0.021330863
home_xg_efficiency_rolling_5,0.01970883
away_defensive_efficiency_rolling_5,0.019215794
home_days_rest,0.017090717
away_points,0.0118906805
home_consistency,0.011705919
away_draws,0.011590493
away_wins,0.011478963
home_momentum,0.011437139
home_rank,0.011387683
away_xg_efficiency_rolling_5,0.011154343
away_rank,0.010514863
home_wins,0.00975532
away_form_strength,0.00882289
possession_difference_rolling_5,0.008679353
h2h_away_win_pct,0.008544569
away_losses,0.0069661248
away_pass_accuracy_rolling_5,0.0069194576
away_momentum,0.006804003
home_points,0.006343221
away_played,0.0063226908
home_losses,0.0061407727
home_shot_efficiency_rolling_5,0.005971292
away_shot_efficiency_rolling_5,0.00585441
home_corner_efficiency_rolling_5,0.005723248
away_save_percentage_rolling_5,0.0056747515
away_shot_accuracy_rolling_5,0.0048843343
away_corner_efficiency_rolling_5,0.004708491
away_consistency,0.004648311
home_box_ratio_rolling_5,0.004418979
is_cup_competition,0.004196497
home_ppg_5,0.004110461
away_possession_efficiency_rolling_5,0.003917279
home_shot_accuracy_rolling_5,0.0038059333
away_press_resistance_rolling_5,0.003744963
home_possession_efficiency_rolling_5,0.0035330146
away_match_density,0.003523763
home_pressing_intensity_rolling_5,0.0034356264
home_pass_accuracy_rolling_5,0.0030941053
away_longrange_threat_rolling_5,0.0030482905
home_press_resistance_rolling_5,0.003041536
home_save_percentage_rolling_5,0.002528618
