feature,importance
home_xg_performance_rolling_5,0.19742988
away_xg_performance_rolling_5,0.13069716
home_ga_5,0.096925735
away_gf_5,0.07386723
away_ga_5,0.06793539
away_clean_sheet_rolling_5,0.066347025
home_clean_sheet_rolling_5,0.04193138
away_defensive_efficiency_rolling_5,0.023677966
away_xg_efficiency_rolling_5,0.02051937
away_save_percentage_rolling_5,0.015278664
home_defensive_efficiency_rolling_5,0.01337817
ht_lead_difference_rolling_5,0.012205581
away_shot_accuracy_rolling_5,0.011587388
home_xg_efficiency_rolling_5,0.011319857
h2h_matches,0.009884699
h2h_avg_goals,0.009828734
h2h_home_goals,0.009742314
xg_total_rolling_5,0.00960789
ft_ht_swing_rolling_5,0.008592733
home_shot_accuracy_rolling_5,0.008039782
away_corner_efficiency_rolling_5,0.007815764
home_corner_efficiency_rolling_5,0.0067822454
home_pressing_intensity_rolling_5,0.006778895
home_consistency,0.006239095
away_ppg_5,0.005652696
home_shot_efficiency_rolling_5,0.005573373
h2h_away_goals,0.0055605513
away_lost_lead_rolling_5,0.005348419
away_shot_efficiency_rolling_5,0.0052265353
h2h_draws,0.0051677786
away_box_ratio_rolling_5,0.0050026802
away_losses,0.0049449867
home_press_resistance_rolling_5,0.004592812
away_gd_5,0.00448412
home_possession_efficiency_rolling_5,0.0043828073
away_longrange_threat_rolling_5,0.0043592057
away_possession_efficiency_rolling_5,0.0043110503
home_defensive_pressure_rolling_5,0.00424393
h2h_goal_diff,0.0042320564
home_offside_per_attempt_rolling_5,0.0041310103
home_total_cards_rolling_5,0.004054232
home_save_percentage_rolling_5,0.0040468485
away_shot_quality_rolling_5,0.0039110268
away_press_resistance_rolling_5,0.0038839371
home_pass_accuracy_rolling_5,0.0038207863
away_clearance_efficiency_rolling_5,0.003692013
rest_difference_rolling_5,0.0035959233
home_shot_quality_rolling_5,0.0035885223
away_pressing_intensity_rolling_5,0.0034625463
xg_difference_rolling_5,0.0034353975
away_pass_accuracy_rolling_5,0.003332752
home_box_ratio_rolling_5,0.0033140096
home_longrange_threat_rolling_5,0.0029009373
h2h_streak,0.0026430683
away_momentum,0.002551811
home_clearance_efficiency_rolling_5,0.0021638917
home_comeback_win_rolling_5,0.0019752458
home_momentum,0.0
away_comeback_win_rolling_5,0.0
h2h_home_win_pct,0.0
