feature,importance
home_xg_performance_rolling_5,0.1791253
away_xg_performance_rolling_5,0.117096566
home_ga_5,0.09504342
away_clean_sheet_rolling_5,0.072779424
away_gf_5,0.062143147
away_ga_5,0.054399956
home_clean_sheet_rolling_5,0.04069621
away_defensive_efficiency_rolling_5,0.027043123
home_defensive_efficiency_rolling_5,0.0203683
home_xg_efficiency_rolling_5,0.014456075
xg_total_rolling_5,0.014175624
away_corner_efficiency_rolling_5,0.012848726
away_xg_efficiency_rolling_5,0.0128326025
h2h_avg_goals,0.012696761
home_box_ratio_rolling_5,0.012028484
ht_lead_difference_rolling_5,0.012023587
away_save_percentage_rolling_5,0.011716046
away_comeback_win_rolling_5,0.010518326
h2h_matches,0.010030988
ft_ht_swing_rolling_5,0.009083259
away_shot_accuracy_rolling_5,0.008725958
home_save_percentage_rolling_5,0.007808154
h2h_draws,0.0071682013
home_shot_accuracy_rolling_5,0.0066491603
away_points,0.0064825513
away_shot_efficiency_rolling_5,0.006054435
h2h_home_goals,0.0060264855
home_shot_efficiency_rolling_5,0.0058274344
h2h_away_goals,0.005818315
home_total_cards_rolling_5,0.005798711
away_momentum,0.0056613362
home_corner_efficiency_rolling_5,0.005565395
away_losses,0.0054993876
h2h_away_win_pct,0.0054791053
h2h_league_matches,0.0054625617
home_lost_lead_rolling_5,0.0054385075
home_clearance_efficiency_rolling_5,0.00541877
away_longrange_threat_rolling_5,0.0053336285
h2h_cup_away_wins,0.005140864
away_press_resistance_rolling_5,0.0050479323
home_consistency,0.0050026807
away_pass_accuracy_rolling_5,0.004983255
away_pressing_intensity_rolling_5,0.004892306
away_clearance_efficiency_rolling_5,0.00483006
h2h_goal_diff,0.004703982
home_offside_per_attempt_rolling_5,0.004538757
away_possession_efficiency_rolling_5,0.004427996
away_offside_per_attempt_rolling_5,0.0043932535
home_pass_accuracy_rolling_5,0.0043398268
home_gd_5,0.0041623465
home_press_resistance_rolling_5,0.004076896
rest_difference_rolling_5,0.0039732857
h2h_streak,0.003973117
possession_difference_rolling_5,0.0039664945
home_possession_efficiency_rolling_5,0.003865248
home_shot_quality_rolling_5,0.003456193
home_longrange_threat_rolling_5,0.00323385
away_box_ratio_rolling_5,0.0028619145
xg_difference_rolling_5,0.002805715
away_defensive_pressure_rolling_5,0.0
