feature,importance
ft_ht_swing_rolling_5,0.24520719
ht_lead_difference_rolling_5,0.1414375
away_xg_performance_rolling_5,0.06805327
home_defensive_efficiency_rolling_5,0.06403058
home_xg_performance_rolling_5,0.054502767
away_defensive_efficiency_rolling_5,0.046113804
away_clean_sheet_rolling_5,0.04609806
home_clean_sheet_rolling_5,0.029871685
away_form_strength,0.02162911
home_form_strength,0.021182096
away_corner_efficiency_rolling_5,0.020960268
away_xg_efficiency_rolling_5,0.020943856
home_xg_efficiency_rolling_5,0.018587565
home_shot_efficiency_rolling_5,0.018022118
away_save_percentage_rolling_5,0.01591847
away_shot_efficiency_rolling_5,0.013963894
home_rank,0.0136201335
home_save_percentage_rolling_5,0.013291012
home_match_density,0.012926541
home_goals_diff,0.011674117
home_shot_accuracy_rolling_5,0.011392462
home_corner_efficiency_rolling_5,0.011340417
home_pass_accuracy_rolling_5,0.01080253
away_shot_accuracy_rolling_5,0.010800217
home_press_resistance_rolling_5,0.010102669
away_match_density,0.009926307
away_rank,0.0098998435
away_pressing_intensity_rolling_5,0.009572017
away_offside_per_attempt_rolling_5,0.009252368
xg_difference_rolling_5,0.008877121
