feature,importance
ft_ht_swing_rolling_5,0.119086474
away_gd_5,0.07844829
home_gd_5,0.0708475
ht_lead_difference_rolling_5,0.06638713
away_lost_lead_rolling_5,0.03444541
away_comeback_win_rolling_5,0.03434285
home_defensive_efficiency_rolling_5,0.03141533
away_xg_performance_rolling_5,0.030267917
away_defensive_efficiency_rolling_5,0.028617432
home_xg_performance_rolling_5,0.027786303
home_lost_lead_rolling_5,0.022929918
away_gf_5,0.021483451
home_comeback_win_rolling_5,0.0185257
away_clean_sheet_rolling_5,0.017986566
home_xg_efficiency_rolling_5,0.017726911
away_ga_5,0.016154174
home_corner_efficiency_rolling_5,0.015937682
away_xg_efficiency_rolling_5,0.014673136
home_clean_sheet_rolling_5,0.013723456
home_played,0.012811695
home_rank,0.0122714555
away_wins,0.011656946
possession_difference_rolling_5,0.01136446
home_shot_efficiency_rolling_5,0.011300358
away_form_strength,0.011003765
away_rank,0.010417602
home_points,0.010132138
home_wins,0.009376935
away_shot_efficiency_rolling_5,0.009315585
away_points,0.009259475
is_cup_competition,0.008860825
h2h_cup_home_wins,0.008030864
home_losses,0.0075853597
away_corner_efficiency_rolling_5,0.0075782514
away_losses,0.0068822717
away_pass_accuracy_rolling_5,0.0066477777
home_shot_accuracy_rolling_5,0.0064978716
away_save_percentage_rolling_5,0.006253241
away_defensive_pressure_rolling_5,0.005827868
away_shot_accuracy_rolling_5,0.0057168035
home_possession_efficiency_rolling_5,0.005651046
away_days_rest,0.005590992
away_consistency,0.005565155
away_possession_efficiency_rolling_5,0.0054911077
rest_difference_rolling_5,0.0052926852
home_consistency,0.005192201
home_ppg_5,0.0051178867
home_box_ratio_rolling_5,0.0051000174
h2h_goal_diff,0.005091943
away_press_resistance_rolling_5,0.0050145434
h2h_home_win_pct,0.004888288
home_save_percentage_rolling_5,0.004867805
home_pressing_intensity_rolling_5,0.0048291525
home_match_density,0.0047924696
away_played,0.0047641955
away_offside_per_attempt_rolling_5,0.0046828426
home_cup_experience,0.004534923
home_shot_quality_rolling_5,0.0045348676
away_clearance_efficiency_rolling_5,0.0044552307
away_match_density,0.004197399
away_longrange_threat_rolling_5,0.0039937175
away_europe_experience,0.0039886907
away_pressing_intensity_rolling_5,0.003876536
h2h_home_goals,0.00363869
h2h_streak,0.003636403
xg_total_rolling_5,0.0031207085
home_pass_accuracy_rolling_5,0.0030382997
home_longrange_threat_rolling_5,0.002770035
h2h_avg_goals,0.002704982
home_momentum,0.0
