feature_type,feature_name
numerical,month
numerical,day_of_month
numerical,day_of_week
numerical,is_weekend
numerical,season_quarter
numerical,home_days_since_last_match
numerical,home_rest_ratio
numerical,home_match_density
numerical,away_days_since_last_match
numerical,away_rest_ratio
numerical,away_match_density
numerical,is_holiday
numerical,is_night_match
numerical,time_of_day
numerical,home_rank
numerical,home_points
numerical,home_goals_diff
numerical,home_played
numerical,home_wins
numerical,home_draws
numerical,home_losses
numerical,home_goals_for
numerical,home_goals_against
numerical,home_days_rest
numerical,home_form_strength
numerical,away_rank
numerical,away_points
numerical,away_goals_diff
numerical,away_played
numerical,away_wins
numerical,away_draws
numerical,away_losses
numerical,away_goals_for
numerical,away_goals_against
numerical,away_days_rest
numerical,away_form_strength
numerical,away_shot_quality_rolling_5
numerical,ft_ht_swing_rolling_5
numerical,home_shot_accuracy_rolling_5
numerical,home_pass_accuracy_rolling_5
numerical,home_clearance_efficiency_rolling_5
numerical,home_defensive_efficiency_rolling_5
numerical,away_lost_lead_rolling_5
numerical,away_corner_efficiency_rolling_5
numerical,away_clearance_efficiency_rolling_5
numerical,away_box_ratio_rolling_5
numerical,away_xg_efficiency_rolling_5
numerical,home_shot_efficiency_rolling_5
numerical,away_xg_performance_rolling_5
numerical,home_save_percentage_rolling_5
numerical,xg_difference_rolling_5
numerical,home_lost_lead_rolling_5
numerical,home_total_cards_rolling_5
numerical,home_press_resistance_rolling_5
numerical,home_pressing_intensity_rolling_5
numerical,away_shot_accuracy_rolling_5
numerical,away_defensive_pressure_rolling_5
numerical,away_pass_accuracy_rolling_5
numerical,away_possession_efficiency_rolling_5
numerical,away_press_resistance_rolling_5
numerical,away_pressing_intensity_rolling_5
numerical,away_longrange_threat_rolling_5
numerical,discipline_difference_rolling_5
numerical,home_comeback_win_rolling_5
numerical,home_defensive_pressure_rolling_5
numerical,home_offside_per_attempt_rolling_5
numerical,away_offside_per_attempt_rolling_5
numerical,away_defensive_efficiency_rolling_5
numerical,away_clean_sheet_rolling_5
numerical,home_box_ratio_rolling_5
numerical,home_possession_efficiency_rolling_5
numerical,away_comeback_win_rolling_5
numerical,home_xg_efficiency_rolling_5
numerical,possession_difference_rolling_5
numerical,rest_difference_rolling_5
numerical,home_shot_quality_rolling_5
numerical,xg_total_rolling_5
numerical,away_total_cards_rolling_5
numerical,home_clean_sheet_rolling_5
numerical,home_longrange_threat_rolling_5
numerical,away_save_percentage_rolling_5
numerical,away_shot_efficiency_rolling_5
numerical,ht_lead_difference_rolling_5
numerical,home_corner_efficiency_rolling_5
numerical,home_xg_performance_rolling_5
