fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
164174,1359,Luton,https://media.api-sports.io/football/teams/1359.png,4,3,12,5,9,3,14,8,2,49%,2,,5,299,218,73%
164174,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,8,5,17,4,8,9,20,11,2,51%,2,,1,304,227,75%
164179,53,Reading,https://media.api-sports.io/football/teams/53.png,4,6,14,4,8,6,12,7,1,59%,0,0,2,490,392,80%
164179,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,5,6,13,2,8,5,15,3,0,41%,3,1,2,335,257,77%
164177,55,Brentford,https://media.api-sports.io/football/teams/55.png,3,9,15,3,10,5,10,6,0,75%,1,,0,718,615,86%
164177,54,Birmingham,https://media.api-sports.io/football/teams/54.png,1,0,1,0,0,1,12,2,2,25%,3,,3,234,129,55%
164178,58,Millwall,https://media.api-sports.io/football/teams/58.png,3,4,11,4,6,5,11,8,1,37%,2,,0,226,121,54%
164178,59,Preston,https://media.api-sports.io/football/teams/59.png,1,4,5,0,4,1,18,7,2,63%,3,,2,401,306,76%
164182,61,Wigan,https://media.api-sports.io/football/teams/61.png,4,3,12,5,6,6,9,6,0,56%,2,,2,326,223,68%
164182,43,Cardiff,https://media.api-sports.io/football/teams/43.png,4,5,13,4,10,3,15,6,2,44%,4,,1,249,152,61%
164176,67,Blackburn,https://media.api-sports.io/football/teams/67.png,2,6,14,6,7,7,15,12,5,62%,0,,3,449,353,79%
164176,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,5,2,9,2,6,3,13,2,2,38%,3,,1,288,185,64%
164180,75,Stoke City,https://media.api-sports.io/football/teams/75.png,1,10,12,1,9,3,18,7,0,55%,1,,1,418,307,73%
164180,72,QPR,https://media.api-sports.io/football/teams/72.png,3,2,6,1,4,2,14,0,3,45%,3,,0,352,252,72%
164181,76,Swansea,https://media.api-sports.io/football/teams/76.png,8,6,19,5,14,5,9,10,2,63%,3,,3,580,482,83%
164181,64,Hull City,https://media.api-sports.io/football/teams/64.png,4,4,12,4,5,7,10,4,1,37%,2,,6,340,237,70%
164175,747,Barnsley,https://media.api-sports.io/football/teams/747.png,4,9,17,4,10,7,16,7,2,45%,3,,3,343,261,76%
164175,36,Fulham,https://media.api-sports.io/football/teams/36.png,4,8,15,3,9,6,14,5,1,55%,1,,2,415,315,76%
164183,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,4,7,15,4,6,9,8,9,2,45%,0,,1,384,302,79%
164183,60,West Brom,https://media.api-sports.io/football/teams/60.png,3,5,12,4,7,5,6,5,0,55%,1,,3,481,383,80%
164184,56,Bristol City,https://media.api-sports.io/football/teams/56.png,3,6,13,4,7,6,8,4,0,40%,3,,1,362,263,73%
164184,63,Leeds,https://media.api-sports.io/football/teams/63.png,4,8,18,6,9,9,12,6,1,60%,2,,2,533,429,80%
164185,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,2,8,14,4,6,8,18,8,0,53%,,,1,451,357,79%
164185,69,Derby,https://media.api-sports.io/football/teams/69.png,3,3,11,5,4,7,14,0,3,47%,,,1,401,321,80%
164192,63,Leeds,https://media.api-sports.io/football/teams/63.png,4,7,15,4,12,3,12,10,2,68%,2,,0,579,468,81%
164192,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,1,5,6,0,3,3,12,3,1,32%,2,,3,273,170,62%
164190,36,Fulham,https://media.api-sports.io/football/teams/36.png,2,8,12,2,4,8,9,5,2,59%,0,,,526,435,83%
164190,67,Blackburn,https://media.api-sports.io/football/teams/67.png,0,7,10,3,5,5,15,5,1,41%,2,,,346,250,72%
164187,43,Cardiff,https://media.api-sports.io/football/teams/43.png,5,6,17,6,11,6,13,3,2,37%,2,,1,280,158,56%
164187,1359,Luton,https://media.api-sports.io/football/teams/1359.png,2,6,8,0,6,2,11,3,2,63%,2,,2,469,347,74%
164186,54,Birmingham,https://media.api-sports.io/football/teams/54.png,3,8,13,2,9,4,6,5,1,47%,2,,4,431,326,76%
164186,56,Bristol City,https://media.api-sports.io/football/teams/56.png,5,2,8,1,7,1,11,8,0,53%,3,,2,485,380,78%
164194,59,Preston,https://media.api-sports.io/football/teams/59.png,4,6,16,6,9,7,13,8,,49%,1,,6,368,274,74%
164194,61,Wigan,https://media.api-sports.io/football/teams/61.png,6,3,12,3,4,8,18,7,,51%,2,,1,361,267,74%
164197,60,West Brom,https://media.api-sports.io/football/teams/60.png,4,2,11,5,5,6,17,8,1,72%,1,,1,595,527,89%
164197,58,Millwall,https://media.api-sports.io/football/teams/58.png,2,6,9,1,6,3,15,1,0,28%,2,,3,222,138,62%
164191,64,Hull City,https://media.api-sports.io/football/teams/64.png,5,4,14,5,10,4,23,5,2,35%,2,,3,282,189,67%
164191,53,Reading,https://media.api-sports.io/football/teams/53.png,4,6,13,3,10,3,12,7,1,65%,2,,3,518,430,83%
164189,69,Derby,https://media.api-sports.io/football/teams/69.png,3,9,17,5,14,3,8,8,0,58%,2,,3,479,388,81%
164189,76,Swansea,https://media.api-sports.io/football/teams/76.png,3,6,13,4,6,7,14,3,1,42%,1,,3,348,258,74%
164193,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,5,7,14,2,6,8,10,7,5,53%,0,,1,428,323,75%
164193,55,Brentford,https://media.api-sports.io/football/teams/55.png,2,5,9,2,8,1,17,3,1,47%,1,,5,377,268,71%
164195,72,QPR,https://media.api-sports.io/football/teams/72.png,5,5,17,7,9,8,14,7,3,63%,2,,3,478,389,81%
164195,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,4,1,6,1,2,4,20,0,2,37%,5,,4,287,200,70%
164196,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,7,5,16,4,9,7,10,6,2,36%,1,,2,276,173,63%
164196,747,Barnsley,https://media.api-sports.io/football/teams/747.png,3,6,11,2,9,2,22,4,1,64%,1,,5,492,382,78%
164188,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,3,1,5,1,3,2,10,1,1,45%,,,2,391,291,74%
164188,75,Stoke City,https://media.api-sports.io/football/teams/75.png,3,8,12,1,8,4,11,4,3,55%,,,0,461,372,81%
164202,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,1,1,6,4,2,4,13,5,1,34%,2,,6,351,265,75%
164202,36,Fulham,https://media.api-sports.io/football/teams/36.png,8,3,17,6,14,3,14,5,1,66%,2,,0,669,593,89%
164200,55,Brentford,https://media.api-sports.io/football/teams/55.png,4,7,15,4,13,2,18,5,0,55%,1,,3,452,356,79%
164200,64,Hull City,https://media.api-sports.io/football/teams/64.png,4,8,20,8,9,11,11,4,2,45%,1,,3,355,250,70%
164201,56,Bristol City,https://media.api-sports.io/football/teams/56.png,3,3,9,3,8,1,11,3,1,43%,2,,2,338,250,74%
164201,72,QPR,https://media.api-sports.io/football/teams/72.png,2,8,15,5,7,8,11,6,0,57%,2,,1,438,350,80%
164204,58,Millwall,https://media.api-sports.io/football/teams/58.png,2,1,3,0,3,0,6,6,3,31%,1,1,9,225,127,56%
164204,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,9,8,21,4,10,11,16,4,3,69%,1,0,1,501,423,84%
164209,61,Wigan,https://media.api-sports.io/football/teams/61.png,2,2,6,2,2,4,17,6,0,23%,5,1,4,172,92,53%
164209,63,Leeds,https://media.api-sports.io/football/teams/63.png,6,11,20,3,16,4,19,6,3,77%,2,0,2,559,486,87%
164205,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,5,6,14,3,11,3,8,3,3,46%,0,,2,414,307,74%
164205,54,Birmingham,https://media.api-sports.io/football/teams/54.png,2,5,9,2,5,4,10,6,0,54%,2,,2,471,356,76%
164199,67,Blackburn,https://media.api-sports.io/football/teams/67.png,4,6,15,5,10,5,16,9,4,47%,5,,2,306,193,63%
164199,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,2,7,9,0,3,6,11,2,1,53%,3,,3,341,243,71%
164207,75,Stoke City,https://media.api-sports.io/football/teams/75.png,5,9,22,8,18,4,13,10,1,50%,3,,4,377,290,77%
164207,69,Derby,https://media.api-sports.io/football/teams/69.png,6,1,9,2,5,4,17,5,1,50%,3,,3,389,290,75%
164208,76,Swansea,https://media.api-sports.io/football/teams/76.png,4,5,12,3,9,3,12,4,1,49%,0,,3,410,319,78%
164208,59,Preston,https://media.api-sports.io/football/teams/59.png,5,5,17,7,12,5,10,9,0,51%,1,,1,409,299,73%
164198,747,Barnsley,https://media.api-sports.io/football/teams/747.png,3,4,13,6,7,6,15,4,1,55%,4,,3,358,244,68%
164198,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,5,3,11,3,11,0,21,2,2,45%,3,,1,292,176,60%
