fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,penalty_home,penalty_away
592892,2020-09-11 18:45:00+00:00,1599849900,FT,90,1599849900,1599853500,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Vicarage Road,Watford,596,K. Stroud,Watford,38,https://media.api-sports.io/football/teams/38.png,True,Middlesbrough,70,https://media.api-sports.io/football/teams/70.png,False,1,0,1,0,1,0,,
592884,2020-09-12 11:30:00+00:00,1599910200,FT,90,1599910200,1599913800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,St Andrew's Trillion Trophy Stadium,Birmingham,499,T. Harrington,Birmingham,54,https://media.api-sports.io/football/teams/54.png,True,Brentford,55,https://media.api-sports.io/football/teams/55.png,False,1,0,1,0,1,0,,
592893,2020-09-12 11:30:00+00:00,1599910200,FT,90,1599910200,1599913800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Adams Park,"High Wycombe, Buckinghamshire",602,J. Linington,Wycombe,1358,https://media.api-sports.io/football/teams/1358.png,False,Rotherham,73,https://media.api-sports.io/football/teams/73.png,True,0,1,0,0,0,1,,
592882,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Vitality Stadium,"Bournemouth, Dorset",504,G. Ward,Bournemouth,35,https://media.api-sports.io/football/teams/35.png,True,Blackburn,67,https://media.api-sports.io/football/teams/67.png,False,3,2,1,1,3,2,,
592888,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,John Smith's Stadium,"Huddersfield, West Yorkshire",543,G. Eltringham,Huddersfield,37,https://media.api-sports.io/football/teams/37.png,False,Norwich,71,https://media.api-sports.io/football/teams/71.png,True,0,1,0,0,0,1,,
592886,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Cardiff City Stadium,Caerdydd,516,A. Madley,Cardiff,43,https://media.api-sports.io/football/teams/43.png,False,Sheffield Wednesday,74,https://media.api-sports.io/football/teams/74.png,True,0,2,0,2,0,2,,
592885,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Ashton Gate,Bristol,509,J. Brooks,Bristol City,56,https://media.api-sports.io/football/teams/56.png,True,Coventry,1346,https://media.api-sports.io/football/teams/1346.png,False,2,1,1,1,2,1,,
592889,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,The Den,London,559,J. Simpson,Millwall,58,https://media.api-sports.io/football/teams/58.png,,Stoke City,75,https://media.api-sports.io/football/teams/75.png,,0,0,0,0,0,0,,
592890,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Deepdale,Preston,574,R. Jones,Preston,59,https://media.api-sports.io/football/teams/59.png,False,Swansea,76,https://media.api-sports.io/football/teams/76.png,True,0,1,0,0,0,1,,
592887,2020-09-12 14:00:00+00:00,1599919200,FT,90,1599919200,1599922800,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2020,Regular Season - 1,Pride Park Stadium,Derby,527,D. Bond,Derby,69,https://media.api-sports.io/football/teams/69.png,False,Reading,53,https://media.api-sports.io/football/teams/53.png,True,0,2,0,2,0,2,,
