fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1047434,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,1,4,8,3,6,2,12,3,2,20%,4,,4,236,171,72%,0.56,
1047434,41,Southampton,https://media.api-sports.io/football/teams/41.png,7,7,23,9,14,9,10,6,0,80%,4,,0,987,930,94%,1.39,
1047442,38,Watford,https://media.api-sports.io/football/teams/38.png,12,9,23,2,14,9,8,8,1,71%,1,,1,602,522,87%,2.67,
1047442,72,QPR,https://media.api-sports.io/football/teams/72.png,1,0,4,3,3,1,15,2,1,29%,2,,8,241,149,62%,0.40,
1047436,56,Bristol City,https://media.api-sports.io/football/teams/56.png,2,2,5,1,4,1,10,2,1,47%,0,,2,425,279,66%,0.90,
1047436,59,Preston,https://media.api-sports.io/football/teams/59.png,3,6,11,2,7,4,11,4,2,53%,1,,1,480,326,68%,1.06,
1047435,67,Blackburn,https://media.api-sports.io/football/teams/67.png,3,4,12,5,11,1,11,6,2,59%,4,,3,521,421,81%,1.45,
1047435,60,West Brom,https://media.api-sports.io/football/teams/60.png,4,4,14,6,10,4,11,5,2,41%,3,,1,345,242,70%,0.83,
1047437,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,2,9,16,5,9,7,3,12,1,68%,1,,1,740,645,87%,0.74,
1047437,58,Millwall,https://media.api-sports.io/football/teams/58.png,2,6,12,4,8,4,8,6,1,32%,3,,2,348,245,70%,1.23,
1047438,71,Norwich,https://media.api-sports.io/football/teams/71.png,5,14,28,9,19,9,14,9,6,57%,2,,2,549,468,85%,2.58,
1047438,64,Hull City,https://media.api-sports.io/football/teams/64.png,3,1,8,4,4,4,12,4,0,43%,5,,2,431,344,80%,0.37,
1047440,75,Stoke City,https://media.api-sports.io/football/teams/75.png,6,3,15,6,12,3,12,10,1,71%,5,0,2,550,440,80%,2.42,
1047440,73,Rotherham,https://media.api-sports.io/football/teams/73.png,3,2,6,1,4,2,10,2,2,29%,5,1,2,233,131,56%,0.86,
1047441,76,Swansea,https://media.api-sports.io/football/teams/76.png,6,4,11,1,7,4,9,5,2,59%,1,,4,510,403,79%,1.37,
1047441,54,Birmingham,https://media.api-sports.io/football/teams/54.png,5,6,11,0,7,4,12,5,1,41%,4,,4,342,254,74%,0.77,
1047439,1357,Plymouth,https://media.api-sports.io/football/teams/1357.png,7,1,14,6,9,5,9,2,1,52%,1,,2,334,228,68%,2.17,
1047439,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,3,8,15,4,10,5,15,8,2,48%,0,,4,275,186,68%,2.02,
1047443,46,Leicester,https://media.api-sports.io/football/teams/46.png,7,6,20,7,11,9,11,5,2,65%,3,,5,642,571,89%,1.51,
1047443,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,6,8,20,6,11,9,13,8,2,35%,2,,5,332,262,79%,1.86,
1047444,63,Leeds,https://media.api-sports.io/football/teams/63.png,6,7,25,12,19,6,8,10,6,72%,2,,0,714,619,87%,1.77,
