fixture_id,bet_name,bet_value,bet_odd
1386568,Match Winner,Home,3.50
1386568,Match Winner,Draw,3.25
1386568,Match Winner,Away,2.15
1386568,Second Half Winner,Home,3.60
1386568,Second Half Winner,Draw,2.25
1386568,Second Half Winner,Away,2.50
1386568,Goals Over/Under,Over 1.5,1.44
1386568,Goals Over/Under,Under 1.5,2.75
1386568,Goals Over/Under,Over 2.5,2.38
1386568,Goals Over/Under,Under 2.5,1.57
1386568,Goals Over/Under,Over 3.5,4.50
1386568,Goals Over/Under,Under 3.5,1.20
1386568,Goals Over/Under,Over 0.5,1.10
1386568,Goals Over/Under,Under 0.5,7.00
1386568,Goals Over/Under,Over 4.5,10.00
1386568,Goals Over/Under,Under 4.5,1.06
1386568,Goals Over/Under,Over 5.5,21.00
1386568,Goals Over/Under,Under 5.5,1.01
1386568,Goals Over/Under,Over 6.5,51.00
1386568,Goals Over/Under,Under 6.5,1.00
1386568,HT/FT Double,Home/Draw,15.00
1386568,HT/FT Double,Home/Away,29.00
1386568,HT/FT Double,Draw/Away,5.00
1386568,HT/FT Double,Draw/Draw,4.50
1386568,HT/FT Double,Home/Home,6.00
1386568,HT/FT Double,Draw/Home,7.50
1386568,HT/FT Double,Away/Home,34.00
1386568,HT/FT Double,Away/Draw,15.00
1386568,HT/FT Double,Away/Away,3.50
1386568,Double Chance,Home/Draw,1.67
1386568,Double Chance,Home/Away,1.33
1386568,Double Chance,Draw/Away,1.28
1386568,First Half Winner,Home,4.33
1386568,First Half Winner,Draw,2.00
1386568,First Half Winner,Away,2.88
1386565,Match Winner,Home,2.45
1386565,Match Winner,Draw,3.40
1386565,Match Winner,Away,2.75
1386565,Second Half Winner,Home,2.75
1386565,Second Half Winner,Draw,2.40
1386565,Second Half Winner,Away,3.00
1386565,Goals Over/Under,Over 1.5,1.30
1386565,Goals Over/Under,Under 1.5,3.50
1386565,Goals Over/Under,Over 2.5,1.91
1386565,Goals Over/Under,Under 2.5,1.91
1386565,Goals Over/Under,Over 3.5,3.40
1386565,Goals Over/Under,Under 3.5,1.33
1386565,Goals Over/Under,Over 0.5,1.06
1386565,Goals Over/Under,Under 0.5,10.00
1386565,Goals Over/Under,Over 4.5,6.50
1386565,Goals Over/Under,Under 4.5,1.11
1386565,Goals Over/Under,Over 7.5,51.00
1386565,Goals Over/Under,Under 7.5,1.00
1386565,Goals Over/Under,Over 5.5,13.00
1386565,Goals Over/Under,Under 5.5,1.04
1386565,Goals Over/Under,Over 6.5,26.00
1386565,Goals Over/Under,Under 6.5,1.01
1386565,HT/FT Double,Home/Draw,13.00
1386565,HT/FT Double,Home/Away,29.00
1386565,HT/FT Double,Draw/Away,6.50
1386565,HT/FT Double,Draw/Draw,5.50
1386565,HT/FT Double,Home/Home,4.00
1386565,HT/FT Double,Draw/Home,6.00
1386565,HT/FT Double,Away/Home,26.00
1386565,HT/FT Double,Away/Draw,15.00
1386565,HT/FT Double,Away/Away,4.50
1386565,Double Chance,Home/Draw,1.40
1386565,Double Chance,Home/Away,1.30
1386565,Double Chance,Draw/Away,1.53
1386565,First Half Winner,Home,3.10
1386565,First Half Winner,Draw,2.20
1386565,First Half Winner,Away,3.25
1386564,Match Winner,Home,2.75
1386564,Match Winner,Draw,3.20
1386564,Match Winner,Away,2.62
1386564,Second Half Winner,Home,3.00
1386564,Second Half Winner,Draw,2.30
1386564,Second Half Winner,Away,2.88
1386564,Goals Over/Under,Over 1.5,1.40
1386564,Goals Over/Under,Under 1.5,3.00
1386564,Goals Over/Under,Over 2.5,2.20
1386564,Goals Over/Under,Under 2.5,1.67
1386564,Goals Over/Under,Over 3.5,4.00
1386564,Goals Over/Under,Under 3.5,1.25
1386564,Goals Over/Under,Over 0.5,1.08
1386564,Goals Over/Under,Under 0.5,8.00
1386564,Goals Over/Under,Over 4.5,8.00
1386564,Goals Over/Under,Under 4.5,1.08
1386564,Goals Over/Under,Over 5.5,17.00
1386564,Goals Over/Under,Under 5.5,1.02
1386564,Goals Over/Under,Over 6.5,34.00
1386564,Goals Over/Under,Under 6.5,1.00
1386564,HT/FT Double,Home/Draw,15.00
1386564,HT/FT Double,Home/Away,29.00
1386564,HT/FT Double,Draw/Away,6.00
1386564,HT/FT Double,Draw/Draw,4.75
1386564,HT/FT Double,Home/Home,4.50
1386564,HT/FT Double,Draw/Home,6.00
1386564,HT/FT Double,Away/Home,29.00
1386564,HT/FT Double,Away/Draw,15.00
1386564,HT/FT Double,Away/Away,4.33
1386564,Double Chance,Home/Draw,1.44
1386564,Double Chance,Home/Away,1.36
1386564,Double Chance,Draw/Away,1.40
1386564,First Half Winner,Home,3.40
1386564,First Half Winner,Draw,2.05
1386564,First Half Winner,Away,3.25
1386571,Match Winner,Home,1.95
1386571,Match Winner,Draw,3.50
1386571,Match Winner,Away,3.90
1386571,Second Half Winner,Home,2.30
1386571,Second Half Winner,Draw,2.40
1386571,Second Half Winner,Away,3.75
1386571,Goals Over/Under,Over 1.5,1.33
1386571,Goals Over/Under,Under 1.5,3.40
1386571,Goals Over/Under,Over 2.5,2.00
1386571,Goals Over/Under,Under 2.5,1.80
1386571,Goals Over/Under,Over 3.5,3.50
1386571,Goals Over/Under,Under 3.5,1.30
1386571,Goals Over/Under,Over 0.5,1.06
1386571,Goals Over/Under,Under 0.5,9.50
1386571,Goals Over/Under,Over 4.5,7.00
1386571,Goals Over/Under,Under 4.5,1.10
1386571,Goals Over/Under,Over 5.5,15.00
1386571,Goals Over/Under,Under 5.5,1.03
1386571,Goals Over/Under,Over 6.5,29.00
1386571,Goals Over/Under,Under 6.5,1.01
1386571,HT/FT Double,Home/Draw,13.00
1386571,HT/FT Double,Home/Away,34.00
1386571,HT/FT Double,Draw/Away,8.00
1386571,HT/FT Double,Draw/Draw,5.00
1386571,HT/FT Double,Home/Home,3.20
1386571,HT/FT Double,Draw/Home,5.00
1386571,HT/FT Double,Away/Home,23.00
1386571,HT/FT Double,Away/Draw,15.00
