rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,75,Stoke City,https://media.api-sports.io/football/teams/75.png,6,5,Championship,WW,same,Promotion - Premier League,2,2,0,0,6,1,1,1,0,0,3,1,1,1,0,0,3,0
2,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,6,4,Championship,WW,same,Promotion - Premier League,2,2,0,0,4,0,1,1,0,0,1,0,1,1,0,0,3,0
3,60,West Brom,https://media.api-sports.io/football/teams/60.png,6,2,Championship,WW,same,Promotion - Championship (Play Offs: Semi-finals),2,2,0,0,4,2,1,1,0,0,1,0,1,1,0,0,3,2
4,56,Bristol City,https://media.api-sports.io/football/teams/56.png,4,3,Championship,DW,same,Promotion - Championship (Play Offs: Semi-finals),2,1,1,0,4,1,1,0,1,0,0,0,1,1,0,0,4,1
5,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,4,2,Championship,WD,same,Promotion - Championship (Play Offs: Semi-finals),2,1,1,0,5,3,1,0,1,0,0,0,1,1,0,0,5,3
6,54,Birmingham,https://media.api-sports.io/football/teams/54.png,4,1,Championship,WD,same,Promotion - Championship (Play Offs: Semi-finals),2,1,1,0,3,2,1,0,1,0,1,1,1,1,0,0,2,1
7,64,Hull City,https://media.api-sports.io/football/teams/64.png,4,1,Championship,WD,same,,2,1,1,0,3,2,1,1,0,0,3,2,1,0,1,0,0,0
8,59,Preston,https://media.api-sports.io/football/teams/59.png,4,1,Championship,WD,same,,2,1,1,0,3,2,1,1,0,0,2,1,1,0,1,0,1,1
9,41,Southampton,https://media.api-sports.io/football/teams/41.png,4,1,Championship,DW,same,,2,1,1,0,3,2,1,1,0,0,2,1,1,0,1,0,1,1
10,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,4,1,Championship,DW,same,,2,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
11,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,0,Championship,LW,same,,2,1,0,1,3,3,1,1,0,0,2,1,1,0,0,1,1,2
12,71,Norwich,https://media.api-sports.io/football/teams/71.png,3,0,Championship,WL,same,,2,1,0,1,3,3,1,0,0,1,1,2,1,1,0,0,2,1
13,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,3,0,Championship,LW,same,,2,1,0,1,2,2,1,0,0,1,1,2,1,1,0,0,1,0
14,38,Watford,https://media.api-sports.io/football/teams/38.png,3,0,Championship,WL,same,,2,1,0,1,2,2,1,1,0,0,2,1,1,0,0,1,0,1
15,76,Swansea,https://media.api-sports.io/football/teams/76.png,3,0,Championship,WL,same,,2,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1
16,58,Millwall,https://media.api-sports.io/football/teams/58.png,3,-2,Championship,LW,same,,2,1,0,1,2,4,1,0,0,1,0,3,1,1,0,0,2,1
17,57,Ipswich,https://media.api-sports.io/football/teams/57.png,2,0,Championship,DD,same,,2,0,2,0,2,2,1,0,1,0,1,1,1,0,1,0,1,1
18,72,QPR,https://media.api-sports.io/football/teams/72.png,1,-1,Championship,LD,same,,2,0,1,1,2,3,1,0,1,0,1,1,1,0,0,1,1,2
19,1837,Wrexham,https://media.api-sports.io/football/teams/1837.png,0,-2,Championship,LL,same,,2,0,0,2,3,5,1,0,0,1,2,3,1,0,0,1,1,2
20,1338,Oxford United,https://media.api-sports.io/football/teams/1338.png,0,-2,Championship,LL,same,,2,0,0,2,2,4,1,0,0,1,0,1,1,0,0,1,2,3
21,67,Blackburn,https://media.api-sports.io/football/teams/67.png,0,-2,Championship,LL,same,,2,0,0,2,1,3,1,0,0,1,1,2,1,0,0,1,0,1
22,69,Derby,https://media.api-sports.io/football/teams/69.png,0,-4,Championship,LL,same,Relegation - League One,2,0,0,2,4,8,1,0,0,1,3,5,1,0,0,1,1,3
23,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,0,-4,Championship,LL,same,Relegation - League One,2,0,0,2,1,5,1,0,0,1,1,4,1,0,0,1,0,1
24,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,0,-4,Championship,LL,same,Relegation - League One,2,0,0,2,1,5,1,0,0,1,0,3,1,0,0,1,1,2
