fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
734763,1340,Scunthorpe,https://media.api-sports.io/football/teams/1340.png,1,5,7,1,5,2,7,1,4,28%,0,,4,269,203,75%
734763,7197,Manchester City U21,https://media.api-sports.io/football/teams/7197.png,7,1,17,9,8,9,5,11,2,72%,1,,1,709,650,92%
734764,1364,Exeter City,https://media.api-sports.io/football/teams/1364.png,2,1,4,1,4,0,12,2,5,36%,1,,1,365,285,78%
734764,7192,Chelsea U21,https://media.api-sports.io/football/teams/7192.png,2,8,14,4,10,4,4,5,1,64%,0,,1,667,583,87%
734829,1379,Lincoln,https://media.api-sports.io/football/teams/1379.png,7,7,19,5,13,6,8,6,2,44%,1,0,0,468,392,84%
734829,7198,Manchester United U21,https://media.api-sports.io/football/teams/7198.png,2,5,11,4,7,4,17,4,0,56%,2,1,3,596,538,90%
734769,61,Wigan,https://media.api-sports.io/football/teams/61.png,4,3,8,1,4,4,12,3,1,55%,2,,3,546,476,87%
734769,7204,Wolves U21,https://media.api-sports.io/football/teams/7204.png,3,3,6,0,2,4,7,0,1,45%,1,,4,453,370,82%
734770,68,Bolton,https://media.api-sports.io/football/teams/68.png,4,4,11,3,4,7,10,2,2,55%,4,,2,556,470,85%
734770,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,4,4,10,2,8,2,9,3,0,45%,0,,1,455,351,77%
734773,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,9,15,29,5,19,10,8,12,4,67%,2,,0,630,564,90%
734773,7199,Newcastle United U21,https://media.api-sports.io/football/teams/7199.png,0,2,2,0,1,1,12,0,1,33%,3,,4,319,246,77%
734774,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,1,2,4,1,2,2,15,3,0,41%,1,,6,391,308,79%
734774,1348,Milton Keynes Dons,https://media.api-sports.io/football/teams/1348.png,9,1,13,3,5,8,7,0,1,59%,1,,1,606,523,86%
734777,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,4,9,17,4,10,7,11,9,2,47%,,,3,389,304,78%
734777,1372,Cheltenham,https://media.api-sports.io/football/teams/1372.png,3,7,12,2,7,5,5,2,1,53%,,,2,458,350,76%
734779,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,5,7,16,4,11,5,11,6,,50%,1,,5,411,321,78%
734779,1362,Crawley Town,https://media.api-sports.io/football/teams/1362.png,6,3,17,8,9,8,8,6,,50%,0,,0,416,318,76%
734771,1339,Rochdale,https://media.api-sports.io/football/teams/1339.png,9,5,14,0,9,5,6,3,1,50%,,,3,489,395,81%
734771,7196,Liverpool U21,https://media.api-sports.io/football/teams/7196.png,3,4,8,1,6,2,8,4,3,50%,,,5,507,417,82%
734772,1343,Bradford,https://media.api-sports.io/football/teams/1343.png,3,6,14,5,11,3,9,3,1,45%,0,,0,490,407,83%
734772,1379,Lincoln,https://media.api-sports.io/football/teams/1379.png,3,2,7,2,6,1,8,4,4,55%,2,,2,601,514,86%
734767,1349,Oldham,https://media.api-sports.io/football/teams/1349.png,1,4,7,2,3,4,10,1,2,49%,0,,3,441,349,79%
734767,1844,Salford City,https://media.api-sports.io/football/teams/1844.png,3,10,15,2,5,10,12,7,0,51%,2,,0,450,361,80%
734768,1352,Shrewsbury,https://media.api-sports.io/football/teams/1352.png,2,3,7,2,6,1,22,5,4,44%,2,,2,380,303,80%
734768,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,3,5,9,1,7,2,3,3,1,56%,0,,2,504,408,81%
734775,1358,Wycombe,https://media.api-sports.io/football/teams/1358.png,7,6,17,4,13,4,16,10,0,49%,2,,4,288,169,59%
734775,7190,Aston Villa U21,https://media.api-sports.io/football/teams/7190.png,5,7,16,4,12,4,10,8,6,51%,1,,3,312,219,70%
734791,1367,Newport County,https://media.api-sports.io/football/teams/1367.png,6,5,13,2,5,8,11,8,0,58%,3,,2,483,396,82%
734791,1357,Plymouth,https://media.api-sports.io/football/teams/1357.png,1,5,7,1,6,1,8,5,2,42%,2,,5,349,257,74%
734780,1370,Cambridge United,https://media.api-sports.io/football/teams/1370.png,8,11,24,5,16,8,6,8,2,59%,1,0,5,531,459,86%
734780,1338,Oxford United,https://media.api-sports.io/football/teams/1338.png,7,4,15,4,8,7,16,3,0,41%,2,1,7,382,316,83%
734766,1371,Carlisle,https://media.api-sports.io/football/teams/1371.png,5,3,14,6,8,6,11,8,1,49%,1,,1,355,221,62%
734766,1366,Hartlepool,https://media.api-sports.io/football/teams/1366.png,4,4,11,3,8,3,13,2,2,51%,1,,2,373,223,60%
734776,1378,Forest Green,https://media.api-sports.io/football/teams/1378.png,2,6,15,7,13,2,16,9,2,56%,0,,3,401,289,72%
734776,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,4,1,6,1,3,3,15,3,2,44%,3,,2,322,208,65%
734783,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,6,8,16,2,10,6,10,0,,62%,2,,3,556,432,78%
734783,7195,Leicester City U21,https://media.api-sports.io/football/teams/7195.png,4,3,12,5,7,5,12,3,,38%,2,,2,342,235,69%
734782,1360,Accrington ST,https://media.api-sports.io/football/teams/1360.png,6,3,10,1,8,2,13,7,1,58%,1,,2,386,271,70%
734782,1819,Barrow,https://media.api-sports.io/football/teams/1819.png,5,3,8,0,8,0,11,3,2,42%,0,,4,281,175,62%
734784,1842,Harrogate Town,https://media.api-sports.io/football/teams/1842.png,8,9,20,3,11,9,13,5,2,51%,4,,2,404,287,71%
734784,1374,Mansfield Town,https://media.api-sports.io/football/teams/1374.png,3,4,11,4,7,4,8,4,2,49%,0,,5,394,261,66%
734778,1353,Swindon Town,https://media.api-sports.io/football/teams/1353.png,11,4,21,6,11,10,20,9,1,55%,1,,1,501,429,86%
734778,7189,Arsenal U21,https://media.api-sports.io/football/teams/7189.png,2,4,9,3,5,4,9,4,0,45%,0,,10,395,316,80%
734785,1354,Doncaster,https://media.api-sports.io/football/teams/1354.png,2,4,9,3,7,2,10,3,6,53%,0,,4,346,246,71%
734785,73,Rotherham,https://media.api-sports.io/football/teams/73.png,9,11,23,3,14,9,9,7,2,47%,1,,2,297,203,68%
734786,1361,Colchester,https://media.api-sports.io/football/teams/1361.png,4,4,11,3,6,5,14,4,0,46%,1,,4,332,223,67%
734786,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,5,6,14,3,12,2,19,4,1,54%,3,,4,395,298,75%
734787,1333,AFC Wimbledon,https://media.api-sports.io/football/teams/1333.png,9,1,11,1,11,0,9,5,3,53%,1,,5,401,319,80%
734787,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,8,5,21,8,15,6,8,11,0,47%,1,,4,342,228,67%
734790,1342,Walsall,https://media.api-sports.io/football/teams/1342.png,4,4,11,3,9,2,13,3,4,44%,,0,1,386,302,78%
734790,7191,Brighton U21,https://media.api-sports.io/football/teams/7191.png,1,7,10,2,5,5,11,4,1,56%,,1,3,507,416,82%
734792,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,3,6,12,3,7,5,15,5,,49%,2,,1,353,220,62%
734792,7201,Southampton U21,https://media.api-sports.io/football/teams/7201.png,1,4,5,0,3,2,12,0,,51%,1,,2,381,236,62%
734789,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,6,3,11,2,7,4,11,3,0,40%,2,,3,327,257,79%
734789,14430,Leeds United U21,https://media.api-sports.io/football/teams/14430.png,3,7,17,7,9,8,13,8,2,60%,2,,2,492,415,84%
734793,57,Ipswich,https://media.api-sports.io/football/teams/57.png,1,7,10,2,6,4,15,5,4,71%,3,0,2,589,510,87%
734793,7203,West Ham United U21,https://media.api-sports.io/football/teams/7203.png,4,0,6,2,5,1,11,5,2,29%,4,1,0,243,162,67%
734802,1343,Bradford,https://media.api-sports.io/football/teams/1343.png,1,3,11,7,8,3,12,3,2,45%,1,,5,412,319,77%
734802,7198,Manchester United U21,https://media.api-sports.io/football/teams/7198.png,7,4,13,2,7,6,9,4,1,55%,3,,2,529,445,84%
734795,1354,Doncaster,https://media.api-sports.io/football/teams/1354.png,6,9,20,5,14,6,16,6,3,34%,3,,3,287,218,76%
734795,7197,Manchester City U21,https://media.api-sports.io/football/teams/7197.png,4,5,11,2,9,2,6,3,1,66%,2,,4,583,504,86%
734796,1370,Cambridge United,https://media.api-sports.io/football/teams/1370.png,2,7,12,3,8,4,9,3,3,45%,1,,5,455,363,80%
734796,7202,Tottenham Hotspur U21,https://media.api-sports.io/football/teams/7202.png,5,6,16,5,11,5,5,2,2,55%,1,,1,569,486,85%
734798,1349,Oldham,https://media.api-sports.io/football/teams/1349.png,6,6,15,3,6,9,11,4,0,48%,1,,6,374,297,79%
734798,14430,Leeds United U21,https://media.api-sports.io/football/teams/14430.png,7,5,14,2,9,5,9,4,2,52%,0,,4,413,309,75%
734797,1371,Carlisle,https://media.api-sports.io/football/teams/1371.png,8,8,20,4,14,6,10,4,2,60%,1,,3,449,362,81%
734797,7193,Everton U21,https://media.api-sports.io/football/teams/7193.png,3,4,9,2,6,3,12,1,3,40%,0,,6,313,219,70%
734800,1361,Colchester,https://media.api-sports.io/football/teams/1361.png,4,5,11,2,7,4,11,3,2,54%,1,,4,414,311,75%
734800,7203,West Ham United U21,https://media.api-sports.io/football/teams/7203.png,4,2,9,3,4,5,11,8,1,46%,3,,4,346,257,74%
734807,68,Bolton,https://media.api-sports.io/football/teams/68.png,4,2,9,3,7,2,11,4,4,48%,,,1,530,446,84%
734807,7196,Liverpool U21,https://media.api-sports.io/football/teams/7196.png,2,6,9,1,5,4,4,2,2,52%,,,1,576,477,83%
734808,73,Rotherham,https://media.api-sports.io/football/teams/73.png,4,5,9,0,6,3,9,4,2,64%,1,,2,443,339,77%
734808,1340,Scunthorpe,https://media.api-sports.io/football/teams/1340.png,3,7,13,3,7,6,13,2,4,36%,2,,0,252,152,60%
734812,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,9,6,20,5,13,7,13,8,0,46%,3,,0,404,306,76%
734812,7190,Aston Villa U21,https://media.api-sports.io/football/teams/7190.png,4,2,7,1,3,4,5,3,3,54%,1,,7,484,370,76%
734817,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,8,11,22,3,19,3,15,11,4,53%,3,,4,461,386,84%
734817,7201,Southampton U21,https://media.api-sports.io/football/teams/7201.png,5,2,8,1,4,4,8,1,0,47%,1,,3,425,351,83%
734813,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,6,6,15,3,7,8,12,3,2,53%,4,,4,326,225,69%
734813,1342,Walsall,https://media.api-sports.io/football/teams/1342.png,5,7,15,3,9,6,15,8,1,47%,4,,6,301,187,62%
734810,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,2,4,8,2,5,3,7,3,2,41%,2,,2,351,228,65%
734810,57,Ipswich,https://media.api-sports.io/football/teams/57.png,4,10,16,2,12,4,16,2,0,59%,2,,3,515,409,79%
734811,1348,Milton Keynes Dons,https://media.api-sports.io/football/teams/1348.png,3,3,6,0,4,2,12,0,3,56%,0,,0,389,296,76%
734811,1358,Wycombe,https://media.api-sports.io/football/teams/1358.png,2,5,11,4,7,4,15,10,1,44%,2,,1,266,191,72%
734801,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,4,7,18,7,14,4,8,9,2,55%,3,,1,474,378,80%
734801,1339,Rochdale,https://media.api-sports.io/football/teams/1339.png,1,5,11,5,9,2,11,3,2,45%,3,,4,410,302,74%
734806,1352,Shrewsbury,https://media.api-sports.io/football/teams/1352.png,3,3,10,4,7,3,8,3,5,43%,1,,3,336,239,71%
734806,7204,Wolves U21,https://media.api-sports.io/football/teams/7204.png,4,5,14,5,8,6,7,4,1,57%,0,,0,448,349,78%
734816,1362,Crawley Town,https://media.api-sports.io/football/teams/1362.png,1,3,6,2,2,4,4,1,2,51%,,,2,391,244,62%
734816,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,6,3,11,2,5,6,17,3,1,49%,,,1,367,232,63%
734794,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,5,3,10,2,8,2,15,2,0,48%,2,,1,365,273,75%
734794,61,Wigan,https://media.api-sports.io/football/teams/61.png,1,6,11,4,7,4,13,4,4,52%,3,,4,400,298,75%
734804,1366,Hartlepool,https://media.api-sports.io/football/teams/1366.png,4,5,13,4,9,4,15,3,4,63%,4,,4,470,363,77%
734804,1375,Morecambe,https://media.api-sports.io/football/teams/1375.png,6,2,10,2,6,4,9,5,1,37%,1,,2,277,171,62%
