fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,penalty_home,penalty_away
886593,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,University of Bolton Stadium,Bolton,502.0,S. Oldham,Bolton,68,https://media.api-sports.io/football/teams/68.png,True,Crewe,1363,https://media.api-sports.io/football/teams/1363.png,False,4,1,1,1,4,1,,
886577,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Pride Park Stadium,Derby,527.0,C. Boyeson,Derby,69,https://media.api-sports.io/football/teams/69.png,True,Grimsby,1365,https://media.api-sports.io/football/teams/1365.png,False,3,1,3,0,3,1,,
886580,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Pirelli Stadium,"Burton-upon-Trent, Staffordshire",513.0,A. Herczeg,Burton Albion,748,https://media.api-sports.io/football/teams/748.png,True,Leicester City U21,7195,https://media.api-sports.io/football/teams/7195.png,False,4,2,4,2,4,2,,
886570,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,The Cherry Red Records Stadium,London,12456.0,W. Finnie,AFC Wimbledon,1333,https://media.api-sports.io/football/teams/1333.png,True,Aston Villa U21,7190,https://media.api-sports.io/football/teams/7190.png,False,2,1,1,1,2,1,,
886579,2022-08-30 18:00:00+00:00,1661882400,PEN,120,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Highbury Stadium,"Fleetwood, Lancashire",533.0,T. Kirk,Fleetwood Town,1336,https://media.api-sports.io/football/teams/1336.png,False,Barrow,1819,https://media.api-sports.io/football/teams/1819.png,True,1,1,1,1,1,1,3.0,4.0
886582,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Poundland Bescot Stadium,"Walsall, West Midlands",18620.0,S. Mather,Walsall,1342,https://media.api-sports.io/football/teams/1342.png,False,West Ham United U21,7203,https://media.api-sports.io/football/teams/7203.png,True,0,1,0,0,0,1,,
886581,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Stadium mk,"Milton Keynes, Buckinghamshire",560.0,L. Swabey,Milton Keynes Dons,1348,https://media.api-sports.io/football/teams/1348.png,False,Cheltenham,1372,https://media.api-sports.io/football/teams/1372.png,True,1,2,1,1,1,2,,
886575,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Montgomery Waters Meadow,"Shrewsbury, Shropshire",583.0,O. Yates,Shrewsbury,1352,https://media.api-sports.io/football/teams/1352.png,False,Wolves U21,7204,https://media.api-sports.io/football/teams/7204.png,True,1,2,0,0,1,2,,
886585,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 1,The County Ground,"Swindon, Wiltshire",592.0,B. Speedie,Swindon Town,1353,https://media.api-sports.io/football/teams/1353.png,False,Crystal Palace U21,17000,https://media.api-sports.io/football/teams/17000.png,True,0,2,0,0,0,2,,
886576,2022-08-30 18:00:00+00:00,1661882400,PEN,120,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,Eco-Power Stadium,"Doncaster, South Yorkshire",12676.0,J. Oldham,Doncaster,1354,https://media.api-sports.io/football/teams/1354.png,True,Newcastle United U21,7199,https://media.api-sports.io/football/teams/7199.png,False,0,0,0,0,0,0,4.0,2.0
886584,2022-08-30 18:00:00+00:00,1661882400,PEN,120,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 1,Home Park,Plymouth,571.0,C. Brook,Plymouth,1357,https://media.api-sports.io/football/teams/1357.png,True,Bristol Rovers,1334,https://media.api-sports.io/football/teams/1334.png,False,1,1,0,0,1,1,4.0,3.0
886583,2022-08-30 18:00:00+00:00,1661882400,PEN,120,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 1,Adams Park,"High Wycombe, Buckinghamshire",602.0,C. Pollard,Wycombe,1358,https://media.api-sports.io/football/teams/1358.png,True,Tottenham Hotspur U21,7202,https://media.api-sports.io/football/teams/7202.png,False,0,0,0,0,0,0,4.0,3.0
886587,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 1,St James Park,"Exeter, Devon",532.0,D. Drysdale,Exeter City,1364,https://media.api-sports.io/football/teams/1364.png,False,Newport County,1367,https://media.api-sports.io/football/teams/1367.png,True,1,2,0,0,1,2,,
886572,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 3,The Suit Direct Stadium,"Hartlepool, County Durham",12677.0,A. Backhouse,Hartlepool,1366,https://media.api-sports.io/football/teams/1366.png,True,Harrogate Town,1842,https://media.api-sports.io/football/teams/1842.png,False,2,0,2,0,2,0,,
886571,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 1,Abbey Stadium,"Cambridge, Cambridgeshire",515.0,N. Hair,Cambridge United,1370,https://media.api-sports.io/football/teams/1370.png,False,Arsenal U21,7189,https://media.api-sports.io/football/teams/7189.png,True,0,2,0,1,0,2,,
886578,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 2,One Call Stadium,"Mansfield, Nottinghamshire",557.0,R. Joyce,Mansfield Town,1374,https://media.api-sports.io/football/teams/1374.png,True,Manchester City U21,7197,https://media.api-sports.io/football/teams/7197.png,False,3,2,1,2,3,2,,
886573,2022-08-30 18:00:00+00:00,1661882400,PEN,120,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 3,Mazuma Stadium,"Morecambe, Lancashire",11880.0,R. Welch,Morecambe,1375,https://media.api-sports.io/football/teams/1375.png,True,Everton U21,7193,https://media.api-sports.io/football/teams/7193.png,False,3,3,2,1,3,3,7.0,6.0
886586,2022-08-30 18:00:00+00:00,1661882400,FT,90,1661882400,1661886000,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 1,The Bolt New Lawn,"Nailsworth, Gloucestershire",19201.0,C. Breakspear,Forest Green,1378,https://media.api-sports.io/football/teams/1378.png,True,Southampton U21,7201,https://media.api-sports.io/football/teams/7201.png,False,3,1,2,1,3,1,,
886591,2022-08-30 18:30:00+00:00,1661884200,FT,90,1661884200,1661887800,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 3,University of Bradford Stadium,"Bradford, West Yorkshire",19198.0,S. Barrott,Bradford,1343,https://media.api-sports.io/football/teams/1343.png,True,Sheffield Wednesday,74,https://media.api-sports.io/football/teams/74.png,False,3,1,1,1,3,1,,
886592,2022-08-30 18:30:00+00:00,1661884200,FT,90,1661884200,1661887800,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2022,Group Stage - 3,Weston Homes Stadium,Peterborough,570.0,R. Lewis,Peterborough,1350,https://media.api-sports.io/football/teams/1350.png,False,Stevenage,1368,https://media.api-sports.io/football/teams/1368.png,True,1,2,1,1,1,2,,
