fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
1098407,1348,Milton Keynes Dons,https://media.api-sports.io/football/teams/1348.png,10,6,16,0,11,5,7,3,4,41%,4,,6,418,328,78%,
1098407,7192,Chelsea U21,https://media.api-sports.io/football/teams/7192.png,7,8,18,3,13,5,7,4,3,59%,2,,4,595,508,85%,
1098480,1365,Grimsby,https://media.api-sports.io/football/teams/1365.png,4,12,22,6,18,4,6,13,1,60%,2,0,4,515,427,83%,
1098480,7197,Manchester City U21,https://media.api-sports.io/football/teams/7197.png,6,1,8,1,3,5,8,3,2,40%,1,1,2,371,289,78%,
1098415,1333,AFC Wimbledon,https://media.api-sports.io/football/teams/1333.png,3,5,11,3,7,4,11,6,2,45%,3,,5,316,194,61%,
1098415,1368,Stevenage,https://media.api-sports.io/football/teams/1368.png,6,4,11,1,6,5,11,3,1,55%,4,,2,391,263,67%,
1098412,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,8,7,19,4,13,6,14,9,0,55%,5,0,4,495,411,83%,
1098412,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,4,2,10,4,7,3,6,2,2,45%,4,1,6,419,327,78%,
1098417,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,4,4,10,2,7,3,14,0,1,41%,2,1,5,390,299,77%,
1098417,1338,Oxford United,https://media.api-sports.io/football/teams/1338.png,8,6,17,3,12,5,6,8,4,59%,1,0,3,557,471,85%,
1098416,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,5,7,16,4,14,2,7,8,4,49%,1,0,4,486,380,78%,
1098416,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,4,7,14,3,4,10,16,3,3,51%,4,2,4,530,435,82%,
1098414,1378,Forest Green,https://media.api-sports.io/football/teams/1378.png,6,3,13,4,9,4,13,4,1,46%,2,,10,419,301,72%,
1098414,1352,Shrewsbury,https://media.api-sports.io/football/teams/1352.png,10,10,24,4,17,7,7,8,0,54%,0,,3,475,367,77%,
1098411,1819,Barrow,https://media.api-sports.io/football/teams/1819.png,4,1,7,2,4,3,9,2,1,45%,0,,1,452,356,79%,
1098411,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,3,4,10,3,7,3,11,5,2,55%,2,,4,569,483,85%,
1098420,747,Barnsley,https://media.api-sports.io/football/teams/747.png,4,4,10,2,7,3,14,3,1,43%,,,2,403,297,74%,
1098420,1365,Grimsby,https://media.api-sports.io/football/teams/1365.png,2,4,7,1,4,3,8,4,6,57%,,,2,542,438,81%,
1098419,1837,Wrexham,https://media.api-sports.io/football/teams/1837.png,4,8,17,5,14,3,8,1,2,50%,4,,2,476,367,77%,
1098419,7199,Newcastle United U21,https://media.api-sports.io/football/teams/7199.png,2,6,11,3,8,3,8,3,0,50%,0,,3,472,379,80%,
1098424,68,Bolton,https://media.api-sports.io/football/teams/68.png,5,7,14,2,8,6,12,4,2,49%,1,,1,504,434,86%,
1098424,1844,Salford City,https://media.api-sports.io/football/teams/1844.png,1,7,10,2,7,3,7,4,1,51%,1,,2,520,457,88%,
1098427,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,7,6,18,5,9,9,7,5,3,68%,1,,1,773,699,90%,
1098427,1372,Cheltenham,https://media.api-sports.io/football/teams/1372.png,1,2,5,2,4,1,14,2,3,32%,3,,4,359,293,82%,
1098421,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,4,2,10,4,5,5,7,6,2,51%,3,0,1,561,445,79%,
