fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1218923,53,Reading,https://media.api-sports.io/football/teams/53.png,6,8,20,6,11,9,13,4,4,57%,1,,1,570,493,86%,,
1218923,7203,West Ham United U21,https://media.api-sports.io/football/teams/7203.png,2,1,5,2,5,0,11,6,1,43%,2,,3,426,353,83%,,
1218926,73,Rotherham,https://media.api-sports.io/football/teams/73.png,2,4,9,3,6,3,13,5,1,27%,2,1,5,230,139,60%,,
1218926,1374,Mansfield Town,https://media.api-sports.io/football/teams/1374.png,7,10,24,7,12,12,8,11,2,73%,2,0,0,647,555,86%,,
1218933,747,Barnsley,https://media.api-sports.io/football/teams/747.png,3,3,7,1,5,2,12,5,2,39%,2,1,2,295,203,69%,,
1218933,7198,Manchester United U21,https://media.api-sports.io/football/teams/7198.png,5,5,14,4,10,4,7,6,1,61%,1,0,1,478,391,82%,,
1218978,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,7,6,17,4,14,3,12,7,1,60%,3,,3,507,429,85%,,
1218978,7195,Leicester City U21,https://media.api-sports.io/football/teams/7195.png,4,6,12,2,8,4,15,3,1,40%,1,,4,354,286,81%,,
1218927,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,5,11,21,5,15,6,8,6,5,34%,2,,4,251,174,69%,,
1218927,7202,Tottenham Hotspur U21,https://media.api-sports.io/football/teams/7202.png,7,2,12,3,7,5,9,3,2,66%,2,,2,541,450,83%,,
1218979,1345,Chesterfield,https://media.api-sports.io/football/teams/1345.png,3,1,8,4,6,2,9,4,0,41%,1,,0,413,341,83%,,
1218979,7197,Manchester City U21,https://media.api-sports.io/football/teams/7197.png,1,3,4,0,3,1,12,3,1,59%,1,,1,614,558,91%,,
1218941,1368,Stevenage,https://media.api-sports.io/football/teams/1368.png,5,8,19,6,13,6,18,5,2,48%,1,,0,397,288,73%,,
1218941,17000,Crystal Palace U21,https://media.api-sports.io/football/teams/17000.png,0,6,10,4,5,5,9,2,0,52%,0,,4,432,337,78%,,
1218946,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,4,3,11,4,9,2,9,8,0,56%,2,,7,494,389,79%,,
1218946,7193,Everton U21,https://media.api-sports.io/football/teams/7193.png,10,7,21,4,14,7,9,6,2,44%,1,,2,388,305,79%,,
1218959,1844,Salford City,https://media.api-sports.io/football/teams/1844.png,0,4,7,3,4,3,12,4,0,56%,,,1,535,448,84%,,
1218959,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,3,3,7,1,2,5,9,4,7,44%,,,0,408,329,81%,,
1218948,1352,Shrewsbury,https://media.api-sports.io/football/teams/1352.png,3,11,21,7,14,7,15,10,1,46%,3,,1,347,278,80%,,
1218948,7194,Fulham U21,https://media.api-sports.io/football/teams/7194.png,3,1,7,3,4,3,11,5,0,54%,3,,2,432,355,82%,,
1218951,1333,AFC Wimbledon,https://media.api-sports.io/football/teams/1333.png,5,7,19,7,14,5,11,4,3,36%,1,,3,295,211,72%,,
1218951,1358,Wycombe,https://media.api-sports.io/football/teams/1358.png,3,12,18,3,10,8,6,6,1,64%,0,,4,530,435,82%,,
1218952,1362,Crawley Town,https://media.api-sports.io/football/teams/1362.png,3,6,16,7,8,8,13,3,2,62%,1,,3,661,571,86%,,
1218952,7191,Brighton U21,https://media.api-sports.io/football/teams/7191.png,5,4,10,1,10,0,15,3,0,38%,1,,1,394,310,79%,,
1219006,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,6,4,13,3,9,4,17,5,2,46%,2,,2,410,326,80%,,
1219006,7196,Liverpool U21,https://media.api-sports.io/football/teams/7196.png,3,3,7,1,5,2,10,0,0,54%,0,,1,507,418,82%,,
1218944,61,Wigan,https://media.api-sports.io/football/teams/61.png,6,5,15,4,11,4,10,5,3,81%,2,,0,696,640,92%,,
1218944,1375,Morecambe,https://media.api-sports.io/football/teams/1375.png,2,2,6,2,3,3,18,3,0,19%,3,,5,165,101,61%,,
1218939,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,4,3,8,1,4,4,19,5,2,31%,3,,4,276,196,71%,,
1218939,7190,Aston Villa U21,https://media.api-sports.io/football/teams/7190.png,7,5,14,2,12,2,8,9,1,69%,0,,2,637,553,87%,,
