fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
255940,8149,Dulwich Hamlet,https://media.api-sports.io/football/teams/8149.png,4,8,16,4,9,7,9,7,2,61%,1,,2,386,282,73%
255940,1371,Carlisle,https://media.api-sports.io/football/teams/1371.png,7,7,15,1,10,5,14,2,3,39%,2,,3,247,143,58%
255915,1838,Maidenhead,https://media.api-sports.io/football/teams/1838.png,1,3,5,1,3,2,7,1,2,34%,0,1,3,258,129,50%
255915,73,Rotherham,https://media.api-sports.io/football/teams/73.png,6,8,20,6,9,11,6,4,2,66%,1,0,0,479,368,77%
255943,1829,Dover,https://media.api-sports.io/football/teams/1829.png,4,8,16,4,10,6,11,10,1,48%,2,,4,306,194,63%
255943,1341,Southend,https://media.api-sports.io/football/teams/1341.png,4,4,14,6,9,5,13,9,2,52%,3,,2,344,231,67%
255951,1369,Barnet,https://media.api-sports.io/football/teams/1369.png,1,3,6,2,5,1,9,1,3,49%,1,,5,336,206,61%
255951,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,7,6,13,0,10,3,11,7,1,51%,2,,1,341,198,58%
255946,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,7,9,19,3,14,5,17,2,3,63%,2,0,3,480,390,81%
255946,7654,Maldon & Tiptree,https://media.api-sports.io/football/teams/7654.png,5,3,10,2,5,5,9,4,5,37%,4,1,5,279,182,65%
255947,8147,Chippenham Town,https://media.api-sports.io/football/teams/8147.png,2,7,11,2,9,2,16,6,3,40%,,,9,255,171,67%
255947,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,11,8,22,3,17,5,12,9,4,60%,,,2,379,282,74%
255952,7720,Hayes & Yeading United,https://media.api-sports.io/football/teams/7720.png,5,4,13,4,9,4,9,5,1,32%,2,,7,294,192,65%
255952,1338,Oxford United,https://media.api-sports.io/football/teams/1338.png,9,15,31,7,20,11,12,13,2,68%,0,,5,609,524,86%
255953,1842,Harrogate Town,https://media.api-sports.io/football/teams/1842.png,4,5,9,0,6,3,10,5,1,53%,,,4,428,248,58%
255953,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,6,5,14,3,3,11,11,3,1,47%,,,3,377,212,56%
275843,1832,Bromley,https://media.api-sports.io/football/teams/1832.png,3,6,14,5,4,10,16,6,2,59%,1,,2,401,277,69%
275843,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,3,3,7,1,4,3,16,2,3,41%,2,,3,282,159,56%
275845,10157,Darlington 1883,https://media.api-sports.io/football/teams/10157.png,4,3,10,3,6,4,13,5,2,51%,1,,0,349,218,62%
275845,1342,Walsall,https://media.api-sports.io/football/teams/1342.png,1,7,13,5,8,5,12,4,1,49%,2,,4,331,204,62%
291303,7654,Maldon & Tiptree,https://media.api-sports.io/football/teams/7654.png,3,2,8,3,4,4,13,5,3,54%,2,,4,333,218,65%
291303,1367,Newport County,https://media.api-sports.io/football/teams/1367.png,6,7,16,3,13,3,16,9,0,46%,2,,3,276,178,64%
275827,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,10,5,18,3,12,6,15,11,,53%,2,,2,377,277,73%
275827,4700,Altrincham,https://media.api-sports.io/football/teams/4700.png,3,4,10,3,5,5,6,8,,47%,0,,8,346,236,68%
275828,7725,Kingstonian,https://media.api-sports.io/football/teams/7725.png,5,3,16,8,11,5,8,6,0,56%,3,,5,505,392,78%
275828,1839,AFC Fylde,https://media.api-sports.io/football/teams/1839.png,7,6,18,5,9,9,14,3,2,44%,1,,5,391,278,71%
291308,1822,Eastleigh,https://media.api-sports.io/football/teams/1822.png,6,11,22,5,17,5,12,7,0,44%,2,,3,319,231,72%
291308,1363,Crewe,https://media.api-sports.io/football/teams/1363.png,4,4,14,6,7,7,7,7,3,56%,1,,5,414,318,77%
275832,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,8,5,15,2,10,5,10,7,3,41%,4,,3,283,165,58%
275832,1376,Notts County,https://media.api-sports.io/football/teams/1376.png,4,9,15,2,12,3,12,3,2,59%,0,,5,394,274,70%
291312,1339,Rochdale,https://media.api-sports.io/football/teams/1339.png,2,5,12,5,7,5,14,5,1,59%,0,,3,441,330,75%
291312,8146,Boston United,https://media.api-sports.io/football/teams/8146.png,3,3,13,7,9,4,9,5,1,41%,2,,2,299,208,70%
291315,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,12,5,21,4,14,7,15,6,1,62%,1,,1,484,397,82%
291315,7628,Chichester City,https://media.api-sports.io/football/teams/7628.png,2,5,9,2,3,6,6,3,2,38%,1,,7,292,206,71%
275830,1834,Solihull Moors,https://media.api-sports.io/football/teams/1834.png,7,6,14,1,9,5,10,3,1,36%,1,,3,267,138,52%
275830,73,Rotherham,https://media.api-sports.io/football/teams/73.png,7,5,15,3,12,3,19,7,2,64%,0,,4,448,320,71%
307374,1339,Rochdale,https://media.api-sports.io/football/teams/1339.png,4,5,11,2,6,5,11,3,2,34%,1,,4,327,251,77%
307374,34,Newcastle,https://media.api-sports.io/football/teams/34.png,5,7,18,6,10,8,5,12,3,66%,0,,3,605,545,90%
291892,36,Fulham,https://media.api-sports.io/football/teams/36.png,5,6,17,6,10,7,9,3,3,56%,3,,2,556,464,83%
291892,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,3,5,9,1,8,1,9,2,4,44%,3,,3,422,342,81%
291904,38,Watford,https://media.api-sports.io/football/teams/38.png,3,4,7,,,,12,4,0,56%,,,4,,,
291904,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,7,2,9,,,,11,5,3,44%,,,0,,,
291896,41,Southampton,https://media.api-sports.io/football/teams/41.png,3,3,7,1,4,3,15,5,1,70%,1,,1,582,481,83%
291896,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,1,3,5,1,4,1,10,1,2,30%,0,,1,256,154,60%
292655,43,Cardiff,https://media.api-sports.io/football/teams/43.png,14,7,21,,,,7,9,1,57%,,,2,,,
292655,1371,Carlisle,https://media.api-sports.io/football/teams/1371.png,4,5,9,,,,12,1,1,43%,,,12,,,
291900,51,Brighton,https://media.api-sports.io/football/teams/51.png,3,4,12,5,8,4,13,8,1,61%,1,,3,486,394,81%
291900,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,4,5,12,3,7,5,9,7,0,39%,1,,3,299,219,73%
291903,53,Reading,https://media.api-sports.io/football/teams/53.png,9,5,14,,,,5,11,,55%,,,2,,,
291903,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,5,2,7,,,,14,4,,45%,,,7,,,
291899,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,6,4,10,,,,7,12,3,62%,,,1,,,
291899,1359,Luton,https://media.api-sports.io/football/teams/1359.png,1,5,6,,,,7,1,0,38%,,,2,,,
291894,39,Wolves,https://media.api-sports.io/football/teams/39.png,2,6,12,4,8,4,9,8,1,49%,3,,0,428,341,80%
291894,33,Manchester United,https://media.api-sports.io/football/teams/33.png,0,8,12,4,5,7,11,5,0,51%,1,,2,443,378,85%
291891,46,Leicester,https://media.api-sports.io/football/teams/46.png,7,4,14,3,6,8,8,4,1,62%,0,,0,577,485,84%
291891,61,Wigan,https://media.api-sports.io/football/teams/61.png,0,2,3,1,2,1,13,0,9,38%,1,,6,345,268,78%
291901,50,Manchester City,https://media.api-sports.io/football/teams/50.png,10,7,25,8,17,8,7,9,4,78%,,,0,890,826,93%
291901,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,1,2,4,1,4,0,5,1,0,22%,,,6,249,174,70%
291915,1336,Fleetwood Town,https://media.api-sports.io/football/teams/1336.png,2,6,8,,,,13,9,,48%,,,1,,,
291915,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,3,4,7,,,,8,4,,52%,,,1,,,
291893,49,Chelsea,https://media.api-sports.io/football/teams/49.png,5,8,17,4,11,6,13,7,4,75%,1,,1,774,709,92%
291893,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,1,0,2,1,0,2,9,1,3,25%,1,,3,257,190,74%
291907,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,2,4,11,5,9,2,8,9,0,50%,0,1,2,464,393,85%
291907,69,Derby,https://media.api-sports.io/football/teams/69.png,3,3,6,0,5,1,14,2,1,50%,2,0,2,472,391,83%
291902,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,4,1,6,1,3,3,7,4,3,28%,1,,3,251,154,61%
291902,47,Tottenham,https://media.api-sports.io/football/teams/47.png,4,3,14,7,3,11,11,14,3,72%,2,,2,627,519,83%
291912,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,9,3,12,,,,4,6,1,52%,,,2,,,
291912,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,6,3,9,,,,12,5,1,48%,,,7,,,
291895,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,2,5,8,1,3,5,9,4,0,40%,1,,2,350,250,71%
291895,60,West Brom,https://media.api-sports.io/football/teams/60.png,3,9,19,7,7,12,9,9,2,60%,1,,2,512,420,82%
291897,40,Liverpool,https://media.api-sports.io/football/teams/40.png,5,5,12,2,3,9,5,12,0,57%,0,,3,499,406,81%
291897,45,Everton,https://media.api-sports.io/football/teams/45.png,3,7,11,1,9,2,8,5,2,43%,1,,4,376,274,73%
291911,1347,Gillingham,https://media.api-sports.io/football/teams/1347.png,4,3,8,1,2,6,11,7,3,34%,1,,1,249,127,51%
291911,48,West Ham,https://media.api-sports.io/football/teams/48.png,3,4,9,2,5,4,12,3,1,66%,1,,4,486,362,74%
291910,42,Arsenal,https://media.api-sports.io/football/teams/42.png,5,7,16,4,10,6,16,4,1,41%,1,,6,313,227,73%
291910,63,Leeds,https://media.api-sports.io/football/teams/63.png,6,8,18,4,10,8,15,4,7,59%,2,,4,438,353,81%
313313,47,Tottenham,https://media.api-sports.io/football/teams/47.png,4,8,16,4,9,7,13,4,1,68%,,,3,680,577,85%
313313,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,4,6,12,2,8,4,8,7,1,32%,,,3,294,212,72%
313307,33,Manchester United,https://media.api-sports.io/football/teams/33.png,6,3,11,2,6,5,5,6,3,57%,2,,2,556,485,87%
313307,39,Wolves,https://media.api-sports.io/football/teams/39.png,2,5,7,0,4,3,10,5,3,43%,2,,5,415,330,80%
313302,72,QPR,https://media.api-sports.io/football/teams/72.png,4,6,10,,,,12,4,,53%,,,3,,,
313302,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,5,4,9,,,,13,4,,47%,,,3,,,
313304,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,1,10,14,3,9,5,8,1,1,40%,1,,0,285,159,56%
313304,69,Derby,https://media.api-sports.io/football/teams/69.png,0,4,9,5,6,3,9,6,0,60%,1,,1,410,265,65%
313305,55,Brentford,https://media.api-sports.io/football/teams/55.png,3,8,11,0,8,3,11,7,5,47%,,,2,410,328,80%
313305,46,Leicester,https://media.api-sports.io/football/teams/46.png,3,5,13,5,5,8,12,4,1,53%,,,3,463,367,79%
316954,41,Southampton,https://media.api-sports.io/football/teams/41.png,4,3,10,3,4,6,14,7,0,59%,2,,2,464,341,73%
316954,47,Tottenham,https://media.api-sports.io/football/teams/47.png,3,3,8,2,6,2,10,2,3,41%,0,,2,327,217,66%
313297,48,West Ham,https://media.api-sports.io/football/teams/48.png,3,10,15,2,7,8,9,3,,55%,1,0,2,487,392,80%
313297,60,West Brom,https://media.api-sports.io/football/teams/60.png,3,6,11,2,7,4,8,5,,45%,3,1,3,379,282,74%
316952,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,1,6,7,,,,3,5,2,55%,,,2,,,
316952,54,Birmingham,https://media.api-sports.io/football/teams/54.png,2,3,5,,,,15,6,1,45%,,,1,,,
313301,64,Hull City,https://media.api-sports.io/football/teams/64.png,2,6,14,6,6,8,12,8,1,35%,1,,5,292,218,75%
313301,49,Chelsea,https://media.api-sports.io/football/teams/49.png,7,4,16,5,12,4,12,7,2,65%,2,,1,563,480,85%
313299,50,Manchester City,https://media.api-sports.io/football/teams/50.png,6,10,20,4,12,8,6,6,4,70%,0,0,1,695,647,93%
313299,36,Fulham,https://media.api-sports.io/football/teams/36.png,1,0,1,0,1,0,8,0,0,30%,1,1,2,302,239,79%
320845,1381,Tranmere,https://media.api-sports.io/football/teams/1381.png,4,7,11,0,5,6,13,4,2,28%,1,,3,259,175,68%
