fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1311827,7752,Tamworth,https://media.api-sports.io/football/teams/7752.png,3,4,11,4,9,2,15,3,0,32%,3,,4,230,111,48%,,
1311827,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,4,9,19,6,11,8,12,7,2,68%,1,,3,474,374,79%,,
1311856,1835,Sutton Utd,https://media.api-sports.io/football/teams/1835.png,0,2,3,1,1,2,12,2,3,25%,2,,2,229,133,58%,,
1311856,54,Birmingham,https://media.api-sports.io/football/teams/54.png,3,2,13,8,10,3,13,10,1,75%,4,,0,694,594,86%,,
1311852,1842,Harrogate Town,https://media.api-sports.io/football/teams/1842.png,1,5,9,3,2,7,8,4,0,38%,1,,5,328,206,63%,,
1311852,1837,Wrexham,https://media.api-sports.io/football/teams/1837.png,5,10,21,6,19,2,11,2,2,62%,3,,0,530,413,78%,,
1311848,4702,Chesham United,https://media.api-sports.io/football/teams/4702.png,3,3,10,4,5,5,10,3,1,46%,,,6,296,173,58%,,
1311848,1379,Lincoln,https://media.api-sports.io/football/teams/1379.png,9,4,18,5,10,8,12,9,0,54%,,,3,320,213,67%,,
1314872,1842,Harrogate Town,https://media.api-sports.io/football/teams/1842.png,4,6,17,7,10,7,10,8,2,62%,2,,1,464,368,79%,,
1314872,4691,Gainsborough Trinity,https://media.api-sports.io/football/teams/4691.png,1,2,6,3,2,4,14,2,0,38%,2,,3,285,165,58%,,
1314859,1333,AFC Wimbledon,https://media.api-sports.io/football/teams/1333.png,4,6,15,5,9,6,10,5,3,66%,3,,0,482,390,81%,,
1314859,1821,Dagenham & Redbridge,https://media.api-sports.io/football/teams/1821.png,2,3,6,1,4,2,17,5,0,34%,5,,3,245,155,63%,,
1314869,1834,Solihull Moors,https://media.api-sports.io/football/teams/1834.png,1,4,10,5,2,8,13,7,4,68%,4,,1,483,391,81%,,
1314869,1832,Bromley,https://media.api-sports.io/football/teams/1832.png,3,4,9,2,6,3,7,4,0,32%,0,,0,226,137,61%,,
1318865,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,7,4,16,5,10,6,10,5,2,61%,,,3,479,413,86%,,
1318865,43,Cardiff,https://media.api-sports.io/football/teams/43.png,4,5,10,1,6,4,12,6,3,39%,,,7,303,221,73%,,
1318866,36,Fulham,https://media.api-sports.io/football/teams/36.png,8,12,27,7,21,6,10,13,1,72%,1,,1,666,591,89%,,
1318866,38,Watford,https://media.api-sports.io/football/teams/38.png,2,3,5,0,1,4,12,0,1,28%,1,,4,269,207,77%,,
1318860,45,Everton,https://media.api-sports.io/football/teams/45.png,5,6,13,2,6,7,9,6,2,54%,1,,1,559,494,88%,,
1318860,1350,Peterborough,https://media.api-sports.io/football/teams/1350.png,1,1,5,3,4,1,8,3,1,46%,0,,3,483,416,86%,,
1318841,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,5,5,16,6,10,6,14,9,3,59%,1,,1,477,416,87%,,
1318841,48,West Ham,https://media.api-sports.io/football/teams/48.png,2,5,11,4,7,4,6,4,2,41%,1,,3,326,268,82%,,
1318846,56,Bristol City,https://media.api-sports.io/football/teams/56.png,3,0,6,3,3,3,15,1,6,51%,1,,3,494,417,84%,,
1318846,39,Wolves,https://media.api-sports.io/football/teams/39.png,6,5,12,1,7,5,12,2,4,49%,0,,2,474,399,84%,,
1318845,40,Liverpool,https://media.api-sports.io/football/teams/40.png,9,8,22,5,18,4,4,8,0,79%,0,,1,699,627,90%,,
1318845,1360,Accrington ST,https://media.api-sports.io/football/teams/1360.png,1,3,8,4,5,3,10,6,2,21%,1,,6,178,119,67%,,
1318856,46,Leicester,https://media.api-sports.io/football/teams/46.png,6,2,10,2,9,1,9,2,0,54%,,,1,532,468,88%,,
1318856,72,QPR,https://media.api-sports.io/football/teams/72.png,3,2,8,3,5,3,11,6,3,46%,,,0,444,383,86%,,
1318850,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,6,6,17,5,10,7,17,5,1,54%,1,,1,485,408,84%,,
1318850,60,West Brom,https://media.api-sports.io/football/teams/60.png,2,2,6,2,4,2,9,3,2,46%,3,,1,418,348,83%,,
1318848,49,Chelsea,https://media.api-sports.io/football/teams/49.png,8,14,28,6,18,10,7,11,0,81%,,,3,679,624,92%,,
1318848,1375,Morecambe,https://media.api-sports.io/football/teams/1375.png,4,2,7,1,6,1,4,2,4,19%,,,3,155,106,68%,,
1318857,55,Brentford,https://media.api-sports.io/football/teams/55.png,2,0,9,7,7,2,13,13,2,71%,,,1,584,515,88%,,
1318857,1357,Plymouth,https://media.api-sports.io/football/teams/1357.png,2,2,5,1,3,2,9,3,1,29%,,,2,244,175,72%,,
1318864,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,3,5,11,3,6,5,11,7,2,45%,,,6,420,333,79%,,
1318864,1359,Luton,https://media.api-sports.io/football/teams/1359.png,6,2,8,0,6,2,6,5,0,55%,,,1,512,427,83%,,
