fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,tackles_total,dribbles_past,goals_total,offsides,penalty_commited,penalty_won
157015,Liverpool,40,280,Alisson,https://media.api-sports.io/football/players/280.png,39,1,G,6.9,False,False,0,0,0,2.0,9,0,81%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157015,Liverpool,40,283,Trent Alexander-Arnold,https://media.api-sports.io/football/players/283.png,90,66,D,7.4,False,False,2,1,0,,24,3,60%,1,2,6,2,1,0,0,1,0,0,0,0,,1.0,1.0,1.0,,,,
157015,Liverpool,40,284,Joe Gomez,https://media.api-sports.io/football/players/284.png,90,12,D,6.8,False,False,0,0,0,,45,1,83%,1,0,8,6,0,0,0,2,0,0,0,0,,,2.0,,,,,
157015,Liverpool,40,290,Virgil van Dijk,https://media.api-sports.io/football/players/290.png,90,4,D,7.8,False,False,1,1,0,,50,0,87%,0,5,9,8,0,0,0,0,0,0,0,0,,,3.0,,1.0,,,
157015,Liverpool,40,289,Andrew Robertson,https://media.api-sports.io/football/players/289.png,90,26,D,7.0,False,False,2,0,0,,64,1,91%,0,1,4,2,0,0,0,0,0,0,0,0,,,1.0,,,,,
157015,Liverpool,40,292,Jordan Henderson,https://media.api-sports.io/football/players/292.png,90,14,M,7.1,True,False,2,1,0,,45,0,83%,0,2,11,6,3,2,2,2,0,0,0,0,,,2.0,2.0,,,,
157015,Liverpool,40,299,Fabinho,https://media.api-sports.io/football/players/299.png,90,3,M,7.5,False,False,1,1,0,,33,1,78%,0,2,14,11,1,1,1,1,0,0,0,0,,,8.0,1.0,,,,
157015,Liverpool,40,300,Georginio Wijnaldum,https://media.api-sports.io/football/players/300.png,90,5,M,6.6,False,False,0,0,0,,36,0,92%,0,1,9,4,1,1,2,2,0,0,0,0,,,,1.0,,,,
157015,Liverpool,40,306,Mohamed Salah,https://media.api-sports.io/football/players/306.png,90,11,F,8.4,False,False,2,1,0,,22,3,73%,0,0,8,3,2,2,1,1,0,0,0,0,,1.0,,2.0,1.0,,,
157015,Liverpool,40,302,Roberto Firmino,https://media.api-sports.io/football/players/302.png,86,9,F,7.7,False,False,4,1,0,,23,1,76%,0,0,14,7,5,4,1,0,0,0,0,0,,1.0,1.0,2.0,,,,
157015,Liverpool,40,305,Divock Origi,https://media.api-sports.io/football/players/305.png,74,27,F,7.9,False,False,1,1,0,,11,2,61%,0,1,8,6,1,0,2,0,0,0,0,0,,,3.0,,1.0,,,
157015,Liverpool,40,18812,Adrián,https://media.api-sports.io/football/players/18812.png,51,13,G,6.4,False,True,0,0,0,2.0,14,0,77%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157015,Liverpool,40,296,James Milner,https://media.api-sports.io/football/players/296.png,4,7,M,–,False,True,0,0,0,,2,0,66%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
157015,Liverpool,40,304,Sadio Mané,https://media.api-sports.io/football/players/304.png,16,10,F,6.5,False,True,0,0,0,,9,0,81%,0,0,3,1,1,1,0,0,0,0,0,0,,,,1.0,,,,
157015,Norwich,71,19061,Tim Krul,https://media.api-sports.io/football/players/19061.png,90,1,G,6.3,False,False,0,0,4,4.0,25,0,54%,0,0,1,1,0,0,0,0,0,0,0,0,0.0,,,,,,,
