fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
592143,36,Fulham,https://media.api-sports.io/football/teams/36.png,2,2,5,1,1,4,12,2,2,45%,2,,2,523,461,88%
592143,42,Arsenal,https://media.api-sports.io/football/teams/42.png,6,4,13,3,9,4,12,3,2,55%,2,,2,626,562,90%
592142,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,3,2,5,0,5,0,14,7,4,29%,2,,5,236,121,51%
592142,41,Southampton,https://media.api-sports.io/football/teams/41.png,5,3,9,1,7,2,11,3,0,71%,1,,2,580,458,79%
592144,40,Liverpool,https://media.api-sports.io/football/teams/40.png,6,3,22,13,17,5,9,9,2,48%,1,,0,432,328,76%
592144,63,Leeds,https://media.api-sports.io/football/teams/63.png,3,1,6,2,4,2,6,0,5,52%,0,,3,459,347,76%
592148,48,West Ham,https://media.api-sports.io/football/teams/48.png,3,5,15,7,10,5,13,8,2,58%,2,,0,474,393,83%
592148,34,Newcastle,https://media.api-sports.io/football/teams/34.png,2,7,15,6,10,5,7,7,4,42%,2,,3,342,266,78%
592147,60,West Brom,https://media.api-sports.io/football/teams/60.png,1,3,7,3,3,4,12,2,4,35%,1,,4,336,255,76%
592147,46,Leicester,https://media.api-sports.io/football/teams/46.png,7,3,13,3,11,2,9,5,3,65%,1,,1,604,511,85%
592146,47,Tottenham,https://media.api-sports.io/football/teams/47.png,5,1,9,3,8,1,15,5,0,51%,1,,3,552,470,85%
592146,45,Everton,https://media.api-sports.io/football/teams/45.png,4,7,15,4,10,5,7,3,1,49%,0,,5,529,450,85%
592150,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,2,5,9,2,8,1,13,12,4,55%,2,,2,460,373,81%
592150,39,Wolves,https://media.api-sports.io/football/teams/39.png,4,5,11,2,7,4,7,5,0,45%,1,,1,391,307,79%
592149,51,Brighton,https://media.api-sports.io/football/teams/51.png,3,6,13,4,7,6,8,4,0,52%,1,,2,507,414,82%
592149,49,Chelsea,https://media.api-sports.io/football/teams/49.png,5,2,10,3,7,3,13,3,3,48%,0,,2,465,387,83%
592154,45,Everton,https://media.api-sports.io/football/teams/45.png,7,5,17,5,13,4,9,11,1,71%,1,0,2,799,722,90%
592154,60,West Brom,https://media.api-sports.io/football/teams/60.png,4,1,6,1,2,4,11,1,1,29%,0,1,2,322,253,79%
592155,63,Leeds,https://media.api-sports.io/football/teams/63.png,7,2,10,1,8,2,13,5,3,50%,1,,3,444,337,76%
592155,36,Fulham,https://media.api-sports.io/football/teams/36.png,6,5,14,3,7,7,18,3,0,50%,2,,3,438,354,81%
592157,33,Manchester United,https://media.api-sports.io/football/teams/33.png,4,4,17,9,7,10,13,9,1,75%,2,,2,705,606,86%
592157,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,5,6,14,3,9,5,10,3,2,25%,1,,3,225,138,61%
592151,42,Arsenal,https://media.api-sports.io/football/teams/42.png,3,1,7,3,5,2,11,7,5,62%,0,,2,669,577,86%
592151,48,West Ham,https://media.api-sports.io/football/teams/48.png,3,6,14,5,7,7,13,5,2,38%,1,,1,383,314,82%
592159,41,Southampton,https://media.api-sports.io/football/teams/41.png,7,5,14,2,9,5,17,3,2,52%,4,,1,460,354,77%
592159,47,Tottenham,https://media.api-sports.io/football/teams/47.png,6,1,9,2,7,2,18,2,6,48%,3,,5,419,303,72%
592158,34,Newcastle,https://media.api-sports.io/football/teams/34.png,0,4,6,2,3,3,16,7,1,47%,3,0,4,386,296,77%
592158,51,Brighton,https://media.api-sports.io/football/teams/51.png,6,6,13,1,6,7,15,1,2,53%,0,1,0,444,358,81%
592153,49,Chelsea,https://media.api-sports.io/football/teams/49.png,3,2,5,0,3,2,10,1,1,38%,,1,3,488,412,84%
592153,40,Liverpool,https://media.api-sports.io/football/teams/40.png,6,9,18,3,10,8,6,11,1,62%,,0,3,764,681,89%
592156,46,Leicester,https://media.api-sports.io/football/teams/46.png,6,2,14,6,11,3,11,15,0,67%,1,,3,621,526,85%
592156,44,Burnley,https://media.api-sports.io/football/teams/44.png,5,8,16,3,11,5,13,4,1,33%,2,,3,292,199,68%
592152,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,2,11,18,5,11,7,12,10,1,71%,3,0,1,553,486,88%
592152,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,1,2,4,1,3,1,13,4,0,29%,1,1,1,221,131,59%
592160,39,Wolves,https://media.api-sports.io/football/teams/39.png,1,5,10,4,6,4,7,4,2,34%,0,,6,356,273,77%
592160,50,Manchester City,https://media.api-sports.io/football/teams/50.png,9,3,14,2,8,6,8,6,3,66%,3,,0,692,602,87%
592161,51,Brighton,https://media.api-sports.io/football/teams/51.png,5,9,18,4,12,6,18,7,1,53%,4,,1,488,413,85%
592161,33,Manchester United,https://media.api-sports.io/football/teams/33.png,3,1,7,3,6,1,16,1,4,47%,2,,3,445,372,84%
592163,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,1,2,8,5,5,3,16,7,1,42%,3,,3,370,281,76%
592163,45,Everton,https://media.api-sports.io/football/teams/45.png,5,3,10,2,7,3,15,6,0,58%,1,,0,524,433,83%
592169,60,West Brom,https://media.api-sports.io/football/teams/60.png,3,4,9,2,5,4,8,3,1,24%,1,,7,249,168,67%
592169,49,Chelsea,https://media.api-sports.io/football/teams/49.png,10,6,22,6,10,12,16,9,0,76%,3,,0,797,711,89%
592162,44,Burnley,https://media.api-sports.io/football/teams/44.png,2,4,10,4,5,5,8,8,2,53%,1,,0,522,374,72%
592162,41,Southampton,https://media.api-sports.io/football/teams/41.png,1,2,5,2,3,2,10,2,1,47%,0,,2,480,341,71%
592167,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,4,5,14,5,9,5,18,5,2,36%,2,,7,327,232,71%
592167,63,Leeds,https://media.api-sports.io/football/teams/63.png,9,5,17,3,9,8,4,7,1,64%,1,,4,578,470,81%
592168,47,Tottenham,https://media.api-sports.io/football/teams/47.png,12,7,23,4,15,8,15,10,0,65%,1,,0,640,564,88%
592168,34,Newcastle,https://media.api-sports.io/football/teams/34.png,1,2,6,3,4,2,9,4,1,35%,4,,11,319,247,77%
592166,50,Manchester City,https://media.api-sports.io/football/teams/50.png,5,7,16,4,6,10,13,3,2,71%,1,,2,680,614,90%
592166,46,Leicester,https://media.api-sports.io/football/teams/46.png,7,0,7,0,4,3,8,3,3,29%,3,,3,267,200,75%
592170,48,West Ham,https://media.api-sports.io/football/teams/48.png,7,7,15,1,13,2,7,1,3,36%,0,,3,367,280,76%
592170,39,Wolves,https://media.api-sports.io/football/teams/39.png,2,4,11,5,4,7,11,3,2,64%,1,,4,626,543,87%
592164,36,Fulham,https://media.api-sports.io/football/teams/36.png,3,9,16,4,11,5,18,5,0,65%,6,,2,538,461,86%
592164,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,5,4,12,3,10,2,14,3,3,35%,3,,2,302,213,71%
592165,40,Liverpool,https://media.api-sports.io/football/teams/40.png,8,7,21,6,12,9,11,7,0,66%,2,,2,772,683,88%
592165,42,Arsenal,https://media.api-sports.io/football/teams/42.png,3,1,4,0,3,1,7,3,5,34%,2,,5,395,299,76%
592173,49,Chelsea,https://media.api-sports.io/football/teams/49.png,6,6,17,5,12,5,17,8,1,70%,2,,0,707,636,90%
592173,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,0,2,4,2,2,2,13,5,0,30%,0,,2,280,208,74%
592174,45,Everton,https://media.api-sports.io/football/teams/45.png,6,2,11,3,6,5,13,3,0,43%,0,,1,474,404,85%
592174,51,Brighton,https://media.api-sports.io/football/teams/51.png,3,3,11,5,6,5,14,10,2,57%,1,,2,618,526,85%
592175,63,Leeds,https://media.api-sports.io/football/teams/63.png,7,2,12,3,11,1,11,7,2,52%,2,,1,429,356,83%
592175,50,Manchester City,https://media.api-sports.io/football/teams/50.png,2,14,23,7,16,7,12,10,3,48%,1,,6,389,319,82%
592178,34,Newcastle,https://media.api-sports.io/football/teams/34.png,5,4,10,1,6,4,13,3,4,47%,2,,2,416,310,75%
