fixture_id,bet_name,bet_value,bet_odd
1378969,Match Winner,Home,1.30
1378969,Match Winner,Draw,6.00
1378969,Match Winner,Away,8.50
1378969,Second Half Winner,Home,1.53
1378969,Second Half Winner,Draw,3.25
1378969,Second Half Winner,Away,6.00
1378969,Goals Over/Under,Over 1.5,1.11
1378969,Goals Over/Under,Under 1.5,6.50
1378969,Goals Over/Under,Over 2.5,1.36
1378969,Goals Over/Under,Under 2.5,3.20
1378969,Goals Over/Under,Over 3.5,1.91
1378969,Goals Over/Under,Under 3.5,1.91
1378969,Goals Over/Under,Over 0.5,1.01
1378969,Goals Over/Under,Under 0.5,26.00
1378969,Goals Over/Under,Over 8.5,34.00
1378969,Goals Over/Under,Under 8.5,1.00
1378969,Goals Over/Under,Over 4.5,3.20
1378969,Goals Over/Under,Under 4.5,1.36
1378969,Goals Over/Under,Over 7.5,19.00
1378969,Goals Over/Under,Under 7.5,1.02
1378969,Goals Over/Under,Over 5.5,5.00
1378969,Goals Over/Under,Under 5.5,1.17
1378969,Goals Over/Under,Over 6.5,10.00
1378969,Goals Over/Under,Under 6.5,1.06
1378969,HT/FT Double,Home/Draw,19.00
1378969,HT/FT Double,Home/Away,51.00
1378969,HT/FT Double,Draw/Away,21.00
1378969,HT/FT Double,Draw/Draw,10.00
1378969,HT/FT Double,Home/Home,1.83
1378969,HT/FT Double,Draw/Home,4.33
1378969,HT/FT Double,Away/Home,17.00
1378969,HT/FT Double,Away/Draw,21.00
1378969,HT/FT Double,Away/Away,15.00
1378969,Double Chance,Home/Draw,1.08
1378969,Double Chance,Home/Away,1.12
1378969,Double Chance,Draw/Away,3.40
1378969,First Half Winner,Home,1.67
1378969,First Half Winner,Draw,2.88
1378969,First Half Winner,Away,7.00
1378970,Match Winner,Home,2.35
1378970,Match Winner,Draw,3.50
1378970,Match Winner,Away,2.90
1378970,Second Half Winner,Home,2.50
1378970,Second Half Winner,Draw,2.62
1378970,Second Half Winner,Away,3.00
1378970,Goals Over/Under,Over 1.5,1.22
1378970,Goals Over/Under,Under 1.5,4.33
1378970,Goals Over/Under,Over 2.5,1.73
1378970,Goals Over/Under,Under 2.5,2.10
1378970,Goals Over/Under,Over 3.5,2.75
1378970,Goals Over/Under,Under 3.5,1.44
1378970,Goals Over/Under,Over 0.5,1.04
1378970,Goals Over/Under,Under 0.5,13.00
1378970,Goals Over/Under,Over 4.5,5.00
1378970,Goals Over/Under,Under 4.5,1.17
1378970,Goals Over/Under,Over 7.5,41.00
1378970,Goals Over/Under,Under 7.5,1.00
1378970,Goals Over/Under,Over 5.5,11.00
1378970,Goals Over/Under,Under 5.5,1.05
1378970,Goals Over/Under,Over 6.5,21.00
1378970,Goals Over/Under,Under 6.5,1.01
1378970,HT/FT Double,Home/Draw,15.00
1378970,HT/FT Double,Home/Away,29.00
1378970,HT/FT Double,Draw/Away,7.00
1378970,HT/FT Double,Draw/Draw,6.00
1378970,HT/FT Double,Home/Home,4.00
1378970,HT/FT Double,Draw/Home,6.00
1378970,HT/FT Double,Away/Home,26.00
1378970,HT/FT Double,Away/Draw,15.00
1378970,HT/FT Double,Away/Away,4.75
1378970,Double Chance,Home/Draw,1.40
1378970,Double Chance,Home/Away,1.28
1378970,Double Chance,Draw/Away,1.57
1378970,First Half Winner,Home,2.88
1378970,First Half Winner,Draw,2.30
1378970,First Half Winner,Away,3.40
1378974,Match Winner,Home,1.55
1378974,Match Winner,Draw,3.90
1378974,Match Winner,Away,6.25
1378974,Second Half Winner,Home,1.83
1378974,Second Half Winner,Draw,2.60
1378974,Second Half Winner,Away,5.00
1378974,Goals Over/Under,Over 1.5,1.28
1378974,Goals Over/Under,Under 1.5,3.75
1378974,Goals Over/Under,Over 2.5,1.91
1378974,Goals Over/Under,Under 2.5,1.91
1378974,Goals Over/Under,Over 3.5,3.20
1378974,Goals Over/Under,Under 3.5,1.36
1378974,Goals Over/Under,Over 0.5,1.05
1378974,Goals Over/Under,Under 0.5,11.00
1378974,Goals Over/Under,Over 4.5,5.50
1378974,Goals Over/Under,Under 4.5,1.14
1378974,Goals Over/Under,Over 7.5,51.00
1378974,Goals Over/Under,Under 7.5,1.00
1378974,Goals Over/Under,Over 5.5,13.00
1378974,Goals Over/Under,Under 5.5,1.04
1378974,Goals Over/Under,Over 6.5,23.00
1378974,Goals Over/Under,Under 6.5,1.01
1378974,HT/FT Double,Home/Draw,17.00
1378974,HT/FT Double,Home/Away,41.00
1378974,HT/FT Double,Draw/Away,13.00
1378974,HT/FT Double,Draw/Draw,6.00
1378974,HT/FT Double,Home/Home,2.40
1378974,HT/FT Double,Draw/Home,4.50
1378974,HT/FT Double,Away/Home,23.00
1378974,HT/FT Double,Away/Draw,19.00
1378974,HT/FT Double,Away/Away,11.00
1378974,Double Chance,Home/Draw,1.12
1378974,Double Chance,Home/Away,1.25
1378974,Double Chance,Draw/Away,2.38
1378974,First Half Winner,Home,2.05
1378974,First Half Winner,Draw,2.30
1378974,First Half Winner,Away,6.00
1378971,Match Winner,Home,1.83
1378971,Match Winner,Draw,3.70
1378971,Match Winner,Away,4.20
1378971,Second Half Winner,Home,2.20
1378971,Second Half Winner,Draw,2.50
1378971,Second Half Winner,Away,3.75
1378971,Goals Over/Under,Over 1.5,1.28
1378971,Goals Over/Under,Under 1.5,3.75
1378971,Goals Over/Under,Over 2.5,1.91
1378971,Goals Over/Under,Under 2.5,1.91
1378971,Goals Over/Under,Over 3.5,3.20
1378971,Goals Over/Under,Under 3.5,1.36
1378971,Goals Over/Under,Over 0.5,1.05
1378971,Goals Over/Under,Under 0.5,11.00
1378971,Goals Over/Under,Over 4.5,6.00
1378971,Goals Over/Under,Under 4.5,1.12
1378971,Goals Over/Under,Over 7.5,51.00
1378971,Goals Over/Under,Under 7.5,1.00
1378971,Goals Over/Under,Over 5.5,13.00
1378971,Goals Over/Under,Under 5.5,1.04
1378971,Goals Over/Under,Over 6.5,26.00
1378971,Goals Over/Under,Under 6.5,1.01
1378971,HT/FT Double,Home/Draw,15.00
1378971,HT/FT Double,Home/Away,34.00
1378971,HT/FT Double,Draw/Away,9.50
1378971,HT/FT Double,Draw/Draw,6.00
1378971,HT/FT Double,Home/Home,2.88
1378971,HT/FT Double,Draw/Home,5.00
1378971,HT/FT Double,Away/Home,23.00
1378971,HT/FT Double,Away/Draw,17.00
1378971,HT/FT Double,Away/Away,7.50
1378971,Double Chance,Home/Draw,1.22
1378971,Double Chance,Home/Away,1.28
1378971,Double Chance,Draw/Away,1.91
1378971,First Half Winner,Home,2.40
1378971,First Half Winner,Draw,2.25
1378971,First Half Winner,Away,4.33
1378973,Match Winner,Home,3.40
1378973,Match Winner,Draw,3.20
1378973,Match Winner,Away,2.25
1378973,Second Half Winner,Home,3.40
1378973,Second Half Winner,Draw,2.30
1378973,Second Half Winner,Away,2.60
1378973,Goals Over/Under,Over 1.5,1.36
1378973,Goals Over/Under,Under 1.5,3.20
1378973,Goals Over/Under,Over 2.5,2.20
1378973,Goals Over/Under,Under 2.5,1.67
1378973,Goals Over/Under,Over 3.5,4.00
1378973,Goals Over/Under,Under 3.5,1.25
1378973,Goals Over/Under,Over 0.5,1.07
1378973,Goals Over/Under,Under 0.5,8.50
1378973,Goals Over/Under,Over 4.5,8.00
1378973,Goals Over/Under,Under 4.5,1.08
1378973,Goals Over/Under,Over 7.5,51.00
1378973,Goals Over/Under,Under 7.5,1.00
1378973,Goals Over/Under,Over 5.5,17.00
1378973,Goals Over/Under,Under 5.5,1.02
1378973,Goals Over/Under,Over 6.5,34.00
1378973,Goals Over/Under,Under 6.5,1.00
1378973,HT/FT Double,Home/Draw,15.00
1378973,HT/FT Double,Home/Away,29.00
1378973,HT/FT Double,Draw/Away,5.50
1378973,HT/FT Double,Draw/Draw,5.00
1378973,HT/FT Double,Home/Home,5.50
1378973,HT/FT Double,Draw/Home,7.50
1378973,HT/FT Double,Away/Home,34.00
1378973,HT/FT Double,Away/Draw,15.00
1378973,HT/FT Double,Away/Away,3.75
1378973,Double Chance,Home/Draw,1.62
1378973,Double Chance,Home/Away,1.36
1378973,Double Chance,Draw/Away,1.30
1378973,First Half Winner,Home,4.00
1378973,First Half Winner,Draw,2.10
1378973,First Half Winner,Away,2.88
1378975,Match Winner,Home,6.00
1378975,Match Winner,Draw,4.33
1378975,Match Winner,Away,1.55
1378975,Second Half Winner,Home,5.00
1378975,Second Half Winner,Draw,2.62
1378975,Second Half Winner,Away,1.83
1378975,Goals Over/Under,Over 1.5,1.25
1378975,Goals Over/Under,Under 1.5,4.00
1378975,Goals Over/Under,Over 2.5,1.80
1378975,Goals Over/Under,Under 2.5,2.00
1378975,Goals Over/Under,Over 3.5,3.20
1378975,Goals Over/Under,Under 3.5,1.36
1378975,Goals Over/Under,Over 0.5,1.04
1378975,Goals Over/Under,Under 0.5,12.00
1378975,Goals Over/Under,Over 4.5,5.50
1378975,Goals Over/Under,Under 4.5,1.14
1378975,Goals Over/Under,Over 7.5,51.00
1378975,Goals Over/Under,Under 7.5,1.00
1378975,Goals Over/Under,Over 5.5,11.00
1378975,Goals Over/Under,Under 5.5,1.05
1378975,Goals Over/Under,Over 6.5,23.00
1378975,Goals Over/Under,Under 6.5,1.01
1378975,HT/FT Double,Home/Draw,19.00
1378975,HT/FT Double,Home/Away,23.00
1378975,HT/FT Double,Draw/Away,4.50
1378975,HT/FT Double,Draw/Draw,6.50
1378975,HT/FT Double,Home/Home,11.00
1378975,HT/FT Double,Draw/Home,13.00
1378975,HT/FT Double,Away/Home,41.00
