fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1378969,40,Liverpool,https://media.api-sports.io/football/teams/40.png,10,7,19,2,15,4,7,6,2,61%,1,,1,489,401,82%,2.21,0
1378969,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,3,4,10,3,8,2,10,7,2,39%,2,,6,299,209,70%,1.70,0
1378970,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,3,0,3,0,3,0,13,3,2,40%,1,1,3,310,227,73%,0.20,0
1378970,34,Newcastle,https://media.api-sports.io/football/teams/34.png,3,6,16,7,9,7,11,6,1,60%,1,0,3,451,376,83%,1.43,0
1378974,47,Tottenham,https://media.api-sports.io/football/teams/47.png,6,9,16,1,12,4,14,6,0,67%,,,4,511,451,88%,2.32,0
1378974,44,Burnley,https://media.api-sports.io/football/teams/44.png,4,7,14,3,7,7,8,5,4,33%,,,3,246,181,74%,0.94,0
1378971,51,Brighton,https://media.api-sports.io/football/teams/51.png,4,5,10,1,6,4,16,4,3,50%,3,,1,427,374,88%,1.48,0
1378971,36,Fulham,https://media.api-sports.io/football/teams/36.png,2,4,7,1,5,2,15,3,2,50%,3,,3,423,349,83%,0.76,0
1378973,746,Sunderland,https://media.api-sports.io/football/teams/746.png,5,4,10,1,9,1,8,5,,37%,0,,4,323,250,77%,0.68,-1
1378973,48,West Ham,https://media.api-sports.io/football/teams/48.png,4,2,12,6,7,5,10,7,,63%,1,,2,550,468,85%,0.56,-1
1378975,39,Wolves,https://media.api-sports.io/football/teams/39.png,3,3,9,3,6,3,13,4,4,42%,1,,0,394,326,83%,0.56,0
1378975,50,Manchester City,https://media.api-sports.io/football/teams/50.png,4,7,15,4,8,7,7,5,0,58%,2,,3,563,510,91%,2.47,0
1378976,49,Chelsea,https://media.api-sports.io/football/teams/49.png,3,7,19,9,11,8,10,11,,72%,2,,4,568,510,90%,1.60,0
1378976,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,4,3,11,4,4,7,12,2,,28%,3,,2,226,168,74%,0.66,0
1378972,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,5,4,11,2,6,5,7,5,2,55%,1,,2,404,334,83%,1.86,0
1378972,55,Brentford,https://media.api-sports.io/football/teams/55.png,3,4,10,3,7,3,15,5,0,45%,2,,2,330,257,78%,1.50,0
1378977,33,Manchester United,https://media.api-sports.io/football/teams/33.png,7,7,22,8,15,7,10,3,1,61%,1,,2,475,393,83%,1.52,0
1378977,42,Arsenal,https://media.api-sports.io/football/teams/42.png,3,3,9,3,5,4,19,4,2,39%,4,,7,294,219,74%,1.31,0
1378978,63,Leeds,https://media.api-sports.io/football/teams/63.png,3,7,21,11,12,9,6,7,1,54%,0,,1,481,401,83%,2.13,0
1378978,45,Everton,https://media.api-sports.io/football/teams/45.png,1,3,7,3,5,2,8,2,2,46%,2,,2,411,324,79%,0.80,0
1378988,48,West Ham,https://media.api-sports.io/football/teams/48.png,4,5,12,3,9,3,7,7,4,41%,0,,2,392,339,86%,0.73,0
1378988,49,Chelsea,https://media.api-sports.io/football/teams/49.png,7,4,12,1,10,2,10,5,2,59%,1,,3,577,505,88%,2.74,0
1378986,50,Manchester City,https://media.api-sports.io/football/teams/50.png,4,3,10,3,6,4,7,7,0,61%,1,,3,525,456,87%,1.55,0
1378986,47,Tottenham,https://media.api-sports.io/football/teams/47.png,5,5,12,2,10,2,12,2,1,39%,4,,4,331,259,78%,1.11,0
1378980,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,4,5,14,5,8,6,13,8,2,59%,2,0,1,447,387,87%,1.29,0
1378980,39,Wolves,https://media.api-sports.io/football/teams/39.png,1,3,6,2,3,3,16,3,2,41%,4,1,3,307,225,73%,0.46,0
1378982,44,Burnley,https://media.api-sports.io/football/teams/44.png,2,4,7,1,4,3,9,4,0,42%,0,,1,442,356,81%,1.00,0
