fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,penalty_home,penalty_away
216917,2019-08-06 17:00:00+00:00,1565110800,FT,90,1565110800,1565114400,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Stadio Toumbas,Thessaloníki,780.0,S. Vinčić,PAOK,619,https://media.api-sports.io/football/teams/619.png,,Ajax,194,https://media.api-sports.io/football/teams/194.png,,2,2,2,1,2,2,,
232970,2019-08-06 17:00:00+00:00,1565110800,FT,90,1565110800,1565114400,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Neo GSP,Levkosía,,D. Massa,Apoel Nicosia,2247,https://media.api-sports.io/football/teams/2247.png,False,Qarabag,556,https://media.api-sports.io/football/teams/556.png,True,1,2,0,0,1,2,,
232972,2019-08-06 18:00:00+00:00,1565114400,FT,90,1565114400,1565118000,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Stadion Maksimir,Zagreb,412.0,P. Raczkowski,Dinamo Zagreb,620,https://media.api-sports.io/football/teams/620.png,,Ferencvarosi TC,651,https://media.api-sports.io/football/teams/651.png,,1,1,1,0,1,1,,
216921,2019-08-06 18:30:00+00:00,1565116200,FT,90,1565116200,1565119800,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Jan Breydelstadion,Brugge,176.0,Javier Estrada,Club Brugge KV,569,https://media.api-sports.io/football/teams/569.png,True,Dynamo Kyiv,572,https://media.api-sports.io/football/teams/572.png,False,1,0,1,0,1,0,,
232974,2019-08-06 18:45:00+00:00,1565117100,FT,90,1565117100,1565120700,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Stadion Rajko Mitić,Beograd,1406.0,Tiago Martins,FK Crvena Zvezda,598,https://media.api-sports.io/football/teams/598.png,,FC Copenhagen,400,https://media.api-sports.io/football/teams/400.png,,1,1,1,0,1,1,,
216919,2019-08-07 17:00:00+00:00,1565197200,FT,90,1565197200,1565200800,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Stadion FK Krasnodar,Krasnodar,1338.0,T. Stieler,Krasnodar,621,https://media.api-sports.io/football/teams/621.png,False,FC Porto,212,https://media.api-sports.io/football/teams/212.png,True,0,1,0,0,0,1,,
232976,2019-08-07 17:45:00+00:00,1565199900,FT,90,1565199900,1565203500,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Başakşehir Fatih Terim Stadyumu,İstanbul,1584.0,O. Grinfeld,Istanbul Basaksehir,564,https://media.api-sports.io/football/teams/564.png,False,Olympiakos Piraeus,553,https://media.api-sports.io/football/teams/553.png,True,0,1,0,0,0,1,,
232978,2019-08-07 18:00:00+00:00,1565200800,FT,90,1565200800,1565204400,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,St. Jakob-Park,Basel,1530.0,A. Ekberg,FC Basel 1893,551,https://media.api-sports.io/football/teams/551.png,False,Lask Linz,1026,https://media.api-sports.io/football/teams/1026.png,True,1,2,0,0,1,2,,
232980,2019-08-07 18:00:00+00:00,1565200800,FT,90,1565200800,1565204400,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Stadionul Dr. Constantin Rădulescu,Cluj-Napoca,1311.0,S. Jovanović,CFR 1907 Cluj,2246,https://media.api-sports.io/football/teams/2246.png,,Celtic,247,https://media.api-sports.io/football/teams/247.png,,1,1,1,1,1,1,,
232982,2019-08-07 18:15:00+00:00,1565201700,FT,90,1565201700,1565205300,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Ljudski vrt,Maribor,1441.0,F. Letexier,Maribor,552,https://media.api-sports.io/football/teams/552.png,False,Rosenborg,331,https://media.api-sports.io/football/teams/331.png,True,1,3,0,0,1,3,,
232971,2019-08-13 16:30:00+00:00,1565713800,FT,90,1565713800,1565717400,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Tofiq Bəhramov adına Respublika stadionu,Baku,,D. Siebert,Qarabag,556,https://media.api-sports.io/football/teams/556.png,False,Apoel Nicosia,2247,https://media.api-sports.io/football/teams/2247.png,True,0,2,0,1,0,2,,
232983,2019-08-13 17:00:00+00:00,1565715600,FT,90,1565715600,1565719200,,World,2,UEFA Champions League,,https://media.api-sports.io/football/leagues/2.png,2019,3rd Qualifying Round,Lerkendal Stadion,Trondheim,1190.0,S. Gözübüyük,Rosenborg,331,https://media.api-sports.io/football/teams/331.png,True,Maribor,552,https://media.api-sports.io/football/teams/552.png,False,3,1,0,1,3,1,,
