fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_total,tackles_total,goals_assists,dribbles_past,penalty_won,penalty_commited,offsides
216917,PAOK,619,2355,Alexandros Paschalakis,https://media.api-sports.io/football/players/2355.png,90,31,G,6.5,False,False,0,0,2.0,4.0,11,0,52%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
216917,PAOK,619,2359,Leo Matos,https://media.api-sports.io/football/players/2359.png,90,3,D,7.3,False,False,1,1,,,31,0,81%,0.0,0,0,0,2,1,1,0,0,0,,1.0,2.0,,,,,
216917,PAOK,619,2363,Fernando Varela,https://media.api-sports.io/football/players/2363.png,90,5,D,6.5,False,False,0,0,,,32,0,76%,0.0,0,3,3,0,1,0,0,0,0,,,,,,,,
216917,PAOK,619,2358,Jose Angel Crespo,https://media.api-sports.io/football/players/2358.png,90,15,D,6.5,False,False,0,0,,,19,0,70%,1.0,0,0,0,0,0,0,0,0,0,,,1.0,,,,,
216917,PAOK,619,2360,Dimitris Giannoulis,https://media.api-sports.io/football/players/2360.png,90,23,D,6.8,False,False,1,0,,,16,1,59%,0.0,1,1,1,3,1,0,0,0,0,,,2.0,1.0,1.0,,,
216917,PAOK,619,2384,Léo Jabá,https://media.api-sports.io/football/players/2384.png,79,98,M,6.4,False,False,1,0,,,11,1,64%,0.0,1,1,1,3,0,0,0,0,0,,,,,1.0,,,
216917,PAOK,619,8484,Anderson Esiti,https://media.api-sports.io/football/players/8484.png,90,24,M,6.9,False,False,0,0,,,15,0,93%,2.0,2,1,1,0,3,0,0,0,0,,,1.0,,1.0,,,
216917,PAOK,619,2371,Omar El Kaddouri,https://media.api-sports.io/football/players/2371.png,90,7,M,6.9,False,False,0,0,,,21,0,77%,0.0,2,0,0,0,2,0,0,0,0,,,2.0,,,,,
216917,PAOK,619,2368,Diego Biseswar,https://media.api-sports.io/football/players/2368.png,73,21,M,7.3,False,False,2,1,,,15,2,83%,0.0,2,1,1,3,1,0,0,0,0,,,,1.0,,,,
216917,PAOK,619,2374,Dimitris Pelkas,https://media.api-sports.io/football/players/2374.png,65,10,F,6.2,True,False,1,0,,,9,0,64%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
216917,PAOK,619,2380,Chuba Akpom,https://media.api-sports.io/football/players/2380.png,90,47,F,7.2,False,False,1,1,,,9,0,75%,1.0,0,1,1,2,2,0,0,0,0,,1.0,,,1.0,,,
216917,PAOK,619,10036,Douglas,https://media.api-sports.io/football/players/10036.png,17,33,M,6.2,False,True,0,0,,,3,0,50%,0.0,0,0,0,0,0,0,0,0,0,,,,,1.0,,,
216917,PAOK,619,1244,Miroslav Stoch,https://media.api-sports.io/football/players/1244.png,11,99,M,6.5,False,True,0,0,,,0,0,0%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
216917,PAOK,619,2383,Dimitris Limnios,https://media.api-sports.io/football/players/2383.png,25,18,F,6.4,False,True,0,0,,,2,0,50%,0.0,0,0,0,0,1,0,0,0,0,,,,,,,,
216917,Ajax,194,526,Andre Onana,https://media.api-sports.io/football/players/526.png,90,24,G,6.0,False,False,0,0,2.0,1.0,18,0,75%,0.0,1,0,0,0,0,0,0,0,0,0.0,,,,,,,
216917,Ajax,194,537,Joel Veltman,https://media.api-sports.io/football/players/537.png,90,3,D,6.6,False,False,1,0,,,39,0,95%,0.0,1,0,0,0,2,0,0,0,0,,,1.0,,,,,
216917,Ajax,194,535,Perr Schuurs,https://media.api-sports.io/football/players/535.png,90,2,D,6.6,False,False,1,0,,,39,1,90%,0.0,2,1,1,0,0,0,0,0,0,,,,,1.0,,,
216917,Ajax,194,2467,Lisandro Martínez,https://media.api-sports.io/football/players/2467.png,90,21,D,6.5,False,False,0,0,,,61,0,91%,0.0,1,0,0,0,1,0,0,0,0,,,,,1.0,,,
216917,Ajax,194,529,Nicolas Tagliafico,https://media.api-sports.io/football/players/529.png,90,31,D,7.6,False,False,0,0,,,61,2,93%,1.0,2,0,0,1,2,0,0,0,0,,,2.0,,,,,
216917,Ajax,194,545,Noussair Mazraoui,https://media.api-sports.io/football/players/545.png,82,12,M,6.6,False,False,0,0,,,45,1,91%,0.0,1,0,0,4,4,1,0,0,0,,,1.0,,1.0,,,
216917,Ajax,194,531,Daley Blind,https://media.api-sports.io/football/players/531.png,90,17,M,6.4,False,False,0,0,,,91,2,90%,0.0,1,5,1,0,1,0,0,0,0,,,,,1.0,,,
216917,Ajax,194,548,Hakim Ziyech,https://media.api-sports.io/football/players/548.png,82,22,M,7.5,False,False,6,2,,,31,4,79%,0.0,0,2,1,2,1,0,0,0,0,,1.0,1.0,,2.0,,,
216917,Ajax,194,547,Donny van de Beek,https://media.api-sports.io/football/players/547.png,90,6,M,6.2,False,False,1,0,,,29,1,87%,0.0,0,0,0,0,0,0,0,0,0,,,1.0,,2.0,,,
216917,Ajax,194,554,Dusan Tadic,https://media.api-sports.io/football/players/554.png,90,10,M,6.6,True,False,3,1,,,40,1,72%,0.0,0,1,1,2,2,0,0,0,0,,,,,,,,
216917,Ajax,194,550,Kasper Dolberg,https://media.api-sports.io/football/players/550.png,33,25,F,6.5,False,False,0,0,,,3,0,60%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
216917,Ajax,194,552,David Neres,https://media.api-sports.io/football/players/552.png,8,7,M,6.7,False,False,0,0,,,6,0,85%,0.0,0,1,1,0,0,0,0,0,0,,,,,,,,
216917,Ajax,194,2118,Razvan Marin,https://media.api-sports.io/football/players/2118.png,8,18,M,6.8,False,False,1,1,,,8,0,72%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
