fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
216917,619,PAOK,https://media.api-sports.io/football/teams/619.png,3,3,7,1,4,3,12,0,2,32%,1,,4,269,194,72%
216917,194,Ajax,https://media.api-sports.io/football/teams/194.png,6,7,17,4,6,11,13,5,2,68%,1,,1,553,481,87%
232970,2247,Apoel Nicosia,https://media.api-sports.io/football/teams/2247.png,7,3,10,,,,13,7,4,,2,0,3,,,
232970,556,Qarabag,https://media.api-sports.io/football/teams/556.png,5,0,5,,,,19,3,2,,3,0,7,,,
232972,620,Dinamo Zagreb,https://media.api-sports.io/football/teams/620.png,9,7,16,,,,16,9,,59%,2,0,4,,,
232972,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,5,0,5,,,,10,4,,41%,5,0,8,,,
216921,569,Club Brugge KV,https://media.api-sports.io/football/teams/569.png,5,4,9,,,,21,4,1,54%,2,0,1,,,
216921,572,Dynamo Kyiv,https://media.api-sports.io/football/teams/572.png,1,6,7,,,,18,3,3,46%,4,0,4,,,
232974,598,FK Crvena Zvezda,https://media.api-sports.io/football/teams/598.png,6,6,12,,,,15,5,1,45%,4,0,0,,,
232974,400,FC Copenhagen,https://media.api-sports.io/football/teams/400.png,1,2,3,,,,18,4,1,55%,1,0,5,,,
216919,621,Krasnodar,https://media.api-sports.io/football/teams/621.png,2,5,7,,,,7,1,7,46%,1,0,2,,,
216919,212,FC Porto,https://media.api-sports.io/football/teams/212.png,3,7,10,,,,12,5,1,54%,3,0,2,,,
232976,564,Istanbul Basaksehir,https://media.api-sports.io/football/teams/564.png,6,7,13,,,,10,11,1,55%,5,1,3,,,
232976,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,4,3,7,,,,17,1,0,45%,3,0,6,,,
232978,551,FC Basel 1893,https://media.api-sports.io/football/teams/551.png,4,4,11,3,8,3,9,5,6,49%,1,,1,386,260,67%
232978,1026,Lask Linz,https://media.api-sports.io/football/teams/1026.png,3,9,15,3,6,9,15,4,1,51%,1,,3,405,263,65%
232982,552,Maribor,https://media.api-sports.io/football/teams/552.png,2,9,11,,,,14,6,0,47%,2,0,1,,,
232982,331,Rosenborg,https://media.api-sports.io/football/teams/331.png,4,3,7,,,,13,4,3,53%,2,0,1,,,
232971,556,Qarabag,https://media.api-sports.io/football/teams/556.png,2,6,8,,,,13,7,0,55%,2,1,2,,,
232971,2247,Apoel Nicosia,https://media.api-sports.io/football/teams/2247.png,4,4,8,,,,18,3,1,45%,1,0,2,,,
232983,331,Rosenborg,https://media.api-sports.io/football/teams/331.png,6,1,7,,,,14,4,1,50%,2,0,5,,,
232983,552,Maribor,https://media.api-sports.io/football/teams/552.png,6,7,13,,,,12,4,3,50%,0,0,3,,,
232973,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,5,4,9,,,,10,8,0,40%,2,1,6,,,
