fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
866829,709,Pyunik Yerevan,https://media.api-sports.io/football/teams/709.png,,,,,,,,5,,,3,0,,,,,
866829,2246,CFR 1907 Cluj,https://media.api-sports.io/football/teams/2246.png,,,,,,,,11,,,1,0,,,,,
878836,375,Malmo FF,https://media.api-sports.io/football/teams/375.png,,,,,,,,2,,,3,0,,,,,
878836,278,Vikingur Reykjavik,https://media.api-sports.io/football/teams/278.png,,,,,,,,1,,,4,0,,,,,
866833,566,Ludogorets,https://media.api-sports.io/football/teams/566.png,,,,,,,,6,,,1,0,,,,,
866833,673,Sutjeska,https://media.api-sports.io/football/teams/673.png,,,,,,,,2,,,1,0,,,,,
866849,347,Lech Poznan,https://media.api-sports.io/football/teams/347.png,,,,,,,,2,,,0,0,,,,,
866849,556,Qarabag,https://media.api-sports.io/football/teams/556.png,,,,,,,,6,,,1,0,,,,,
866845,354,The New Saints,https://media.api-sports.io/football/teams/354.png,,,,,,,,5,,,2,0,,,,,
866845,583,Linfield,https://media.api-sports.io/football/teams/583.png,,,,,,,,5,,,3,0,,,,,
866839,12733,Ballkani,https://media.api-sports.io/football/teams/12733.png,,,,,,,,5,,,3,0,,,,,
866839,586,FK Zalgiris Vilnius,https://media.api-sports.io/football/teams/586.png,,,,,,,,3,,,2,0,,,,,
866847,652,Shamrock Rovers,https://media.api-sports.io/football/teams/652.png,,,,,,,,6,,,0,0,,,,,
866847,3884,Hibernians,https://media.api-sports.io/football/teams/3884.png,,,,,,,,1,,,1,0,,,,,
866851,2265,Shkupi 1927,https://media.api-sports.io/football/teams/2265.png,6,4,16,6,,,12,4,1,,1,0,7,,,,
866851,667,Lincoln Red Imps FC,https://media.api-sports.io/football/teams/667.png,7,3,11,1,,,7,6,2,,0,0,2,,,,
866837,2259,FK Tobol Kostanay,https://media.api-sports.io/football/teams/2259.png,,,,,,,,4,,,2,0,,,,,
866837,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,,,,,,,,7,,,3,0,,,,,
866843,327,Bodo/Glimt,https://media.api-sports.io/football/teams/327.png,,,,,,,,11,,,0,0,,,,,
866843,701,KI Klaksvik,https://media.api-sports.io/football/teams/701.png,,,,,,,,4,,,1,0,,,,,
866841,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,,,,,,,5,,,2,0,,,,,
866841,4160,Rīgas FS,https://media.api-sports.io/football/teams/4160.png,,,,,,,,3,,,3,0,,,,,
866835,578,F91 Dudelange,https://media.api-sports.io/football/teams/578.png,4,4,8,,,,15,5,,,1,0,1,,,,
866835,694,Tirana,https://media.api-sports.io/football/teams/694.png,1,2,5,,,,11,3,,,2,0,3,,,,
866853,588,Zrinjski,https://media.api-sports.io/football/teams/588.png,,,,,,,,3,,,4,0,,,,,
866853,568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png,,,,,,,,3,,,4,0,,,,,
866831,552,Maribor,https://media.api-sports.io/football/teams/552.png,,,,,,,,7,,,2,0,,,,,
866831,392,Shakhter Soligorsk,https://media.api-sports.io/football/teams/392.png,,,,,,,,5,,,1,0,,,,,
866855,656,Slovan Bratislava,https://media.api-sports.io/football/teams/656.png,5,7,13,1,,,17,4,,,2,0,5,,,,
866855,705,Dinamo Batumi,https://media.api-sports.io/football/teams/705.png,5,5,12,2,,,10,1,,,5,0,5,,,,
866842,4160,Rīgas FS,https://media.api-sports.io/football/teams/4160.png,,,,,,,,7,,,7,0,,,,,
866842,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,,,,,,,6,,,4,0,,,,,
866850,556,Qarabag,https://media.api-sports.io/football/teams/556.png,9,3,19,,,,18,7,3,55%,4,0,1,,,,
866850,347,Lech Poznan,https://media.api-sports.io/football/teams/347.png,2,1,3,,,,12,3,1,45%,1,0,4,,,,
866840,586,FK Zalgiris Vilnius,https://media.api-sports.io/football/teams/586.png,,,,,,,,5,,,4,0,,,,,
866840,12733,Ballkani,https://media.api-sports.io/football/teams/12733.png,,,,,,,,4,,,2,0,,,,,
866852,667,Lincoln Red Imps FC,https://media.api-sports.io/football/teams/667.png,,,,,,,,6,,,2,0,,,,,
866852,2265,Shkupi 1927,https://media.api-sports.io/football/teams/2265.png,,,,,,,,2,,,6,0,,,,,
866854,568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png,,,,,,,,4,,,2,0,,,,,
866854,588,Zrinjski,https://media.api-sports.io/football/teams/588.png,,,,,,,,3,,,2,0,,,,,
866836,694,Tirana,https://media.api-sports.io/football/teams/694.png,3,2,5,,,,14,1,,54%,6,0,1,,,,
