rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,40,Liverpool,https://media.api-sports.io/football/teams/40.png,21,12,UEFA Champions League,LWWWW,same,Promotion - Champions League (Play Offs: 1/8-finals),8,7,0,1,17,5,4,4,0,0,10,1,4,3,0,1,7,4
2,529,Barcelona,https://media.api-sports.io/football/teams/529.png,19,15,UEFA Champions League,DWWWW,same,Promotion - Champions League (Play Offs: 1/8-finals),8,6,1,1,28,13,4,3,1,0,14,3,4,3,0,1,14,10
3,42,Arsenal,https://media.api-sports.io/football/teams/42.png,19,13,UEFA Champions League,WWWWL,same,Promotion - Champions League (Play Offs: 1/8-finals),8,6,1,1,16,3,4,4,0,0,9,0,4,2,1,1,7,3
4,505,Inter,https://media.api-sports.io/football/teams/505.png,19,10,UEFA Champions League,WWLWW,same,Promotion - Champions League (Play Offs: 1/8-finals),8,6,1,1,11,1,4,4,0,0,9,0,4,2,1,1,2,1
5,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,18,8,UEFA Champions League,WWWWW,same,Promotion - Champions League (Play Offs: 1/8-finals),8,6,0,2,20,12,4,3,0,1,8,6,4,3,0,1,12,6
6,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,16,8,UEFA Champions League,WLWWL,same,Promotion - Champions League (Play Offs: 1/8-finals),8,5,1,2,15,7,4,4,0,0,9,0,4,1,1,2,6,7
7,79,Lille,https://media.api-sports.io/football/teams/79.png,16,7,UEFA Champions League,WLWWD,same,Promotion - Champions League (Play Offs: 1/8-finals),8,5,1,2,17,10,4,3,1,0,11,4,4,2,0,2,6,6
8,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,16,7,UEFA Champions League,WLWDL,same,Promotion - Champions League (Play Offs: 1/8-finals),8,5,1,2,13,6,4,3,1,0,7,2,4,2,0,2,6,4
9,499,Atalanta,https://media.api-sports.io/football/teams/499.png,15,14,UEFA Champions League,DWLWW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,3,1,20,6,4,1,2,1,7,3,4,3,1,0,13,3
10,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,15,10,UEFA Champions League,WLLWW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,5,0,3,22,12,4,3,0,1,13,5,4,2,0,2,9,7
11,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,15,8,UEFA Champions League,WWWLL,same,Promotion - Champions League (Play Offs: 1/16-finals),8,5,0,3,20,12,4,3,0,1,14,7,4,2,0,2,6,5
12,157,Bayern München,https://media.api-sports.io/football/teams/157.png,15,8,UEFA Champions League,WLWWW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,5,0,3,20,12,4,4,0,0,14,3,4,1,0,3,6,9
13,489,AC Milan,https://media.api-sports.io/football/teams/489.png,15,3,UEFA Champions League,LWWWW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,5,0,3,14,11,4,3,0,1,7,5,4,2,0,2,7,6
14,197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,14,4,UEFA Champions League,WWLWW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,2,2,16,12,4,3,1,0,11,5,4,1,1,2,5,7
15,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,13,5,UEFA Champions League,WWWLL,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,1,3,14,9,4,2,1,1,7,5,4,2,0,2,7,4
16,211,Benfica,https://media.api-sports.io/football/teams/211.png,13,4,UEFA Champions League,WLDWL,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,1,3,16,12,4,1,1,2,9,8,4,3,0,1,7,4
17,91,Monaco,https://media.api-sports.io/football/teams/91.png,13,0,UEFA Champions League,LWLLW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,1,3,13,13,4,3,0,1,10,5,4,1,1,2,3,8
18,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,13,-1,UEFA Champions League,LLWLW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,1,3,10,11,4,2,1,1,4,5,4,2,0,2,6,6
19,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,13,-3,UEFA Champions League,LWWDL,same,Promotion - Champions League (Play Offs: 1/16-finals),8,4,1,3,18,21,4,2,0,2,8,9,4,2,1,1,10,12
20,496,Juventus,https://media.api-sports.io/football/teams/496.png,12,2,UEFA Champions League,LDWDD,same,Promotion - Champions League (Play Offs: 1/16-finals),8,3,3,2,9,7,4,2,0,2,5,4,4,1,3,0,4,3
21,247,Celtic,https://media.api-sports.io/football/teams/247.png,12,-1,UEFA Champions League,LWDDW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,3,3,2,13,14,4,3,1,0,10,3,4,0,2,2,3,11
22,50,Manchester City,https://media.api-sports.io/football/teams/50.png,11,4,UEFA Champions League,WLLDL,same,Promotion - Champions League (Play Offs: 1/16-finals),8,3,2,3,18,14,4,2,2,0,11,4,4,1,0,3,7,10
23,228,Sporting CP,https://media.api-sports.io/football/teams/228.png,11,1,UEFA Champions League,DLLLW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,3,2,3,13,12,4,2,1,1,8,7,4,1,1,2,5,5
24,569,Club Brugge KV,https://media.api-sports.io/football/teams/569.png,11,-4,UEFA Champions League,LDWDW,same,Promotion - Champions League (Play Offs: 1/16-finals),8,3,2,3,7,11,4,2,1,1,3,4,4,1,1,2,4,7
25,620,Dinamo Zagreb,https://media.api-sports.io/football/teams/620.png,11,-7,UEFA Champions League,WLDLW,same,,8,3,2,3,12,19,4,1,2,1,4,6,4,2,0,2,8,13
26,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,10,-4,UEFA Champions League,LWWLL,same,,8,3,1,4,13,17,4,1,1,2,7,8,4,2,0,2,6,9
27,550,Shakhtar Donetsk,https://media.api-sports.io/football/teams/550.png,7,-8,UEFA Champions League,LWLLW,same,,8,2,1,5,8,16,4,2,0,2,5,9,4,0,1,3,3,7
28,500,Bologna,https://media.api-sports.io/football/teams/500.png,6,-5,UEFA Champions League,DWDLL,same,,8,1,3,4,4,9,4,1,1,2,3,4,4,0,2,2,1,5
29,598,FK Crvena Zvezda,https://media.api-sports.io/football/teams/598.png,6,-9,UEFA Champions League,WLLWL,same,,8,2,0,6,13,22,4,1,0,3,10,11,4,1,0,3,3,11
30,637,Sturm Graz,https://media.api-sports.io/football/teams/637.png,6,-9,UEFA Champions League,WLLWL,same,,8,2,0,6,5,14,4,2,0,2,2,3,4,0,0,4,3,11
31,628,Sparta Praha,https://media.api-sports.io/football/teams/628.png,4,-14,UEFA Champions League,LLLLL,same,,8,1,1,6,7,21,4,1,0,3,4,9,4,0,1,3,3,12
32,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,3,-7,UEFA Champions League,LWLLL,same,,8,1,0,7,8,15,4,1,0,3,6,8,4,0,0,4,2,7
33,547,Girona,https://media.api-sports.io/football/teams/547.png,3,-8,UEFA Champions League,LLLLL,same,,8,1,0,7,5,13,4,1,0,3,5,6,4,0,0,4,0,7
34,571,Red Bull Salzburg,https://media.api-sports.io/football/teams/571.png,3,-22,UEFA Champions League,LLLLW,same,,8,1,0,7,5,27,4,0,0,4,1,13,4,1,0,3,4,14
35,656,Slovan Bratislava,https://media.api-sports.io/football/teams/656.png,0,-20,UEFA Champions League,LLLLL,same,,8,0,0,8,7,27,4,0,0,4,4,14,4,0,0,4,3,13
36,565,BSC Young Boys,https://media.api-sports.io/football/teams/565.png,0,-21,UEFA Champions League,LLLLL,same,,8,0,0,8,3,24,4,0,0,4,1,11,4,0,0,4,2,13
