fixture_id,bet_name,bet_value,bet_odd
1435549,Match Winner,Home,1.12
1435549,Match Winner,Draw,7.50
1435549,Match Winner,Away,17.00
1435549,Second Half Winner,Home,1.33
1435549,Second Half Winner,Draw,3.75
1435549,Second Half Winner,Away,10.00
1435549,Goals Over/Under,Over 1.5,1.10
1435549,Goals Over/Under,Under 1.5,6.50
1435549,Goals Over/Under,Over 2.5,1.40
1435549,Goals Over/Under,Under 2.5,2.75
1435549,Goals Over/Under,Over 3.5,1.83
1435549,Goals Over/Under,Under 3.5,1.83
1435549,Goals Over/Under,Over 0.5,1.01
1435549,Goals Over/Under,Under 0.5,12.00
1435549,Goals Over/Under,Over 8.5,17.00
1435549,Goals Over/Under,Under 8.5,1.00
1435549,Goals Over/Under,Over 4.5,3.00
1435549,Goals Over/Under,Under 4.5,1.36
1435549,Goals Over/Under,Over 7.5,12.00
1435549,Goals Over/Under,Under 7.5,1.01
1435549,Goals Over/Under,Over 5.5,5.00
1435549,Goals Over/Under,Under 5.5,1.14
1435549,Goals Over/Under,Over 6.5,8.50
1435549,Goals Over/Under,Under 6.5,1.05
1435549,HT/FT Double,Home/Draw,26.00
1435549,HT/FT Double,Home/Away,67.00
1435549,HT/FT Double,Draw/Away,29.00
1435549,HT/FT Double,Draw/Draw,12.00
1435549,HT/FT Double,Home/Home,1.50
1435549,HT/FT Double,Draw/Home,4.00
1435549,HT/FT Double,Away/Home,21.00
1435549,HT/FT Double,Away/Draw,29.00
1435549,HT/FT Double,Away/Away,29.00
1435549,Double Chance,Home/Draw,1.00
1435549,Double Chance,Home/Away,1.07
1435549,Double Chance,Draw/Away,5.50
1435549,First Half Winner,Home,1.44
1435549,First Half Winner,Draw,3.10
1435549,First Half Winner,Away,12.00
1424397,Match Winner,Home,1.44
1424397,Match Winner,Draw,4.75
1424397,Match Winner,Away,5.75
1424397,Second Half Winner,Home,1.80
1424397,Second Half Winner,Draw,3.00
1424397,Second Half Winner,Away,4.75
1424397,Goals Over/Under,Over 1.5,1.12
1424397,Goals Over/Under,Under 1.5,5.50
1424397,Goals Over/Under,Over 2.5,1.44
1424397,Goals Over/Under,Under 2.5,2.62
1424397,Goals Over/Under,Over 3.5,2.00
1424397,Goals Over/Under,Under 3.5,1.73
1424397,Goals Over/Under,Over 0.5,1.01
1424397,Goals Over/Under,Under 0.5,12.00
1424397,Goals Over/Under,Over 8.5,21.00
1424397,Goals Over/Under,Under 8.5,1.00
1424397,Goals Over/Under,Over 4.5,3.40
1424397,Goals Over/Under,Under 4.5,1.30
1424397,Goals Over/Under,Over 7.5,13.00
1424397,Goals Over/Under,Under 7.5,1.01
1424397,Goals Over/Under,Over 5.5,6.00
1424397,Goals Over/Under,Under 5.5,1.11
1424397,Goals Over/Under,Over 6.5,9.00
1424397,Goals Over/Under,Under 6.5,1.04
1424397,HT/FT Double,Home/Draw,17.00
1424397,HT/FT Double,Home/Away,41.00
1424397,HT/FT Double,Draw/Away,13.00
1424397,HT/FT Double,Draw/Draw,8.00
1424397,HT/FT Double,Home/Home,2.10
1424397,HT/FT Double,Draw/Home,4.50
1424397,HT/FT Double,Away/Home,19.00
1424397,HT/FT Double,Away/Draw,17.00
1424397,HT/FT Double,Away/Away,9.00
1424397,Double Chance,Home/Draw,1.12
1424397,Double Chance,Home/Away,1.17
1424397,Double Chance,Draw/Away,2.62
1424397,First Half Winner,Home,1.83
1424397,First Half Winner,Draw,2.62
1424397,First Half Winner,Away,5.50
1435548,Match Winner,Home,2.55
1435548,Match Winner,Draw,3.50
1435548,Match Winner,Away,2.70
1435548,Second Half Winner,Home,2.75
1435548,Second Half Winner,Draw,2.50
1435548,Second Half Winner,Away,2.88
1435548,Goals Over/Under,Over 1.5,1.28
1435548,Goals Over/Under,Under 1.5,3.50
1435548,Goals Over/Under,Over 2.5,1.90
1435548,Goals Over/Under,Under 2.5,1.90
1435548,Goals Over/Under,Over 3.5,3.25
1435548,Goals Over/Under,Under 3.5,1.33
1435548,Goals Over/Under,Over 0.5,1.05
1435548,Goals Over/Under,Under 0.5,8.50
1435548,Goals Over/Under,Over 4.5,6.00
1435548,Goals Over/Under,Under 4.5,1.11
