fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1421137,375,Malmo FF,https://media.api-sports.io/football/teams/375.png,0,4,4,0,2,2,7,0,1,51%,1,,1,524,447,85%,,
1421137,400,FC Copenhagen,https://media.api-sports.io/football/teams/400.png,1,5,10,4,3,7,16,7,1,49%,2,,0,497,415,84%,,
1421141,571,Red Bull Salzburg,https://media.api-sports.io/football/teams/571.png,5,7,20,8,17,3,6,6,1,46%,1,,3,458,389,85%,,
1421141,569,Club Brugge KV,https://media.api-sports.io/football/teams/569.png,5,3,12,4,10,2,3,6,1,54%,1,,5,545,467,86%,,
1421142,566,Ludogorets,https://media.api-sports.io/football/teams/566.png,0,8,10,2,5,5,12,2,1,41%,1,,2,314,255,81%,,
1421142,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,2,11,17,4,14,3,14,9,3,59%,3,,0,447,384,86%,,
1421143,347,Lech Poznan,https://media.api-sports.io/football/teams/347.png,4,4,11,3,5,6,13,4,1,59%,1,,3,512,427,83%,,
1421143,598,FK Crvena Zvezda,https://media.api-sports.io/football/teams/598.png,6,5,12,1,8,4,11,4,3,41%,1,,3,352,262,74%,,
1414143,84,Nice,https://media.api-sports.io/football/teams/84.png,2,7,12,3,5,7,9,4,1,47%,3,,4,435,377,87%,,
1414143,211,Benfica,https://media.api-sports.io/football/teams/211.png,6,3,14,5,10,4,14,5,3,53%,1,,2,486,419,86%,,
1414142,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,3,5,13,5,8,5,16,3,0,44%,2,,1,368,288,78%,,
1414142,611,Fenerbahce,https://media.api-sports.io/football/teams/611.png,2,3,8,3,4,4,15,5,4,56%,0,,1,464,381,82%,,
1421148,400,FC Copenhagen,https://media.api-sports.io/football/teams/400.png,8,2,12,2,8,4,15,2,3,53%,0,,3,488,427,88%,,
1421148,375,Malmo FF,https://media.api-sports.io/football/teams/375.png,3,1,7,3,6,1,6,1,1,47%,2,,3,451,378,84%,,
1421146,567,Plzen,https://media.api-sports.io/football/teams/567.png,10,13,27,4,21,6,15,6,2,41%,1,,1,336,269,80%,,
1421146,257,Rangers,https://media.api-sports.io/football/teams/257.png,2,3,9,4,5,4,11,3,0,59%,2,,8,525,443,84%,,
1414144,611,Fenerbahce,https://media.api-sports.io/football/teams/611.png,8,3,14,3,10,4,18,5,1,47%,2,,6,307,236,77%,,
1414144,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,8,4,16,4,12,4,14,7,0,53%,2,,4,341,278,82%,,
1421147,569,Club Brugge KV,https://media.api-sports.io/football/teams/569.png,9,11,23,3,18,5,7,8,1,55%,1,,1,491,420,86%,,
1421147,571,Red Bull Salzburg,https://media.api-sports.io/football/teams/571.png,3,4,12,5,8,4,4,3,1,45%,0,,6,406,336,83%,,
1421149,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,6,6,15,3,10,5,15,5,0,41%,3,,4,277,205,74%,,
1421149,566,Ludogorets,https://media.api-sports.io/football/teams/566.png,4,5,11,2,9,2,14,4,1,59%,4,,3,400,310,78%,,
1419569,656,Slovan Bratislava,https://media.api-sports.io/football/teams/656.png,2,7,16,7,8,8,29,6,1,55%,7,,6,517,395,76%,,
1419569,664,Kairat Almaty,https://media.api-sports.io/football/teams/664.png,6,5,14,3,6,8,23,5,3,45%,4,,1,418,314,75%,,
1414145,211,Benfica,https://media.api-sports.io/football/teams/211.png,5,8,21,8,14,7,9,6,2,58%,1,,0,541,472,87%,,
1414145,84,Nice,https://media.api-sports.io/football/teams/84.png,0,4,9,5,8,1,13,6,2,42%,2,,3,373,300,80%,,
1435547,257,Rangers,https://media.api-sports.io/football/teams/257.png,1,7,15,7,8,7,11,9,0,53%,3,,4,450,396,88%,,
1435547,569,Club Brugge KV,https://media.api-sports.io/football/teams/569.png,7,3,10,0,7,3,9,9,2,47%,1,,0,417,356,85%,,
1435546,598,FK Crvena Zvezda,https://media.api-sports.io/football/teams/598.png,6,13,25,6,19,6,9,13,,57%,1,,1,395,316,80%,,
1435546,3403,Pafos,https://media.api-sports.io/football/teams/3403.png,3,7,14,4,8,6,17,4,,43%,1,,5,323,247,76%,,
