fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_blocks,tackles_interceptions,duels_total,duels_won,fouls_drawn,shots_total,tackles_total,dribbles_attempts,dribbles_success,fouls_committed,dribbles_past,penalty_won,shots_on,goals_total,goals_assists,offsides,penalty_commited
787813,Maccabi Tel Aviv,604,126530,Daniel Peretz,https://media.api-sports.io/football/players/126530.png,90.0,1,G,6.9,False,False,1,4.0,25.0,17,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,46879,Andre Geraldes,https://media.api-sports.io/football/players/46879.png,90.0,28,D,7.5,False,False,0,,59.0,54,0,0,0,0,,3.0,1.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,46818,Luis Hernández,https://media.api-sports.io/football/players/46818.png,90.0,44,D,7.3,False,False,0,,77.0,72,0,0,0,0,,1.0,2.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,111288,Idan Nachmias,https://media.api-sports.io/football/players/111288.png,90.0,5,D,7.3,False,False,0,,64.0,58,0,0,0,0,,,,3.0,8.0,7.0,,,3.0,1.0,1.0,,,,,,,,
787813,Maccabi Tel Aviv,604,79153,Ofir Davidzada,https://media.api-sports.io/football/players/79153.png,90.0,27,D,7.3,False,False,0,,54.0,47,0,0,0,0,,2.0,,,5.0,4.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,
787813,Maccabi Tel Aviv,604,56009,Dan Glazer,https://media.api-sports.io/football/players/56009.png,90.0,6,M,7.3,False,False,0,,67.0,61,0,0,0,0,,,,1.0,15.0,9.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,,,,,,
787813,Maccabi Tel Aviv,604,56008,Sheran Yeini,https://media.api-sports.io/football/players/56008.png,68.0,21,M,6.2,True,False,0,,49.0,41,0,0,0,0,,,,,7.0,2.0,,,,,,2.0,2.0,,,,,,
787813,Maccabi Tel Aviv,604,95105,Eduardo Guerrero,https://media.api-sports.io/football/players/95105.png,45.0,39,M,6.9,False,False,0,,15.0,13,1,0,0,0,,,,1.0,7.0,3.0,1.0,,1.0,1.0,1.0,3.0,,1.0,,,,,
787813,Maccabi Tel Aviv,604,70481,Dan Biton,https://media.api-sports.io/football/players/70481.png,45.0,10,M,8.7,False,False,0,,16.0,15,0,0,1,0,,2.0,,,6.0,3.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,,
787813,Maccabi Tel Aviv,604,111148,Gabi Kanikovski,https://media.api-sports.io/football/players/111148.png,68.0,16,M,7.6,False,False,0,,37.0,31,0,0,0,0,,1.0,,,9.0,4.0,,2.0,3.0,1.0,1.0,2.0,,,2.0,1.0,,,
787813,Maccabi Tel Aviv,604,50075,Stipe Perica,https://media.api-sports.io/football/players/50075.png,80.0,9,F,8.3,False,False,0,,23.0,17,1,0,0,0,,1.0,,,11.0,4.0,,5.0,1.0,1.0,1.0,3.0,1.0,,3.0,1.0,1.0,,
787813,Maccabi Tel Aviv,604,80619,Daniel Tenenbaum,https://media.api-sports.io/football/players/80619.png,,19,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,105846,Maor Kandil,https://media.api-sports.io/football/players/105846.png,,30,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,105809,Shahar Piven,https://media.api-sports.io/football/players/105809.png,22.0,31,D,6.9,False,True,0,,13.0,11,0,0,0,0,,1.0,,,2.0,1.0,,1.0,,,,1.0,,,,,,,
787813,Maccabi Tel Aviv,604,111276,Eden Shamir,https://media.api-sports.io/football/players/111276.png,,18,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,137531,Ido Shahar,https://media.api-sports.io/football/players/137531.png,,36,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,105814,Avi Rikan,https://media.api-sports.io/football/players/105814.png,45.0,22,M,7.2,False,True,0,,36.0,29,0,0,0,0,,2.0,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,1.0,
787813,Maccabi Tel Aviv,604,111309,Matan Baltaksa,https://media.api-sports.io/football/players/111309.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,37272,Brandley Kuwas,https://media.api-sports.io/football/players/37272.png,22.0,17,F,6.3,False,True,0,,10.0,7,0,0,0,0,,1.0,,,4.0,1.0,,1.0,,3.0,1.0,,,,1.0,,,,
787813,Maccabi Tel Aviv,604,66015,Tal Ben Haim,https://media.api-sports.io/football/players/66015.png,,11,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,105824,Matan Hozez,https://media.api-sports.io/football/players/105824.png,45.0,7,F,7.7,False,True,0,,22.0,18,0,0,0,0,,1.0,,1.0,4.0,2.0,1.0,3.0,,2.0,1.0,,,,2.0,1.0,,,
787813,Maccabi Tel Aviv,604,70396,Eylon Almog,https://media.api-sports.io/football/players/70396.png,,29,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787813,Maccabi Tel Aviv,604,111384,Osama Khalaila,https://media.api-sports.io/football/players/111384.png,10.0,20,F,6.5,False,True,0,,4.0,4,0,0,0,0,,,,,1.0,,,,,,,,,,,,,,
787813,Alashkert,582,65409,Ognjen Čančarević,https://media.api-sports.io/football/players/65409.png,90.0,22,G,6.6,False,False,4,5.0,44.0,36,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
787813,Alashkert,582,9593,Tiago Cametá,https://media.api-sports.io/football/players/9593.png,90.0,2,D,6.5,False,False,0,,58.0,49,0,0,0,0,,2.0,,2.0,6.0,4.0,,,3.0,1.0,1.0,,2.0,,,,,,
787813,Alashkert,582,55335,Didier Kadio,https://media.api-sports.io/football/players/55335.png,90.0,5,D,6.9,False,False,0,,66.0,57,0,0,0,0,,,2.0,3.0,8.0,6.0,1.0,,2.0,,,,1.0,,,,,,
