fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
768828,998,Trabzonspor,https://media.api-sports.io/football/teams/998.png,7,2,9,,,,9,5,3,57%,2,0,0,,,
768828,497,AS Roma,https://media.api-sports.io/football/teams/497.png,2,4,6,,,,12,4,2,43%,1,0,6,,,
768820,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,9,5,14,,,,11,5,5,65%,2,1,1,,,
768820,372,IF Elfsborg,https://media.api-sports.io/football/teams/372.png,1,3,4,,,,10,3,2,35%,4,1,4,,,
768810,554,Anderlecht,https://media.api-sports.io/football/teams/554.png,10,6,16,,,,11,4,,55%,2,0,3,,,
768810,200,Vitesse,https://media.api-sports.io/football/teams/200.png,5,4,9,,,,13,2,,45%,8,0,8,,,
768808,234,Pacos Ferreira,https://media.api-sports.io/football/teams/234.png,3,0,3,,,,17,2,1,40%,3,0,0,,,
768808,47,Tottenham,https://media.api-sports.io/football/teams/47.png,0,2,2,,,,19,5,3,60%,2,0,2,,,
787813,604,Maccabi Tel Aviv,https://media.api-sports.io/football/teams/604.png,9,7,18,2,12,6,16,5,1,54%,2,,4,571,495,87%
787813,582,Alashkert,https://media.api-sports.io/football/teams/582.png,5,5,13,3,5,8,10,2,2,46%,3,,5,484,403,83%
787807,4195,Maccabi Haifa,https://media.api-sports.io/football/teams/4195.png,0,3,4,1,2,2,12,2,2,48%,4,,4,386,289,75%
787807,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,4,3,16,9,11,5,14,4,1,52%,1,,0,417,330,79%
787805,664,Kairat Almaty,https://media.api-sports.io/football/teams/664.png,3,5,13,5,6,7,15,5,0,38%,3,,3,285,181,64%
787805,3402,Omonia Nicosia,https://media.api-sports.io/football/teams/3402.png,3,3,7,1,5,2,11,6,5,62%,2,,3,476,366,77%
787810,94,Rennes,https://media.api-sports.io/football/teams/94.png,4,11,18,3,10,8,13,2,0,42%,1,,3,395,324,82%
