rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,564,Istanbul Basaksehir,https://media.api-sports.io/football/teams/564.png,13,11,Group A,WLWDW,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,4,1,1,14,3,3,3,0,0,9,1,3,1,1,1,5,2
2,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,13,8,Group A,WWWWL,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,4,1,1,14,6,3,2,1,0,8,3,3,2,0,1,6,3
3,254,Heart OF Midlothian,https://media.api-sports.io/football/teams/254.png,6,-10,Group A,LWLLW,same,,6,2,0,4,6,16,3,1,0,2,2,8,3,1,0,2,4,8
4,4160,Rīgas FS,https://media.api-sports.io/football/teams/4160.png,2,-9,Group A,LLLDL,same,,6,0,2,4,2,11,3,0,1,2,0,5,3,0,1,2,2,6
1,48,West Ham,https://media.api-sports.io/football/teams/48.png,18,9,Group B,WWWWW,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,6,0,0,13,4,3,3,0,0,6,2,3,3,0,0,7,2
2,554,Anderlecht,https://media.api-sports.io/football/teams/554.png,8,1,Group B,WDLLD,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,2,2,6,5,3,1,1,1,3,3,3,1,1,1,3,2
3,2073,Silkeborg,https://media.api-sports.io/football/teams/2073.png,6,5,Group B,LLWWL,same,,6,2,0,4,12,7,3,1,0,2,7,5,3,1,0,2,5,2
4,559,FCSB,https://media.api-sports.io/football/teams/559.png,2,-15,Group B,LDLLD,same,,6,0,2,4,3,18,3,0,1,2,0,8,3,0,1,2,3,10
1,533,Villarreal,https://media.api-sports.io/football/teams/533.png,13,5,Group C,LDWWW,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,4,1,1,14,9,3,2,1,0,11,5,3,2,0,1,3,4
2,347,Lech Poznan,https://media.api-sports.io/football/teams/347.png,9,5,Group C,WDDDW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,3,1,12,7,3,2,1,0,7,1,3,0,2,1,5,6
3,563,Hapoel Beer Sheva,https://media.api-sports.io/football/teams/563.png,7,3,Group C,WDDDL,same,,6,1,4,1,8,5,3,1,1,1,6,3,3,0,3,0,2,2
4,601,Austria Vienna,https://media.api-sports.io/football/teams/601.png,2,-13,Group C,LDLLL,same,,6,0,2,4,2,15,3,0,2,1,1,2,3,0,0,3,1,13
1,84,Nice,https://media.api-sports.io/football/teams/84.png,9,1,Group D,DWLWD,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,2,3,1,8,7,3,1,1,1,4,4,3,1,2,0,4,3
2,573,FK Partizan,https://media.api-sports.io/football/teams/573.png,9,2,Group D,DLWWD,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,3,1,9,7,3,1,2,0,4,2,3,1,1,1,5,5
3,192,FC Koln,https://media.api-sports.io/football/teams/192.png,8,0,Group D,DWLLW,same,,6,2,2,2,8,8,3,1,1,1,6,5,3,1,1,1,2,3
4,3719,Slovácko,https://media.api-sports.io/football/teams/3719.png,5,-3,Group D,DLWLL,same,,6,1,2,3,8,11,3,0,1,2,3,5,3,1,1,1,5,6
1,201,AZ Alkmaar,https://media.api-sports.io/football/teams/201.png,15,6,Group E,WWLWW,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,5,0,1,12,6,3,3,0,0,9,4,3,2,0,1,3,2
2,3623,Dnipro-1,https://media.api-sports.io/football/teams/3623.png,10,2,Group E,LWWDW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,3,1,2,9,7,3,1,1,1,3,3,3,2,0,1,6,4
3,602,Apollon Limassol,https://media.api-sports.io/football/teams/602.png,7,-2,Group E,WLWLL,same,,6,2,1,3,5,7,3,2,0,1,3,3,3,0,1,2,2,4
4,660,FC Vaduz,https://media.api-sports.io/football/teams/660.png,2,-6,Group E,LLLDL,same,,6,0,2,4,5,11,3,0,1,2,2,4,3,0,1,2,3,7
1,364,Djurgardens IF,https://media.api-sports.io/football/teams/364.png,16,6,Group F,WWWWW,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,5,1,0,12,6,3,3,0,0,8,4,3,2,1,0,4,2
2,631,Gent,https://media.api-sports.io/football/teams/631.png,8,4,Group F,WDLLW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,2,2,10,6,3,2,0,1,7,1,3,0,2,1,3,5
3,329,Molde,https://media.api-sports.io/football/teams/329.png,7,-1,Group F,LLWWL,same,,6,2,1,3,9,10,3,1,1,1,5,3,3,1,0,2,4,7
4,652,Shamrock Rovers,https://media.api-sports.io/football/teams/652.png,2,-9,Group F,LDLLL,same,,6,0,2,4,1,10,3,0,2,1,1,3,3,0,0,3,0,7
1,1002,Sivasspor,https://media.api-sports.io/football/teams/1002.png,11,4,Group G,DWWLW,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,3,2,1,11,7,3,1,1,1,7,5,3,2,1,0,4,2
2,2246,CFR 1907 Cluj,https://media.api-sports.io/football/teams/2246.png,10,0,Group G,WLWWL,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,3,1,2,5,5,3,2,0,1,3,1,3,1,1,1,2,4
3,560,Slavia Praha,https://media.api-sports.io/football/teams/560.png,8,-1,Group G,DWLLW,same,,6,2,2,2,6,7,3,1,1,1,4,4,3,1,1,1,2,3
4,12733,Ballkani,https://media.api-sports.io/football/teams/12733.png,4,-3,Group G,LLLWL,same,,6,1,1,4,8,11,3,0,1,2,2,4,3,1,0,2,6,7
1,656,Slovan Bratislava,https://media.api-sports.io/football/teams/656.png,11,2,Group H,WWDWL,same,Promotion - Europa Conference League (Play Offs: 1/8-finals),6,3,2,1,9,7,3,1,2,0,5,4,3,2,0,1,4,3
2,551,FC Basel 1893,https://media.api-sports.io/football/teams/551.png,11,2,Group H,WDDLW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,3,2,1,11,9,3,1,1,1,5,5,3,2,1,0,6,4
3,709,Pyunik Yerevan,https://media.api-sports.io/football/teams/709.png,6,-1,Group H,LLLWW,same,,6,2,0,4,8,9,3,2,0,1,5,2,3,0,0,3,3,7
4,586,FK Zalgiris Vilnius,https://media.api-sports.io/football/teams/586.png,5,-3,Group H,LDWLL,same,,6,1,2,3,5,8,3,1,0,2,3,4,3,0,2,1,2,4
