fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
867279,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,,,,,,,,4,,,1,,,,,,
867279,14281,Drita,https://media.api-sports.io/football/teams/14281.png,,,,,,,,3,,,4,,,,,,
867309,580,Vikingur Gota,https://media.api-sports.io/football/teams/580.png,,,,,,,,6,,,,,,,,,
867309,10125,Europa,https://media.api-sports.io/football/teams/10125.png,,,,,,,,5,,,,,,,,,
867275,582,Alashkert,https://media.api-sports.io/football/teams/582.png,,,,,,,,2,,,2,,,,,,
867275,4626,Hamrun Spartans,https://media.api-sports.io/football/teams/4626.png,,,,,,,,5,,,4,,,,,,
867305,703,UE Santa Coloma,https://media.api-sports.io/football/teams/703.png,,,,,,,,5,,,4,,,,,,
867305,276,Breidablik,https://media.api-sports.io/football/teams/276.png,,,,,,,,4,,,4,,,,,,
867325,348,Pogon Szczecin,https://media.api-sports.io/football/teams/348.png,,,,,,,,15,,,,,,,,,
867325,271,KR Reykjavik,https://media.api-sports.io/football/teams/271.png,,,,,,,,6,,,,,,,,,
867331,687,Flora Tallinn,https://media.api-sports.io/football/teams/687.png,,,,,,,,5,,,3,,,,,,
867331,689,SJK,https://media.api-sports.io/football/teams/689.png,,,,,,,,3,,,4,,,,,,
867291,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,,,,,,,,3,,,2,,,,,,
867291,3499,Dila,https://media.api-sports.io/football/teams/3499.png,,,,,,,,4,,,4,,,,,,
867299,3364,Borac Banja Luka,https://media.api-sports.io/football/teams/3364.png,,,,,,,,5,,,1,,,,,,
867299,678,B36 Torshavn,https://media.api-sports.io/football/teams/678.png,,,,,,,,2,,,2,,,,,,
867319,3502,Saburtalo,https://media.api-sports.io/football/teams/3502.png,,,,,,,,7,,,1,,,,,,
867319,708,Partizani,https://media.api-sports.io/football/teams/708.png,,,,,,,,1,,,3,,,,,,
867283,3874,Panevėžys,https://media.api-sports.io/football/teams/3874.png,,,,,,,,2,,,,,,,,,
