fixture_id,bet_name,bet_value,bet_odd
1438686,Match Winner,Home,3.90
1438686,Match Winner,Draw,3.25
1438686,Match Winner,Away,1.91
1438686,Second Half Winner,Home,3.75
1438686,Second Half Winner,Draw,2.50
1438686,Second Half Winner,Away,2.25
1438686,Goals Over/Under,Over 1.5,1.33
1438686,Goals Over/Under,Under 1.5,3.25
1438686,Goals Over/Under,Over 2.5,2.08
1438686,Goals Over/Under,Under 2.5,1.73
1438686,Goals Over/Under,Over 3.5,3.75
1438686,Goals Over/Under,Under 3.5,1.25
1438686,Goals Over/Under,Over 0.5,1.07
1438686,Goals Over/Under,Under 0.5,7.50
1438686,Goals Over/Under,Over 4.5,7.00
1438686,Goals Over/Under,Under 4.5,1.08
1438686,Goals Over/Under,Over 7.5,21.00
1438686,Goals Over/Under,Under 7.5,1.00
1438686,Goals Over/Under,Over 5.5,10.50
1438686,Goals Over/Under,Under 5.5,1.02
1438686,Goals Over/Under,Over 6.5,17.00
1438686,Goals Over/Under,Under 6.5,1.00
1438686,HT/FT Double,Home/Draw,17.00
1438686,HT/FT Double,Home/Away,26.00
1438686,HT/FT Double,Draw/Away,5.00
1438686,HT/FT Double,Draw/Draw,5.00
1438686,HT/FT Double,Home/Home,6.00
1438686,HT/FT Double,Draw/Home,8.00
1438686,HT/FT Double,Away/Home,41.00
1438686,HT/FT Double,Away/Draw,15.00
1438686,HT/FT Double,Away/Away,3.00
1438686,Double Chance,Home/Draw,1.80
1438686,Double Chance,Home/Away,1.33
1438686,Double Chance,Draw/Away,1.25
1438686,First Half Winner,Home,4.00
1438686,First Half Winner,Draw,2.10
1438686,First Half Winner,Away,2.50
1438687,Match Winner,Home,1.95
1438687,Match Winner,Draw,3.30
1438687,Match Winner,Away,3.70
1438687,Second Half Winner,Home,2.30
1438687,Second Half Winner,Draw,2.50
1438687,Second Half Winner,Away,3.60
1438687,Goals Over/Under,Over 1.5,1.28
1438687,Goals Over/Under,Under 1.5,3.50
1438687,Goals Over/Under,Over 2.5,1.90
1438687,Goals Over/Under,Under 2.5,1.90
1438687,Goals Over/Under,Over 3.5,3.25
1438687,Goals Over/Under,Under 3.5,1.33
1438687,Goals Over/Under,Over 0.5,1.05
1438687,Goals Over/Under,Under 0.5,8.50
