fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,tackles_total,duels_total,duels_won,fouls_drawn,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,tackles_blocks,tackles_interceptions,dribbles_past,fouls_committed,shots_on,dribbles_attempts,dribbles_success,goals_total,goals_assists,passes_key,offsides,penalty_commited,penalty_won
1421169,Baník Ostrava,3713,61218,Dominik Holec,https://media.api-sports.io/football/players/61218.png,96.0,30,G,6.7,False,False,3,4.0,37.0,25,1.0,2.0,2.0,1.0,0,0,0,0,0.0,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,1233,Michal Frydrych,https://media.api-sports.io/football/players/1233.png,96.0,17,D,6.5,True,False,0,,23.0,19,1.0,7.0,2.0,,0,0,0,0,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,
1421169,Baník Ostrava,3713,66159,Matěj Chaluš,https://media.api-sports.io/football/players/66159.png,73.0,37,D,7.2,False,False,0,,34.0,30,1.0,3.0,3.0,,0,0,0,0,,1.0,,3.0,,,1.0,,,,,,,,
1421169,Baník Ostrava,3713,152627,Karel Pojezný,https://media.api-sports.io/football/players/152627.png,96.0,6,D,6.7,False,False,0,,41.0,30,1.0,8.0,4.0,,0,0,0,0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
1421169,Baník Ostrava,3713,66070,David Buchta,https://media.api-sports.io/football/players/66070.png,86.0,9,M,8.5,False,False,0,,15.0,12,1.0,9.0,3.0,2.0,0,0,0,0,,2.0,,4.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,
1421169,Baník Ostrava,3713,271794,Jiri Boula,https://media.api-sports.io/football/players/271794.png,96.0,5,M,6.3,False,False,0,,28.0,20,3.0,10.0,7.0,4.0,1,0,0,0,,1.0,,2.0,1.0,1.0,,,,,,,,,
1421169,Baník Ostrava,3713,290211,Tomáš Rigo,https://media.api-sports.io/football/players/290211.png,96.0,12,M,7,False,False,0,,28.0,21,1.0,5.0,3.0,1.0,0,0,0,0,,,1.0,3.0,2.0,,,,,,1.0,3.0,,,
1421169,Baník Ostrava,3713,66072,Daniel Holzer,https://media.api-sports.io/football/players/66072.png,86.0,95,M,7.2,False,False,0,,26.0,16,,2.0,,,0,0,0,0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,
1421169,Baník Ostrava,3713,80425,Michal Kohút,https://media.api-sports.io/football/players/80425.png,62.0,21,F,8.3,False,False,0,,16.0,12,,6.0,1.0,,0,0,0,0,,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,3.0,,,
1421169,Baník Ostrava,3713,353898,Matěj Šín,https://media.api-sports.io/football/players/353898.png,73.0,10,F,6.3,False,False,0,,20.0,12,,9.0,4.0,2.0,0,0,0,0,,1.0,,,2.0,,,2.0,1.0,,1.0,1.0,,,
1421169,Baník Ostrava,3713,105726,Erik Prekop,https://media.api-sports.io/football/players/105726.png,96.0,33,F,8.3,False,False,0,,16.0,12,,11.0,3.0,1.0,0,0,0,0,,2.0,,,,1.0,1.0,,,1.0,1.0,4.0,,,
1421169,Baník Ostrava,3713,128773,Tomas Zlatohlavek,https://media.api-sports.io/football/players/128773.png,34.0,22,F,6.6,False,True,0,,5.0,3,,3.0,2.0,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,2256,David Lischka,https://media.api-sports.io/football/players/2256.png,23.0,19,D,6.2,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,66703,Christian Frydek,https://media.api-sports.io/football/players/66703.png,23.0,8,M,6.7,False,True,0,,3.0,3,1.0,1.0,1.0,,0,0,0,0,,,,,,,,,,,,1.0,,,
1421169,Baník Ostrava,3713,48087,Patrick Kpozo,https://media.api-sports.io/football/players/48087.png,10.0,15,D,6.6,False,True,0,,1.0,1,,,,,0,0,0,0,,,,,,,,,,,,,1.0,,
1421169,Baník Ostrava,3713,204843,Matúš Rusnák,https://media.api-sports.io/football/players/204843.png,10.0,66,M,6.6,False,True,0,,,,1.0,1.0,1.0,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,66058,Viktor Budinský,https://media.api-sports.io/football/players/66058.png,,1,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,15582,Alexander Munksgaard,https://media.api-sports.io/football/players/15582.png,,31,D,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,88819,Georgios Kornezos,https://media.api-sports.io/football/players/88819.png,,99,D,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,20698,Christ Junior Tiehi,https://media.api-sports.io/football/players/20698.png,,4,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,319867,Dennis Owusu,https://media.api-sports.io/football/players/319867.png,,25,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,277563,David Latal,https://media.api-sports.io/football/players/277563.png,,11,F,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Baník Ostrava,3713,98859,Ladislav Almási,https://media.api-sports.io/football/players/98859.png,,77,F,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1421169,Austria Vienna,601,25364,Samuel Sahin-Radlinger,https://media.api-sports.io/football/players/25364.png,96.0,1,G,6.2,False,False,4,3.0,35.0,29,,,,,0,0,0,0,0.0,,,,,,,,,,,,,,
1421169,Austria Vienna,601,224669,Lee Kang-hee,https://media.api-sports.io/football/players/224669.png,96.0,16,D,5.6,False,False,0,,37.0,27,1.0,7.0,5.0,,1,0,0,0,,,,3.0,,1.0,,2.0,2.0,,,,,,
1421169,Austria Vienna,601,968,Aleksandar Dragović,https://media.api-sports.io/football/players/968.png,80.0,15,D,6.3,False,False,0,,31.0,24,,7.0,3.0,1.0,0,0,0,0,,,3.0,,,2.0,,,,,,,,,
1421169,Austria Vienna,601,7531,Philipp Wiesinger,https://media.api-sports.io/football/players/7531.png,96.0,28,D,6.2,False,False,0,,49.0,40,2.0,6.0,3.0,,0,0,0,0,,,2.0,1.0,2.0,,,,,,,1.0,,,
1421169,Austria Vienna,601,7528,Reinhold Ranftl,https://media.api-sports.io/football/players/7528.png,96.0,26,M,6.7,False,False,0,,55.0,37,2.0,5.0,3.0,1.0,0,0,0,0,,1.0,1.0,1.0,,1.0,,,,,,,,,
1421169,Austria Vienna,601,136154,Abubakr Barry,https://media.api-sports.io/football/players/136154.png,96.0,5,M,7.7,False,False,0,,34.0,31,6.0,12.0,9.0,1.0,0,0,0,0,,,,,,1.0,,3.0,2.0,,,2.0,,,
1421169,Austria Vienna,601,7681,Manfred Fischer,https://media.api-sports.io/football/players/7681.png,58.0,30,M,6.2,True,False,0,,14.0,12,2.0,5.0,2.0,,1,0,0,0,,,,1.0,,2.0,,1.0,,,,1.0,,,
1421169,Austria Vienna,601,993,Hakim Guenouche,https://media.api-sports.io/football/players/993.png,76.0,21,M,6.5,False,False,0,,13.0,9,,4.0,2.0,,0,0,0,0,,,,1.0,,1.0,,,,,,1.0,,,
1421169,Austria Vienna,601,25326,Johannes Eggestein,https://media.api-sports.io/football/players/25326.png,57.0,19,F,6.2,False,False,0,,21.0,13,2.0,6.0,2.0,,0,0,0,0,,,,,,,,1.0,,,,,,,
1421169,Austria Vienna,601,25306,Maurice Malone,https://media.api-sports.io/football/players/25306.png,76.0,77,F,8,False,False,0,,20.0,16,,8.0,2.0,,0,0,0,0,,5.0,,1.0,,2.0,3.0,3.0,2.0,1.0,,3.0,1.0,,
1421169,Austria Vienna,601,7453,Dominik Fitz,https://media.api-sports.io/football/players/7453.png,96.0,36,F,10,False,False,0,,40.0,31,1.0,7.0,5.0,1.0,0,0,0,0,,4.0,,1.0,,1.0,2.0,3.0,3.0,1.0,2.0,7.0,,,
