fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1421169,3713,Baník Ostrava,https://media.api-sports.io/football/teams/3713.png,7,6,19,6,14,5,5,4,1,42%,1,,4,293,216,74%,,
1421169,601,Austria Vienna,https://media.api-sports.io/football/teams/601.png,7,9,19,3,15,4,12,9,2,58%,3,,3,400,314,79%,,
1421163,759,Viking,https://media.api-sports.io/football/teams/759.png,4,8,16,4,8,8,15,10,2,56%,1,,0,439,351,80%,,
1421163,564,Istanbul Basaksehir,https://media.api-sports.io/football/teams/564.png,3,3,8,2,5,3,6,2,2,44%,1,,2,360,269,75%,,
1421162,2073,Silkeborg,https://media.api-sports.io/football/teams/2073.png,4,5,11,2,7,4,15,7,0,51%,2,,3,528,471,89%,,
1421162,336,Jagiellonia,https://media.api-sports.io/football/teams/336.png,4,3,11,4,3,8,12,6,3,49%,3,,4,510,439,86%,,
1421158,201,AZ Alkmaar,https://media.api-sports.io/football/teams/201.png,8,4,14,2,10,4,15,6,3,57%,3,,0,495,423,85%,,
1421158,660,FC Vaduz,https://media.api-sports.io/football/teams/660.png,0,5,7,2,4,3,10,2,1,43%,1,,4,371,307,83%,,
1421178,554,Anderlecht,https://media.api-sports.io/football/teams/554.png,6,4,12,2,7,5,15,6,2,53%,2,,2,452,391,87%,,
1421178,568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png,2,3,6,1,5,1,9,5,0,47%,1,,3,412,333,81%,,
1421153,6496,Polessya,https://media.api-sports.io/football/teams/6496.png,8,5,14,1,8,6,12,5,3,57%,2,1,2,532,466,88%,,
1421153,2390,Paks,https://media.api-sports.io/football/teams/2390.png,2,6,10,2,9,1,11,6,2,43%,1,0,5,382,292,76%,,
1421159,1014,Lausanne,https://media.api-sports.io/football/teams/1014.png,6,7,15,2,7,8,10,3,1,49%,2,,3,444,379,85%,,
1421159,562,FC Astana,https://media.api-sports.io/football/teams/562.png,4,4,13,5,7,6,16,5,4,51%,2,,3,462,396,86%,,
1421157,606,FC Lugano,https://media.api-sports.io/football/teams/606.png,4,4,15,7,10,5,14,2,1,51%,2,,5,365,320,88%,,
