fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,goals_assists,dribbles_past,goals_total,penalty_won,penalty_commited
40714,Marseille,81,1898,Yohann Pelé,https://media.api-sports.io/football/players/1898.png,90,16,G,6.4,False,False,0,0,2.0,2.0,28,0,82%,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
40714,Marseille,81,1915,Bouna Sarr,https://media.api-sports.io/football/players/1915.png,90,17,D,7.1,False,False,0,0,,,48,3,87%,0,3,10,5,2,2,0,0,0,0,0,0,,2.0,,,,,
40714,Marseille,81,1906,Adil Rami,https://media.api-sports.io/football/players/1906.png,7,23,D,–,False,False,0,0,,,8,0,88%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
40714,Marseille,81,1902,Duje Ćaleta-Car,https://media.api-sports.io/football/players/1902.png,90,15,D,6.8,False,False,0,0,,,70,0,92%,0,0,6,3,0,0,0,2,0,0,0,0,,2.0,,,,,
40714,Marseille,81,1904,Boubacar Kamara,https://media.api-sports.io/football/players/1904.png,90,4,D,6.6,False,False,0,0,,,52,0,92%,0,1,7,4,1,1,0,2,0,0,0,0,,1.0,,,,,
40714,Marseille,81,1910,Maxime López,https://media.api-sports.io/football/players/1910.png,90,27,M,7.1,False,False,2,0,,,90,2,86%,0,1,5,3,0,0,0,1,0,0,0,0,,3.0,,,,,
40714,Marseille,81,1916,Kevin Strootman,https://media.api-sports.io/football/players/1916.png,90,12,M,6.6,False,False,1,0,,,47,0,83%,0,0,12,7,0,0,2,0,0,0,0,0,,1.0,,,,,
40714,Marseille,81,1922,Florian Thauvin,https://media.api-sports.io/football/players/1922.png,84,26,M,7.4,False,False,6,2,,,26,3,68%,0,0,9,5,4,2,2,1,0,0,0,0,,,1.0,,,,
40714,Marseille,81,1912,Dimitri Payet,https://media.api-sports.io/football/players/1912.png,90,10,M,8.3,True,False,1,1,,,44,8,81%,0,0,5,3,1,1,2,0,0,0,0,0,,,,1.0,,,
40714,Marseille,81,1911,Lucas Ocampos,https://media.api-sports.io/football/players/1911.png,72,5,M,7.1,False,False,3,2,,,10,0,71%,0,0,12,6,1,1,1,1,0,0,0,0,,1.0,,1.0,1.0,,
40714,Marseille,81,1918,Valère Germain,https://media.api-sports.io/football/players/1918.png,90,28,F,6.6,False,False,6,2,,,14,0,73%,0,0,8,3,0,0,1,0,0,0,0,0,,,,,,,
40714,Marseille,81,1909,Luiz Gustavo,https://media.api-sports.io/football/players/1909.png,83,19,M,6.8,False,True,1,0,,,55,0,91%,1,0,7,4,0,0,1,1,0,0,0,0,,,,,,,
40714,Marseille,81,1920,Nemanja Radonjić,https://media.api-sports.io/football/players/1920.png,18,7,F,6.4,False,True,0,0,,,5,0,55%,0,0,6,2,2,1,1,0,0,0,0,0,,,,,,,
40714,Marseille,81,462,Konstantinos Mitroglou,https://media.api-sports.io/football/players/462.png,6,11,F,6.5,False,True,0,0,,,2,0,100%,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
40714,Eintracht Frankfurt,169,1800,Kevin Trapp,https://media.api-sports.io/football/players/1800.png,90,31,G,7.5,False,False,0,0,1.0,6.0,16,0,59%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
40714,Eintracht Frankfurt,169,1812,Danny da Costa,https://media.api-sports.io/football/players/1812.png,90,24,M,6.8,False,False,1,0,,,14,0,70%,1,1,10,5,1,1,0,0,0,0,0,0,,1.0,,2.0,,,
40714,Eintracht Frankfurt,169,1802,David Abraham,https://media.api-sports.io/football/players/1802.png,90,19,D,6.6,True,False,0,0,,,27,0,81%,1,0,5,2,0,0,0,0,0,0,0,0,,,,,,,
40714,Eintracht Frankfurt,169,1807,Evan Ndicka,https://media.api-sports.io/football/players/1807.png,90,2,D,7.5,False,False,0,0,,,26,0,83%,3,3,2,1,0,0,0,0,0,0,0,0,,,,,,,
40714,Eintracht Frankfurt,169,1813,Jetro Willems,https://media.api-sports.io/football/players/1813.png,59,15,M,5.9,False,False,0,0,,,11,1,64%,0,0,10,5,1,0,0,3,2,1,0,0,,2.0,,1.0,,,
40714,Eintracht Frankfurt,169,1819,Makoto Hasebe,https://media.api-sports.io/football/players/1819.png,90,20,D,6.8,False,False,0,0,,,31,0,73%,0,1,12,8,1,1,2,2,0,0,0,0,,,,1.0,,,
40714,Eintracht Frankfurt,169,1825,Lucas Torró,https://media.api-sports.io/football/players/1825.png,90,16,M,7.0,False,False,1,1,,,34,1,82%,2,0,12,5,0,0,1,2,0,0,0,0,,,,2.0,1.0,,
40714,Eintracht Frankfurt,169,1815,Jonathan de Guzmán,https://media.api-sports.io/football/players/1815.png,62,6,M,6.6,False,False,0,0,,,18,1,75%,0,0,3,0,0,0,0,0,0,0,0,0,,,1.0,1.0,,,
40714,Eintracht Frankfurt,169,1818,Mijat Gaćinović,https://media.api-sports.io/football/players/1818.png,45,11,M,7.0,False,False,1,0,,,12,0,60%,0,1,4,4,0,0,2,0,0,0,0,0,,1.0,,,,,
40714,Eintracht Frankfurt,169,1826,Sébastien Haller,https://media.api-sports.io/football/players/1826.png,75,9,F,6.8,False,False,1,1,,,15,1,71%,0,1,8,4,1,0,1,0,0,0,0,0,,,,,,,
40714,Eintracht Frankfurt,169,1821,Filip Kostić,https://media.api-sports.io/football/players/1821.png,90,10,M,7.0,False,False,0,0,,,19,2,79%,0,1,3,1,0,0,0,0,0,0,0,0,,,,,,,
