fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,dribbles_past,penalty_commited,goals_total,penalty_won,goals_assists,tackles_blocks,tackles_total,offsides
368691,Rennes,94,2986,Edouard Mendy,https://media.api-sports.io/football/players/2986.png,90,16,G,6.3,False,False,0,0,1.0,1.0,23,0,76%,0,0,0,1,0,0,0,0,0,0.0,,,,,,,,
368691,Rennes,94,2202,Hamari Traore,https://media.api-sports.io/football/players/2202.png,90,27,D,7.0,False,False,0,0,,,26,1,61%,0,2,1,2,1,1,0,0,0,,,,,,,,,
368691,Rennes,94,2196,Damien Da Silva,https://media.api-sports.io/football/players/2196.png,89,3,D,6.4,True,False,0,0,,,48,0,87%,4,1,1,3,2,0,0,0,0,,1.0,1.0,,,,,,
368691,Rennes,94,2041,Joris Gnagnon,https://media.api-sports.io/football/players/2041.png,90,21,D,7.1,False,False,0,0,,,50,0,96%,1,0,0,1,0,0,0,0,0,,,,,,,,,
368691,Rennes,94,654,Jérémy Morel,https://media.api-sports.io/football/players/654.png,90,15,D,6.6,False,False,1,0,,,35,0,72%,0,3,3,1,0,0,0,0,0,,1.0,,,,,,,
368691,Rennes,94,22258,Jonas Martin,https://media.api-sports.io/football/players/22258.png,72,28,M,6.9,False,False,0,0,,,44,0,95%,0,0,0,2,3,0,0,0,0,,3.0,,,,,,,
368691,Rennes,94,1496,Raphinha,https://media.api-sports.io/football/players/1496.png,90,7,M,7.1,False,False,1,1,,,13,2,59%,0,1,1,2,3,1,0,0,0,,,,,,,,,
368691,Rennes,94,2206,Benjamin Bourigeaud,https://media.api-sports.io/football/players/2206.png,90,14,M,6.7,False,False,2,0,,,35,0,81%,0,0,0,0,0,0,0,0,0,,2.0,,,,,,,
368691,Rennes,94,2208,Clément Grenier,https://media.api-sports.io/football/players/2208.png,88,8,M,6.2,False,False,2,0,,,25,0,65%,1,1,0,2,1,0,0,0,0,,2.0,,,,,,,
368691,Rennes,94,21154,Flavien Tait,https://media.api-sports.io/football/players/21154.png,72,20,M,6.6,False,False,0,0,,,13,0,68%,2,4,3,1,0,0,0,0,0,,1.0,,,,,,,
368691,Rennes,94,2216,M'Baye Niang,https://media.api-sports.io/football/players/2216.png,90,11,F,6.9,False,False,1,1,,,7,0,53%,0,1,0,2,1,0,0,1,0,,1.0,,1.0,1.0,,,,
368691,Rennes,94,2214,Romain Del Castillo,https://media.api-sports.io/football/players/2214.png,18,22,M,6.9,False,True,0,0,,,5,0,71%,0,3,3,0,0,0,0,0,0,,1.0,,,,,,,
368691,Rennes,94,2207,Eduardo Camavinga,https://media.api-sports.io/football/players/2207.png,18,18,M,6.9,False,True,0,0,,,7,0,87%,2,0,0,2,0,0,0,0,0,,,,,,,,,
368691,Rennes,94,2219,Jordan Siebatcheu,https://media.api-sports.io/football/players/2219.png,9,9,F,6.5,False,True,0,0,,,0,0,0%,0,0,0,0,1,0,0,0,0,,,,,,,,,
368691,Celtic,247,18932,Fraser Forster,https://media.api-sports.io/football/players/18932.png,90,67,G,6.5,False,False,0,0,1.0,1.0,7,0,30%,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,
368691,Celtic,247,70337,Hatem Abd Elhamed,https://media.api-sports.io/football/players/70337.png,90,33,D,5.9,False,False,0,0,,,26,0,83%,2,3,1,1,1,0,0,0,0,,2.0,,,,,,,
368691,Celtic,247,22138,Christopher Jullien,https://media.api-sports.io/football/players/22138.png,90,2,D,6.7,False,False,0,0,,,38,0,88%,3,0,0,0,1,0,0,0,0,,2.0,,,,,,,
368691,Celtic,247,1119,Kristoffer Ajer,https://media.api-sports.io/football/players/1119.png,90,35,D,6.3,False,False,0,0,,,26,0,83%,1,0,0,1,1,0,0,0,0,,,1.0,,,,,,
368691,Celtic,247,1715,Boli Bolingoli-Mbombo,https://media.api-sports.io/football/players/1715.png,69,23,D,6.5,False,False,0,0,,,25,1,75%,3,2,1,1,2,0,0,0,0,,,,,,,,,
368691,Celtic,247,1123,Scott Brown,https://media.api-sports.io/football/players/1123.png,90,8,M,6.7,True,False,2,0,,,45,0,81%,2,1,1,1,4,1,0,0,0,,2.0,,,,,,,
368691,Celtic,247,1129,Callum McGregor,https://media.api-sports.io/football/players/1129.png,90,42,M,7.1,False,False,0,0,,,49,0,87%,3,1,1,1,1,0,0,0,0,,2.0,,,,,,,
368691,Celtic,247,1127,James Forrest,https://media.api-sports.io/football/players/1127.png,90,49,M,6.4,False,False,1,0,,,20,2,80%,0,4,1,1,0,0,0,0,0,,2.0,,,1.0,,,,
368691,Celtic,247,1125,Ryan Christie,https://media.api-sports.io/football/players/1125.png,90,17,M,7.3,False,False,3,1,,,29,2,78%,2,4,2,1,3,1,0,1,0,,1.0,,1.0,,,,,
368691,Celtic,247,18946,Mohamed Elyounoussi,https://media.api-sports.io/football/players/18946.png,57,27,M,5.9,False,False,0,0,,,19,0,86%,0,4,1,1,0,0,0,0,0,,1.0,,,,,,,
368691,Celtic,247,1135,Odsonne Édouard,https://media.api-sports.io/football/players/1135.png,84,22,F,6.4,False,False,1,0,,,11,1,84%,0,3,2,1,5,1,0,0,0,,,,,,,,,
368691,Celtic,247,1130,Olivier Ntcham,https://media.api-sports.io/football/players/1130.png,33,21,M,6.8,False,False,1,1,,,8,0,72%,0,2,2,0,1,0,0,0,0,,,,,,,,,
368691,Celtic,247,1128,Jonny Hayes,https://media.api-sports.io/football/players/1128.png,21,15,M,6.4,False,False,0,0,,,4,0,66%,1,1,0,0,1,0,0,0,0,,,,,,,,,
368691,Celtic,247,1134,Vakoun Issouf Bayo,https://media.api-sports.io/football/players/1134.png,8,10,F,5.9,False,False,0,0,,,2,1,100%,0,0,0,0,3,2,1,0,0,,,,,,,,,
368693,Eintracht Frankfurt,169,1800,Kevin Trapp,https://media.api-sports.io/football/players/1800.png,90,1,G,6.3,False,False,0,0,3.0,3.0,22,0,71%,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,
368693,Eintracht Frankfurt,169,1802,David Abraham,https://media.api-sports.io/football/players/1802.png,90,19,D,5.2,True,False,0,0,,,28,0,84%,0,0,0,0,0,0,0,0,0,,3.0,,,,,,,
368693,Eintracht Frankfurt,169,1819,Makoto Hasebe,https://media.api-sports.io/football/players/1819.png,90,20,D,6.7,False,False,0,0,,,53,0,82%,0,0,0,0,0,0,0,0,0,,,,,,,,,
368693,Eintracht Frankfurt,169,1805,Martin Hinteregger,https://media.api-sports.io/football/players/1805.png,90,13,D,6.7,False,False,2,0,,,28,1,59%,1,0,0,3,1,1,0,0,0,,2.0,,,,,,,
368693,Eintracht Frankfurt,169,1812,Danny da Costa,https://media.api-sports.io/football/players/1812.png,74,24,M,6.3,False,False,2,0,,,19,3,67%,0,3,1,0,1,0,0,0,0,,,,,,,,,
