fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,tackles_blocks,goals_assists,shots_total,shots_on,fouls_drawn,goals_total,penalty_commited,penalty_won,offsides
635693,Bayer Leverkusen,168,963,Lukáš Hrádecký,https://media.api-sports.io/football/players/963.png,90.0,1,G,6.3,False,False,2,1.0,55.0,42,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
635693,Bayer Leverkusen,168,977,Lars Bender,https://media.api-sports.io/football/players/977.png,82.0,8,D,7.6,True,False,0,,59.0,50,1,0,0,0,,1.0,8.0,3.0,14.0,10.0,1.0,1.0,1.0,3.0,,,,,,,,,
635693,Bayer Leverkusen,168,966,Sven Bender,https://media.api-sports.io/football/players/966.png,81.0,5,D,6.7,False,False,0,,70.0,66,0,0,0,0,,,1.0,1.0,7.0,2.0,1.0,,1.0,,1.0,,,,,,,,
635693,Bayer Leverkusen,168,41150,Edmond Tapsoba,https://media.api-sports.io/football/players/41150.png,90.0,12,D,7.2,False,False,0,,93.0,86,0,0,0,0,,,4.0,1.0,7.0,6.0,1.0,1.0,,1.0,,,,,,,,,
635693,Bayer Leverkusen,168,970,Wendell,https://media.api-sports.io/football/players/970.png,90.0,18,D,6.3,False,False,0,,83.0,75,1,0,0,0,,,5.0,,12.0,6.0,,,2.0,1.0,,,,,,,,,
635693,Bayer Leverkusen,168,975,Julian Baumgartlinger,https://media.api-sports.io/football/players/975.png,90.0,15,M,7.5,False,False,0,,67.0,62,1,0,0,0,,1.0,7.0,1.0,11.0,7.0,,,1.0,2.0,,1.0,,,,,,,
635693,Bayer Leverkusen,168,983,Leon Bailey,https://media.api-sports.io/football/players/983.png,90.0,9,M,7.3,False,False,0,,31.0,23,0,0,0,0,,2.0,,,7.0,2.0,2.0,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,
635693,Bayer Leverkusen,168,6002,Exequiel Palacios,https://media.api-sports.io/football/players/6002.png,74.0,25,M,7.2,False,False,0,,54.0,50,0,0,0,0,,1.0,1.0,1.0,6.0,2.0,,,,,,1.0,,,1.0,,,,
635693,Bayer Leverkusen,168,714,Nadiem Amiri,https://media.api-sports.io/football/players/714.png,90.0,11,M,7.5,False,False,0,,49.0,43,0,0,0,0,,,2.0,,13.0,7.0,6.0,3.0,2.0,,,,2.0,2.0,2.0,1.0,,,
635693,Bayer Leverkusen,168,277,Moussa Diaby,https://media.api-sports.io/football/players/277.png,90.0,19,M,7.7,False,False,0,,34.0,28,0,0,0,0,,1.0,1.0,1.0,10.0,2.0,4.0,1.0,1.0,2.0,,1.0,2.0,2.0,,1.0,,,
635693,Bayer Leverkusen,168,982,Lucas Alario,https://media.api-sports.io/football/players/982.png,74.0,13,F,7.2,False,False,0,,15.0,10,0,0,0,0,,1.0,,,13.0,5.0,1.0,,,1.0,,,1.0,1.0,4.0,1.0,,,
635693,Bayer Leverkusen,168,25168,Niklas Lomb,https://media.api-sports.io/football/players/25168.png,,36,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
635693,Bayer Leverkusen,168,25802,Lennart Grill,https://media.api-sports.io/football/players/25802.png,,21,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
635693,Bayer Leverkusen,168,536,Daley Sinkgraven,https://media.api-sports.io/football/players/536.png,,22,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
635693,Bayer Leverkusen,168,969,Tin Jedvaj,https://media.api-sports.io/football/players/969.png,,16,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
635693,Bayer Leverkusen,168,968,Aleksandar Dragović,https://media.api-sports.io/football/players/968.png,8.0,6,D,6.2,False,True,0,,7.0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,
