fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
635693,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,9,0,10,1,4,6,13,5,2,57%,3,,1,650,568,87%
635693,84,Nice,https://media.api-sports.io/football/teams/84.png,3,6,10,1,6,4,8,2,0,43%,2,,3,483,401,83%
635697,197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,4,3,12,5,4,8,16,1,1,55%,1,,2,464,353,76%
635697,715,Granada CF,https://media.api-sports.io/football/teams/715.png,4,8,17,5,14,3,17,2,1,45%,5,,3,364,248,68%
635696,347,Lech Poznan,https://media.api-sports.io/football/teams/347.png,9,5,19,5,10,9,11,5,4,47%,2,,2,342,281,82%
635696,211,Benfica,https://media.api-sports.io/football/teams/211.png,7,3,16,6,12,4,9,10,1,53%,0,,7,381,303,80%
635676,492,Napoli,https://media.api-sports.io/football/teams/492.png,6,8,20,6,11,9,9,7,5,73%,1,,1,841,768,91%
635676,201,AZ Alkmaar,https://media.api-sports.io/football/teams/201.png,2,2,5,1,2,3,12,2,0,27%,1,,6,316,229,72%
635675,561,HNK Rijeka,https://media.api-sports.io/football/teams/561.png,2,3,5,0,5,0,10,0,3,34%,4,,5,348,236,68%
635675,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,6,10,18,2,14,4,5,13,0,66%,1,,2,657,549,84%
635694,563,Hapoel Beer Sheva,https://media.api-sports.io/football/teams/563.png,3,1,4,0,2,2,17,1,4,31%,4,,6,282,181,64%
635694,560,Slavia Praha,https://media.api-sports.io/football/teams/560.png,7,5,18,6,11,7,13,9,4,69%,1,,0,591,499,84%
635689,565,BSC Young Boys,https://media.api-sports.io/football/teams/565.png,4,6,11,1,7,4,22,5,4,44%,3,,0,375,278,74%
635689,497,AS Roma,https://media.api-sports.io/football/teams/497.png,2,1,6,3,4,2,15,4,4,56%,5,,3,487,384,79%
635691,584,Dundalk,https://media.api-sports.io/football/teams/584.png,1,3,6,2,2,4,10,1,2,40%,0,,,373,268,72%
635691,329,Molde,https://media.api-sports.io/football/teams/329.png,2,7,11,2,5,6,16,10,6,60%,1,,,549,447,81%
635698,619,PAOK,https://media.api-sports.io/football/teams/619.png,7,11,19,1,13,6,17,8,1,67%,2,,1,605,515,85%
635698,3402,Omonia Nicosia,https://media.api-sports.io/football/teams/3402.png,2,2,7,3,4,3,12,2,4,33%,4,,6,299,206,69%
635695,733,Standard Liege,https://media.api-sports.io/football/teams/733.png,0,2,4,2,2,2,14,6,3,50%,3,,2,436,336,77%
635695,257,Rangers,https://media.api-sports.io/football/teams/257.png,4,4,12,4,7,5,12,5,2,50%,4,,0,456,356,78%
635692,781,Rapid Vienna,https://media.api-sports.io/football/teams/781.png,4,5,12,3,6,6,18,4,2,32%,4,,2,297,215,72%
635692,42,Arsenal,https://media.api-sports.io/football/teams/42.png,4,5,11,2,7,4,14,4,3,68%,4,,3,620,532,86%
635690,853,CSKA Sofia,https://media.api-sports.io/football/teams/853.png,4,5,14,5,7,7,15,7,0,63%,3,,1,490,392,80%
635690,2246,CFR 1907 Cluj,https://media.api-sports.io/football/teams/2246.png,3,3,10,4,4,6,12,5,2,37%,1,,4,288,187,65%
635687,46,Leicester,https://media.api-sports.io/football/teams/46.png,5,7,18,6,14,4,8,6,1,45%,1,,2,437,365,84%
635687,599,Zorya Luhansk,https://media.api-sports.io/football/teams/599.png,2,2,7,3,1,6,9,2,1,55%,2,,2,520,429,83%
635682,47,Tottenham,https://media.api-sports.io/football/teams/47.png,5,7,13,1,12,1,13,6,4,55%,0,,4,526,425,81%
635682,1026,Lask Linz,https://media.api-sports.io/football/teams/1026.png,4,3,11,4,6,5,9,6,0,45%,1,,3,417,322,77%
