fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_past,fouls_committed,shots_total,tackles_interceptions,fouls_drawn,passes_key,dribbles_success,tackles_blocks,shots_on,offsides,goals_total,goals_assists,penalty_commited,penalty_won
787709,Spartak Moscow,558,1764,Aleksandr Maksimenko,https://media.api-sports.io/football/players/1764.png,90.0,98,G,6.5,False,False,1,1.0,26.0,13,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,1779,Nikolay Rasskazov,https://media.api-sports.io/football/players/1779.png,90.0,92,D,6.2,False,False,0,,62.0,50,0,0,0,0,,2.0,8.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,
787709,Spartak Moscow,558,1775,Samuel Gigot,https://media.api-sports.io/football/players/1775.png,90.0,2,D,6.6,False,False,0,,39.0,34,1,0,0,0,,1.0,8.0,5.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,
787709,Spartak Moscow,558,1772,Georgiy Dzhikiya,https://media.api-sports.io/football/players/1772.png,90.0,14,D,6.6,True,False,0,,51.0,44,0,0,0,0,,,4.0,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,
787709,Spartak Moscow,558,1347,Victor Moses,https://media.api-sports.io/football/players/1347.png,82.0,8,M,6.7,False,False,0,,37.0,31,0,0,0,0,,1.0,10.0,3.0,4.0,,2.0,2.0,,,1.0,2.0,,,,,,,
787709,Spartak Moscow,558,1791,Nail Umyarov,https://media.api-sports.io/football/players/1791.png,90.0,18,M,6.7,False,False,0,,53.0,44,1,0,0,0,,2.0,16.0,6.0,1.0,1.0,7.0,1.0,,,,1.0,1.0,,,,,,
787709,Spartak Moscow,558,1792,Roman Zobnin,https://media.api-sports.io/football/players/1792.png,23.0,47,M,6.7,False,False,0,,10.0,9,0,0,0,0,,,1.0,,,,1.0,,1.0,,,,,,,,,,
787709,Spartak Moscow,558,1771,Ayrton,https://media.api-sports.io/football/players/1771.png,69.0,6,M,7.5,False,False,0,,31.0,29,0,0,0,0,,2.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,
787709,Spartak Moscow,558,48203,Jordan Larsson,https://media.api-sports.io/football/players/48203.png,82.0,11,F,7.5,False,False,0,,20.0,18,0,0,0,0,,1.0,10.0,4.0,2.0,1.0,2.0,4.0,,1.0,2.0,2.0,,2.0,,,,,
787709,Spartak Moscow,558,612,Ezequiel Ponce,https://media.api-sports.io/football/players/612.png,90.0,9,F,7.3,False,False,0,,42.0,32,0,0,0,0,,,13.0,7.0,1.0,1.0,,3.0,1.0,1.0,5.0,1.0,,,,,,,
787709,Spartak Moscow,558,2062,Quincy Promes,https://media.api-sports.io/football/players/2062.png,90.0,24,F,7.2,False,False,0,,47.0,39,0,0,0,0,,,3.0,,1.0,,,2.0,1.0,,5.0,,,1.0,,,,,
787709,Spartak Moscow,558,1766,Artem Rebrov,https://media.api-sports.io/football/players/1766.png,,32,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,1767,Aleksandr Selikhov,https://media.api-sports.io/football/players/1767.png,,57,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,8718,Maximiliano Caufriez,https://media.api-sports.io/football/players/8718.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,1773,Andrey Eshchenko,https://media.api-sports.io/football/players/1773.png,,38,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,1774,Ilya Gaponov,https://media.api-sports.io/football/players/1774.png,,56,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,1776,Ilya Kutepov,https://media.api-sports.io/football/players/1776.png,,29,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,136103,Ruslan Litvinov,https://media.api-sports.io/football/players/136103.png,,68,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,235,Jorrit Hendrix,https://media.api-sports.io/football/players/235.png,67.0,4,M,6.6,False,True,0,,35.0,29,0,0,0,0,,1.0,3.0,2.0,1.0,1.0,,,2.0,,,1.0,,,,,,,
787709,Spartak Moscow,558,1784,Mikhail Ignatov,https://media.api-sports.io/football/players/1784.png,,22,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
787709,Spartak Moscow,558,1786,Aleksandr Lomovitskiy,https://media.api-sports.io/football/players/1786.png,21.0,17,M,6.2,False,True,0,,10.0,7,1,0,0,0,,1.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
787709,Spartak Moscow,558,53500,Zelimkhan Bakaev,https://media.api-sports.io/football/players/53500.png,8.0,10,M,6.5,False,True,0,,5.0,2,1,0,0,0,,,6.0,3.0,2.0,2.0,1.0,,,1.0,,2.0,,,,,,,
787709,Spartak Moscow,558,53772,Aleksandr Sobolev,https://media.api-sports.io/football/players/53772.png,8.0,7,F,6.3,False,True,0,,1.0,1,0,0,0,0,,,7.0,,,1.0,,,,,,,,,,,,,
787709,Legia Warszawa,339,18859,Artur Boruc,https://media.api-sports.io/football/players/18859.png,90.0,1,G,7.7,False,False,0,3.0,30.0,16,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
787709,Legia Warszawa,339,3002,Artur Jędrzejczyk,https://media.api-sports.io/football/players/3002.png,90.0,55,D,7,True,False,0,,46.0,37,1,0,0,0,,2.0,9.0,6.0,,1.0,,,,,,,,,,,,,
787709,Legia Warszawa,339,40392,Mateusz Wieteska,https://media.api-sports.io/football/players/40392.png,90.0,4,D,7.7,False,False,0,,51.0,44,1,0,0,0,,1.0,6.0,3.0,,,1.0,,1.0,,,,3.0,,,,,,
787709,Legia Warszawa,339,178708,Maik Nawrocki,https://media.api-sports.io/football/players/178708.png,90.0,17,D,8,False,False,0,,35.0,33,0,0,0,0,,2.0,9.0,6.0,1.0,,,,2.0,,,1.0,5.0,,,,,,
787709,Legia Warszawa,339,26736,Mattias Johansson,https://media.api-sports.io/football/players/26736.png,90.0,6,M,7.3,False,False,0,,42.0,32,1,0,0,0,,4.0,17.0,12.0,2.0,,3.0,,1.0,5.0,,1.0,,,,,,,
787709,Legia Warszawa,339,40534,Bartosz Slisz,https://media.api-sports.io/football/players/40534.png,90.0,99,M,7,False,False,0,,53.0,38,0,0,0,0,,1.0,7.0,2.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,,,
