rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,42,Arsenal,https://media.api-sports.io/football/teams/42.png,15,5,Group A,WLWWW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,5,0,1,8,3,3,3,0,0,5,0,3,2,0,1,3,3
2,197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,13,11,Group A,WWLWW,same,Promotion - Europa League (Play Offs: 1/16-finals),6,4,1,1,15,4,3,2,1,0,8,1,3,2,0,1,7,3
3,327,Bodo/Glimt,https://media.api-sports.io/football/teams/327.png,4,-5,Group A,LLLLW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,1,1,4,5,10,3,1,0,2,3,4,3,0,1,2,2,6
4,783,FC Zurich,https://media.api-sports.io/football/teams/783.png,3,-11,Group A,LWLLL,same,,6,1,0,5,5,16,3,1,0,2,4,8,3,0,0,3,1,8
1,611,Fenerbahce,https://media.api-sports.io/football/teams/611.png,14,6,Group B,WDWWD,same,Promotion - Europa League (Play Offs: 1/8-finals),6,4,2,0,13,7,3,2,1,0,7,4,3,2,1,0,6,3
2,94,Rennes,https://media.api-sports.io/football/teams/94.png,12,3,Group B,DDWWD,same,Promotion - Europa League (Play Offs: 1/16-finals),6,3,3,0,11,8,3,1,2,0,5,4,3,2,1,0,6,4
3,614,AEK Larnaca,https://media.api-sports.io/football/teams/614.png,5,-3,Group B,DDLLW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,1,2,3,7,10,3,0,1,2,5,7,3,1,1,1,2,3
4,572,Dynamo Kyiv,https://media.api-sports.io/football/teams/572.png,1,-6,Group B,LDLLL,same,,6,0,1,5,5,11,3,0,0,3,0,4,3,0,1,2,5,7
1,543,Real Betis,https://media.api-sports.io/football/teams/543.png,16,8,Group C,WWDWW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,5,1,0,12,4,3,2,1,0,7,3,3,3,0,0,5,1
2,497,AS Roma,https://media.api-sports.io/football/teams/497.png,10,4,Group C,WWDLW,same,Promotion - Europa League (Play Offs: 1/16-finals),6,3,1,2,11,7,3,2,0,1,7,3,3,1,1,1,4,4
3,566,Ludogorets,https://media.api-sports.io/football/teams/566.png,7,-1,Group C,LLWDL,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,1,3,8,9,3,2,0,1,4,2,3,0,1,2,4,7
4,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,1,-11,Group C,LLLDL,same,,6,0,1,5,2,13,3,0,1,2,2,5,3,0,0,3,0,8
1,1393,Union St. Gilloise,https://media.api-sports.io/football/teams/1393.png,13,4,Group D,LWDWW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,4,1,1,11,7,3,1,1,1,6,6,3,3,0,0,5,1
2,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,12,2,Group D,WWWWL,same,Promotion - Europa League (Play Offs: 1/16-finals),6,4,0,2,4,2,3,2,0,1,2,1,3,2,0,1,2,1
3,217,SC Braga,https://media.api-sports.io/football/teams/217.png,10,2,Group D,WLDLW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,3,1,2,9,7,3,2,0,1,4,3,3,1,1,1,5,4
4,375,Malmo FF,https://media.api-sports.io/football/teams/375.png,0,-8,Group D,LLLLL,same,,6,0,0,6,3,11,3,0,0,3,0,5,3,0,0,3,3,6
1,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,15,8,Group E,LWWWW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,5,0,1,10,2,3,2,0,1,5,2,3,3,0,0,5,0
2,33,Manchester United,https://media.api-sports.io/football/teams/33.png,15,7,Group E,WWWWW,same,Promotion - Europa League (Play Offs: 1/16-finals),6,5,0,1,10,3,3,2,0,1,4,1,3,3,0,0,6,2
3,568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png,6,-6,Group E,WLLLL,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,0,4,4,10,3,1,0,2,1,4,3,1,0,2,3,6
4,3402,Omonia Nicosia,https://media.api-sports.io/football/teams/3402.png,0,-9,Group E,LLLLL,same,,6,0,0,6,3,12,3,0,0,3,2,8,3,0,0,3,1,4
1,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,8,4,Group F,WLDDW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,2,2,2,13,9,3,2,1,0,9,2,3,0,1,2,4,7
2,397,FC Midtjylland,https://media.api-sports.io/football/teams/397.png,8,4,Group F,WLDDW,same,Promotion - Europa League (Play Offs: 1/16-finals),6,2,2,2,12,8,3,2,1,0,9,3,3,0,1,2,3,5
3,487,Lazio,https://media.api-sports.io/football/teams/487.png,8,-2,Group F,LWDDL,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,2,2,9,11,3,2,1,0,8,5,3,0,1,2,1,6
4,637,Sturm Graz,https://media.api-sports.io/football/teams/637.png,8,-6,Group F,LWDDL,same,,6,2,2,2,4,10,3,2,1,0,2,0,3,0,1,2,2,10
1,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,14,10,Group G,DDWWW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,4,2,0,13,3,3,2,1,0,5,2,3,2,1,0,8,1
2,83,Nantes,https://media.api-sports.io/football/teams/83.png,9,-5,Group G,WWLLL,same,Promotion - Europa League (Play Offs: 1/16-finals),6,3,0,3,6,11,3,2,0,1,4,6,3,1,0,2,2,5
3,556,Qarabag,https://media.api-sports.io/football/teams/556.png,8,4,Group G,DLDWW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,2,2,2,9,5,3,1,2,0,4,1,3,1,0,2,5,4
4,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,2,-9,Group G,LDDLL,same,,6,0,2,4,2,11,3,0,0,3,0,8,3,0,2,1,2,3
1,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,10,-1,Group H,LDWLW,same,Promotion - Europa League (Play Offs: 1/8-finals),6,3,1,2,8,9,3,2,1,0,6,4,3,1,0,2,2,5
2,91,Monaco,https://media.api-sports.io/football/teams/91.png,10,1,Group H,WDLWL,same,Promotion - Europa League (Play Offs: 1/16-finals),6,3,1,2,9,8,3,2,0,1,7,3,3,1,1,1,2,5
3,998,Trabzonspor,https://media.api-sports.io/football/teams/998.png,9,2,Group H,WLWLW,same,Promotion - Europa Conference League (Play Offs: 1/16-finals),6,3,0,3,11,9,3,3,0,0,7,1,3,0,0,3,4,8
4,598,FK Crvena Zvezda,https://media.api-sports.io/football/teams/598.png,6,-2,Group H,LWLWL,same,,6,2,0,4,9,11,3,2,0,1,6,3,3,0,0,3,3,8
