fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
923170,614,AEK Larnaca,https://media.api-sports.io/football/teams/614.png,,,,,,,,8,,,2,0,,,,,
923170,573,FK Partizan,https://media.api-sports.io/football/teams/573.png,,,,,,,,3,,,4,0,,,,,
923199,611,Fenerbahce,https://media.api-sports.io/football/teams/611.png,,,12,2,,,8,1,3,,1,0,,,,,
923199,3719,Slovácko,https://media.api-sports.io/football/teams/3719.png,,,3,3,,,19,1,9,,3,0,,,,,
923168,552,Maribor,https://media.api-sports.io/football/teams/552.png,,,,,,,,6,,,2,0,,,,,
923168,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,,,,,,,2,,,3,0,,,,,
923195,583,Linfield,https://media.api-sports.io/football/teams/583.png,1,2,4,1,,,12,7,2,51%,4,0,1,,,,
923195,783,FC Zurich,https://media.api-sports.io/football/teams/783.png,3,4,9,2,,,17,0,3,49%,2,0,1,,,,
923197,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,,,,,,,,7,,,2,0,,,,,
923197,656,Slovan Bratislava,https://media.api-sports.io/football/teams/656.png,,,,,,,,3,,,1,0,,,,,
923166,652,Shamrock Rovers,https://media.api-sports.io/football/teams/652.png,9,3,12,,,,10,4,4,,4,0,7,,,,
923166,2265,Shkupi 1927,https://media.api-sports.io/football/teams/2265.png,9,1,13,,,,13,6,1,,4,0,4,,,,
923167,2265,Shkupi 1927,https://media.api-sports.io/football/teams/2265.png,,,,,,,,6,,,5,0,,,,,
923167,652,Shamrock Rovers,https://media.api-sports.io/football/teams/652.png,,,,,,,,4,,,5,0,,,,,
923169,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,,,,,,,,4,,,2,0,,,,,
923169,552,Maribor,https://media.api-sports.io/football/teams/552.png,,,,,,,,2,,,4,0,,,,,
923196,783,FC Zurich,https://media.api-sports.io/football/teams/783.png,5,4,11,2,,,15,4,2,,2,0,2,,,,
923196,583,Linfield,https://media.api-sports.io/football/teams/583.png,1,2,3,0,,,8,4,2,,3,0,2,,,,
923200,3719,Slovácko,https://media.api-sports.io/football/teams/3719.png,,,,,,,,2,,,1,0,,,,,
923200,611,Fenerbahce,https://media.api-sports.io/football/teams/611.png,,,,,,,,1,,,2,0,,,,,
923194,578,F91 Dudelange,https://media.api-sports.io/football/teams/578.png,,,,,,,,7,,,5,0,,,,,
923194,375,Malmo FF,https://media.api-sports.io/football/teams/375.png,,,,,,,,5,,,2,0,,,,,
923198,656,Slovan Bratislava,https://media.api-sports.io/football/teams/656.png,8,4,16,,,,11,7,,,5,1,2,,,,
923198,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,3,5,8,,,,15,1,,,2,0,7,,,,
923171,573,FK Partizan,https://media.api-sports.io/football/teams/573.png,,,,,,,,4,,,3,0,,,,,
923171,614,AEK Larnaca,https://media.api-sports.io/football/teams/614.png,,,,,,,,3,,,1,0,,,,,
946760,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,3,5,10,2,7,3,13,5,3,60%,2,1,2,624,537,86%,
946760,1393,Union St. Gilloise,https://media.api-sports.io/football/teams/1393.png,3,3,7,1,7,0,6,2,1,40%,1,0,3,435,351,81%,
946754,197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,7,3,15,5,7,8,12,5,3,50%,2,,3,510,444,87%,
946754,327,Bodo/Glimt,https://media.api-sports.io/football/teams/327.png,4,4,9,1,6,3,12,4,0,50%,3,,6,507,435,86%,
946759,375,Malmo FF,https://media.api-sports.io/football/teams/375.png,2,6,10,2,8,2,12,4,3,44%,5,,4,374,264,71%,
946759,217,SC Braga,https://media.api-sports.io/football/teams/217.png,6,4,15,5,5,10,10,5,7,56%,2,,2,481,394,82%,
946757,566,Ludogorets,https://media.api-sports.io/football/teams/566.png,3,5,10,2,5,5,19,4,0,44%,3,,4,387,311,80%,
946757,497,AS Roma,https://media.api-sports.io/football/teams/497.png,6,10,19,3,14,5,7,9,2,56%,0,,1,489,411,84%,
946756,611,Fenerbahce,https://media.api-sports.io/football/teams/611.png,6,2,9,1,9,0,19,8,1,65%,5,,2,415,334,80%,
946756,572,Dynamo Kyiv,https://media.api-sports.io/football/teams/572.png,3,1,5,1,3,2,16,2,2,35%,3,,4,224,141,63%,
946755,614,AEK Larnaca,https://media.api-sports.io/football/teams/614.png,2,4,7,1,4,3,12,3,0,48%,1,,6,417,331,79%,
946755,94,Rennes,https://media.api-sports.io/football/teams/94.png,8,6,18,4,10,8,14,9,3,52%,1,,1,439,373,85%,
946758,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,1,0,4,3,3,1,12,4,3,48%,1,,3,481,406,84%,
946758,543,Real Betis,https://media.api-sports.io/football/teams/543.png,5,7,20,8,16,4,12,6,1,52%,3,,1,512,433,85%,
946753,783,FC Zurich,https://media.api-sports.io/football/teams/783.png,4,3,10,3,5,5,11,5,5,30%,1,,6,267,178,67%,
946753,42,Arsenal,https://media.api-sports.io/football/teams/42.png,8,8,18,2,14,4,7,8,0,70%,0,,2,648,571,88%,
946761,33,Manchester United,https://media.api-sports.io/football/teams/33.png,3,5,15,7,7,8,8,5,4,55%,2,,2,498,419,84%,
946761,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,3,1,7,3,6,1,16,3,0,45%,3,,3,407,317,78%,
946766,83,Nantes,https://media.api-sports.io/football/teams/83.png,5,9,14,0,11,3,9,10,2,53%,3,,1,501,430,86%,
946766,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,0,1,3,2,2,1,7,2,1,47%,2,,3,464,373,80%,
946765,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,6,6,14,2,8,6,16,2,0,46%,2,,5,385,308,80%,
946765,556,Qarabag,https://media.api-sports.io/football/teams/556.png,6,7,17,4,8,9,9,4,2,54%,3,,4,462,377,82%,
946763,487,Lazio,https://media.api-sports.io/football/teams/487.png,8,5,15,2,14,1,8,7,1,63%,1,,2,733,650,89%,
946763,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,4,8,17,5,12,5,8,2,1,37%,1,,4,427,361,85%,
946767,598,FK Crvena Zvezda,https://media.api-sports.io/football/teams/598.png,5,8,13,0,8,5,13,8,2,49%,3,,2,405,299,74%,
946767,91,Monaco,https://media.api-sports.io/football/teams/91.png,3,4,11,4,6,5,17,5,3,51%,3,,5,427,324,76%,
946764,637,Sturm Graz,https://media.api-sports.io/football/teams/637.png,6,6,14,2,11,3,21,5,2,36%,6,1,2,276,197,71%,
946764,397,FC Midtjylland,https://media.api-sports.io/football/teams/397.png,2,3,9,4,6,3,5,3,3,64%,1,0,4,500,422,84%,
946768,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,5,3,11,3,8,3,8,6,0,24%,4,1,6,205,138,67%,
946768,998,Trabzonspor,https://media.api-sports.io/football/teams/998.png,8,9,23,6,11,12,9,6,3,76%,1,0,2,654,594,91%,
946762,3402,Omonia Nicosia,https://media.api-sports.io/football/teams/3402.png,1,3,9,5,5,4,4,3,4,60%,2,,1,492,398,81%,
946762,568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png,4,5,13,4,7,6,13,4,0,40%,4,,1,321,233,73%,
946776,91,Monaco,https://media.api-sports.io/football/teams/91.png,6,5,13,2,10,3,11,9,5,57%,1,,2,487,402,83%,
946776,651,Ferencvarosi TC,https://media.api-sports.io/football/teams/651.png,3,5,8,0,4,4,6,5,3,43%,2,,6,378,297,79%,
946772,209,Feyenoord,https://media.api-sports.io/football/teams/209.png,8,3,12,1,8,4,12,7,1,71%,0,,3,638,551,86%,
946772,637,Sturm Graz,https://media.api-sports.io/football/teams/637.png,3,5,9,1,2,7,6,4,0,29%,3,,2,252,164,65%,
946771,397,FC Midtjylland,https://media.api-sports.io/football/teams/397.png,7,7,15,1,10,5,8,2,3,35%,2,,1,370,306,83%,
946771,487,Lazio,https://media.api-sports.io/football/teams/487.png,2,7,13,4,7,6,14,4,3,65%,1,,2,686,611,89%,
946769,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,4,7,11,0,5,6,18,6,0,71%,1,,0,655,560,85%,
