fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,penalty_home,penalty_away
1104954,2023-08-08 14:00:00+00:00,1691503200,FT,90,1691503200,1691506800,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Astana Arena,Astana,989.0,H. Feșnic,FC Astana,562,https://media.api-sports.io/football/teams/562.png,True,Ludogorets,566,https://media.api-sports.io/football/teams/566.png,False,2,1,1,1,2,1,,
1104956,2023-08-10 16:00:00+00:00,1691683200,FT,90,1691683200,1691686800,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Tofiq Bəhramov adına Respublika stadionu,Baku,5799.0,R. Reinshreiber,Qarabag,556,https://media.api-sports.io/football/teams/556.png,True,HJK helsinki,649,https://media.api-sports.io/football/teams/649.png,False,2,1,0,0,2,1,,
1104958,2023-08-10 16:00:00+00:00,1691683200,FT,90,1691683200,1691686800,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Vilniaus LFF stadionas,Vilnius,1030.0,M. Balakin,FK Zalgiris Vilnius,586,https://media.api-sports.io/football/teams/586.png,False,BK Hacken,367,https://media.api-sports.io/football/teams/367.png,True,1,3,0,1,1,3,,
1104377,2023-08-10 17:00:00+00:00,1691686800,FT,90,1691686800,1691690400,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Fortuna Arena,Praha,18856.0,L. Visser,Slavia Praha,560,https://media.api-sports.io/football/teams/560.png,True,Dnipro-1,3623,https://media.api-sports.io/football/teams/3623.png,False,3,0,2,0,3,0,,
1104960,2023-08-10 17:00:00+00:00,1691686800,FT,90,1691686800,1691690400,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Bolshaya Sportivnaya Arena,Tiraspol,1093.0,M. Al Hakim,Sheriff Tiraspol,568,https://media.api-sports.io/football/teams/568.png,True,Bate Borisov,388,https://media.api-sports.io/football/teams/388.png,False,5,1,2,0,5,1,,
1104964,2023-08-10 19:00:00+00:00,1691694000,FT,90,1691694000,1691697600,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Stadio Georgios Karaiskáki,Piraeus,,G. Nyberg,Olympiakos Piraeus,553,https://media.api-sports.io/football/teams/553.png,True,Genk,742,https://media.api-sports.io/football/teams/742.png,False,1,0,1,0,1,0,,
1104962,2023-08-10 19:00:00+00:00,1691694000,FT,90,1691694000,1691697600,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Stadion Bijeli Brijeg,Mostar,202.0,N. Walsh,Zrinjski,588,https://media.api-sports.io/football/teams/588.png,True,Breidablik,276,https://media.api-sports.io/football/teams/276.png,False,6,2,5,0,6,2,,
1104957,2023-08-17 16:00:00+00:00,1692288000,FT,90,1692288000,1692291600,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Bolt Arena,Helsinki,615.0,W. Delajod,HJK helsinki,649,https://media.api-sports.io/football/teams/649.png,False,Qarabag,556,https://media.api-sports.io/football/teams/556.png,True,1,2,1,1,1,2,,
1104959,2023-08-17 17:00:00+00:00,1692291600,FT,90,1692291600,1692295200,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Bravida Arena,Göteborg,1511.0,António Nobre,BK Hacken,367,https://media.api-sports.io/football/teams/367.png,True,FK Zalgiris Vilnius,586,https://media.api-sports.io/football/teams/586.png,False,5,0,1,0,5,0,,
1104963,2023-08-17 17:30:00+00:00,1692293400,FT,90,1692293400,1692297000,,World,3,UEFA Europa League,,https://media.api-sports.io/football/leagues/3.png,2023,3rd Qualifying Round,Kópavogsvöllur,Kópavogur,820.0,A. Papapetrou,Breidablik,276,https://media.api-sports.io/football/teams/276.png,True,Zrinjski,588,https://media.api-sports.io/football/teams/588.png,False,1,0,0,0,1,0,,
