fixture_id,bet_name,bet_value,bet_odd
1437226,Match Winner,Home,1.17
1437226,Match Winner,Draw,7.50
1437226,Match Winner,Away,13.00
1437226,Second Half Winner,Home,1.36
1437226,Second Half Winner,Draw,3.60
1437226,Second Half Winner,Away,9.00
1437226,Goals Over/Under,Over 1.5,1.11
1437226,Goals Over/Under,Under 1.5,6.00
1437226,Goals Over/Under,Over 2.5,1.40
1437226,Goals Over/Under,Under 2.5,2.75
1437226,Goals Over/Under,Over 3.5,1.91
1437226,Goals Over/Under,Under 3.5,1.80
1437226,Goals Over/Under,Over 0.5,1.01
1437226,Goals Over/Under,Under 0.5,13.00
1437226,Goals Over/Under,Over 8.5,17.00
1437226,Goals Over/Under,Under 8.5,1.00
1437226,Goals Over/Under,Over 4.5,3.25
1437226,Goals Over/Under,Under 4.5,1.33
1437226,Goals Over/Under,Over 7.5,12.00
1437226,Goals Over/Under,Under 7.5,1.01
1437226,Goals Over/Under,Over 5.5,5.00
1437226,Goals Over/Under,Under 5.5,1.14
1437226,Goals Over/Under,Over 6.5,8.50
1437226,Goals Over/Under,Under 6.5,1.05
1437226,HT/FT Double,Home/Draw,23.00
1437226,HT/FT Double,Home/Away,51.00
1437226,HT/FT Double,Draw/Away,23.00
1437226,HT/FT Double,Draw/Draw,11.00
1437226,HT/FT Double,Home/Home,1.53
1437226,HT/FT Double,Draw/Home,4.00
1437226,HT/FT Double,Away/Home,19.00
1437226,HT/FT Double,Away/Draw,26.00
1437226,HT/FT Double,Away/Away,23.00
1437226,Double Chance,Home/Draw,1.01
1437226,Double Chance,Home/Away,1.07
1437226,Double Chance,Draw/Away,4.50
1437226,First Half Winner,Home,1.50
1437226,First Half Winner,Draw,3.00
1437226,First Half Winner,Away,10.00
1437228,Match Winner,Home,1.65
1437228,Match Winner,Draw,4.10
1437228,Match Winner,Away,5.00
1437228,Second Half Winner,Home,2.00
1437228,Second Half Winner,Draw,2.50
1437228,Second Half Winner,Away,4.50
1437228,Goals Over/Under,Over 1.5,1.28
1437228,Goals Over/Under,Under 1.5,3.50
1437228,Goals Over/Under,Over 2.5,1.95
1437228,Goals Over/Under,Under 2.5,1.85
1437228,Goals Over/Under,Over 3.5,3.40
1437228,Goals Over/Under,Under 3.5,1.30
1437228,Goals Over/Under,Over 0.5,1.05
1437228,Goals Over/Under,Under 0.5,8.50
1437228,Goals Over/Under,Over 4.5,6.00
1437228,Goals Over/Under,Under 4.5,1.11
1437228,Goals Over/Under,Over 7.5,21.00
1437228,Goals Over/Under,Under 7.5,1.00
1437228,Goals Over/Under,Over 5.5,10.00
1437228,Goals Over/Under,Under 5.5,1.03
1437228,Goals Over/Under,Over 6.5,15.00
1437228,Goals Over/Under,Under 6.5,1.01
1437228,HT/FT Double,Home/Draw,17.00
1437228,HT/FT Double,Home/Away,41.00
1437228,HT/FT Double,Draw/Away,10.00
1437228,HT/FT Double,Draw/Draw,5.50
1437228,HT/FT Double,Home/Home,2.50
1437228,HT/FT Double,Draw/Home,4.33
1437228,HT/FT Double,Away/Home,23.00
1437228,HT/FT Double,Away/Draw,17.00
1437228,HT/FT Double,Away/Away,8.50
1437228,Double Chance,Home/Draw,1.14
1437228,Double Chance,Home/Away,1.22
1437228,Double Chance,Draw/Away,2.20
1437228,First Half Winner,Home,2.20
1437228,First Half Winner,Draw,2.20
1437228,First Half Winner,Away,5.00
1437227,Match Winner,Home,1.45
1437227,Match Winner,Draw,4.10
1437227,Match Winner,Away,7.50
1437227,Second Half Winner,Home,1.80
1437227,Second Half Winner,Draw,2.50
1437227,Second Half Winner,Away,6.50
1437227,Goals Over/Under,Over 1.5,1.36
1437227,Goals Over/Under,Under 1.5,3.00
1437227,Goals Over/Under,Over 2.5,2.10
1437227,Goals Over/Under,Under 2.5,1.70
1437227,Goals Over/Under,Over 3.5,3.75
1437227,Goals Over/Under,Under 3.5,1.25
1437227,Goals Over/Under,Over 0.5,1.06
1437227,Goals Over/Under,Under 0.5,8.00
1437227,Goals Over/Under,Over 4.5,7.00
1437227,Goals Over/Under,Under 4.5,1.08
1437227,Goals Over/Under,Over 7.5,21.00
1437227,Goals Over/Under,Under 7.5,1.00
1437227,Goals Over/Under,Over 5.5,11.00
1437227,Goals Over/Under,Under 5.5,1.02
1437227,Goals Over/Under,Over 6.5,17.00
1437227,Goals Over/Under,Under 6.5,1.00
1437227,HT/FT Double,Home/Draw,21.00
1437227,HT/FT Double,Home/Away,51.00
1437227,HT/FT Double,Draw/Away,13.00
1437227,HT/FT Double,Draw/Draw,5.50
1437227,HT/FT Double,Home/Home,2.20
1437227,HT/FT Double,Draw/Home,4.00
1437227,HT/FT Double,Away/Home,29.00
1437227,HT/FT Double,Away/Draw,21.00
1437227,HT/FT Double,Away/Away,12.00
1437227,Double Chance,Home/Draw,1.07
1437227,Double Chance,Home/Away,1.22
