fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
292916,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,7,4,15,4,8,7,15,5,6,63%,1,,3,587,510,87%
292916,1298,Le Mans,https://media.api-sports.io/football/teams/1298.png,3,6,12,3,8,4,13,6,1,37%,2,,5,320,208,65%
292891,91,Monaco,https://media.api-sports.io/football/teams/91.png,4,3,7,,,,12,11,0,68%,,,1,,,
292891,93,Reims,https://media.api-sports.io/football/teams/93.png,2,3,5,,,,12,0,3,32%,,,2,,,
292900,94,Rennes,https://media.api-sports.io/football/teams/94.png,8,10,18,,,,12,5,1,60%,,,3,,,
292900,87,Amiens,https://media.api-sports.io/football/teams/87.png,3,1,4,,,,12,2,0,40%,,,8,,,
292902,430,Bourg-en-bresse 01,https://media.api-sports.io/football/teams/430.png,2,5,13,6,6,7,14,7,1,44%,2,,2,420,339,81%
292902,80,Lyon,https://media.api-sports.io/football/teams/80.png,10,3,15,2,10,5,11,4,2,56%,1,,2,546,461,84%
292903,9288,Linas-Montlhery,https://media.api-sports.io/football/teams/9288.png,3,2,8,3,2,6,12,2,4,26%,,,9,254,187,74%
292903,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,16,6,28,6,24,4,10,6,5,74%,,,3,710,636,90%
292917,3221,Rouen,https://media.api-sports.io/football/teams/3221.png,3,2,5,0,4,1,17,3,1,33%,2,,1,297,201,68%
292917,112,Metz,https://media.api-sports.io/football/teams/112.png,1,5,6,0,5,1,9,4,2,67%,2,,0,583,489,84%
313285,1297,PAU,https://media.api-sports.io/football/teams/1297.png,3,2,5,0,2,3,16,4,2,25%,3,,2,304,179,59%
313285,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,4,8,17,5,7,10,12,12,3,75%,1,,0,847,730,86%
313296,3185,Granville,https://media.api-sports.io/football/teams/3185.png,2,6,9,1,7,2,12,1,1,24%,3,1,7,263,196,75%
313296,81,Marseille,https://media.api-sports.io/football/teams/81.png,10,7,23,6,8,15,15,6,0,76%,4,0,2,833,772,93%
313287,83,Nantes,https://media.api-sports.io/football/teams/83.png,5,4,17,8,11,6,9,12,2,44%,3,,4,375,286,76%
313287,80,Lyon,https://media.api-sports.io/football/teams/80.png,8,2,11,1,10,1,9,2,0,56%,2,,2,499,406,81%
313294,97,Lorient,https://media.api-sports.io/football/teams/97.png,0,6,10,4,6,4,5,5,1,27%,0,,5,293,224,76%
313294,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,6,5,18,7,10,8,8,7,1,73%,1,,0,839,770,92%
313286,3117,St-Pryvé St-Hilaire,https://media.api-sports.io/football/teams/3117.png,4,4,12,4,7,5,12,1,4,39%,0,,7,410,336,82%
313286,91,Monaco,https://media.api-sports.io/football/teams/91.png,10,6,21,5,13,8,22,1,1,61%,1,,3,636,563,89%
318770,77,Angers,https://media.api-sports.io/football/teams/77.png,9,2,11,,,,20,7,1,48%,,,6,,,
318770,94,Rennes,https://media.api-sports.io/football/teams/94.png,11,2,13,,,,17,4,5,52%,,,5,,,
318768,1311,Belfort,https://media.api-sports.io/football/teams/1311.png,3,8,11,,,,19,2,0,41%,,,6,,,
318768,82,Montpellier,https://media.api-sports.io/football/teams/82.png,6,12,18,,,,30,7,3,59%,,,3,,,
318772,3071,Limonest,https://media.api-sports.io/football/teams/3071.png,,,,,,,,3,,,,,,,,
318772,89,Dijon,https://media.api-sports.io/football/teams/89.png,,,,,,,,6,,,,,,,,
319347,91,Monaco,https://media.api-sports.io/football/teams/91.png,4,5,11,2,4,7,12,9,4,76%,1,,1,687,596,87%
319347,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,2,5,7,0,5,2,20,2,2,24%,4,,4,218,135,62%
318773,1297,PAU,https://media.api-sports.io/football/teams/1297.png,1,3,6,2,2,4,16,2,3,18%,1,,4,176,105,60%
318773,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,7,5,17,5,11,6,5,1,2,82%,1,,1,823,741,90%
318767,1309,Epinal,https://media.api-sports.io/football/teams/1309.png,3,7,10,,,,15,2,2,43%,,,1,,,
318767,79,Lille,https://media.api-sports.io/football/teams/79.png,2,4,6,,,,15,3,0,57%,,,1,,,
318771,81,Marseille,https://media.api-sports.io/football/teams/81.png,7,6,14,1,9,5,12,3,0,59%,1,0,4,559,473,85%
318771,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,5,2,9,2,6,3,11,5,7,41%,2,1,4,373,275,74%
318769,84,Nice,https://media.api-sports.io/football/teams/84.png,6,3,11,2,6,5,9,6,2,55%,2,,2,577,498,86%
318769,80,Lyon,https://media.api-sports.io/football/teams/80.png,4,4,13,5,8,5,17,10,0,45%,3,,4,457,375,82%
321834,1311,Belfort,https://media.api-sports.io/football/teams/1311.png,2,4,10,4,4,6,10,3,4,39%,4,,3,368,313,85%
321834,94,Rennes,https://media.api-sports.io/football/teams/94.png,6,5,13,2,10,3,12,5,5,61%,3,,2,578,514,89%
321835,89,Dijon,https://media.api-sports.io/football/teams/89.png,1,7,11,3,7,4,5,2,0,34%,,,5,358,297,83%
321835,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,9,6,18,3,15,3,19,5,1,66%,,,0,700,627,90%
321836,80,Lyon,https://media.api-sports.io/football/teams/80.png,2,5,11,4,5,6,11,5,5,48%,2,,1,425,330,78%
321836,81,Marseille,https://media.api-sports.io/football/teams/81.png,1,4,6,1,2,4,9,3,0,52%,3,,1,449,349,78%
321837,1309,Epinal,https://media.api-sports.io/football/teams/1309.png,3,5,9,1,7,2,19,7,0,49%,4,,1,370,258,70%
321837,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,3,5,9,1,5,4,14,2,1,51%,2,,2,381,262,69%
324111,80,Lyon,https://media.api-sports.io/football/teams/80.png,3,4,10,3,10,0,13,5,1,42%,3,1,5,399,346,87%
324111,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,9,5,16,2,13,3,7,8,3,58%,4,0,2,552,503,91%
324110,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,6,4,16,6,8,8,12,4,0,51%,1,,2,420,329,78%
324110,94,Rennes,https://media.api-sports.io/football/teams/94.png,3,5,10,2,3,7,22,3,1,49%,3,,3,414,336,81%
