fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
974202,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,5,4,11,2,10,1,9,5,5,53%,,,4,471,394,84%,
974202,77,Angers,https://media.api-sports.io/football/teams/77.png,4,6,12,2,8,4,12,11,3,47%,,,5,400,334,84%,
974179,101,Grenoble,https://media.api-sports.io/football/teams/101.png,6,4,14,4,9,5,13,5,2,44%,3,,0,453,391,86%,
974179,92,Nimes,https://media.api-sports.io/football/teams/92.png,0,2,2,0,1,1,16,1,1,56%,3,,5,596,521,87%,
974193,114,Paris FC,https://media.api-sports.io/football/teams/114.png,4,2,9,3,6,3,13,3,3,48%,1,,2,450,376,84%,
974193,105,Valenciennes,https://media.api-sports.io/football/teams/105.png,3,2,6,1,4,2,13,5,3,52%,2,,1,473,412,87%,
974181,1297,PAU,https://media.api-sports.io/football/teams/1297.png,2,3,7,2,4,3,12,1,0,35%,,,3,352,241,68%,
974181,82,Montpellier,https://media.api-sports.io/football/teams/82.png,4,6,14,4,10,4,9,10,1,65%,,,1,631,529,84%,
974206,107,Chateauroux,https://media.api-sports.io/football/teams/107.png,2,6,11,3,8,3,8,5,1,37%,,,6,366,302,83%,
974206,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,9,2,12,1,8,4,10,9,2,63%,,,1,639,589,92%,
974180,9257,Grasse,https://media.api-sports.io/football/teams/9257.png,4,9,15,2,10,5,11,9,3,57%,0,,0,460,347,75%,
974180,20573,La Tamponnaise,https://media.api-sports.io/football/teams/20573.png,0,4,4,0,3,1,11,2,3,43%,1,,3,340,210,62%,
974201,10167,Évreux 27,https://media.api-sports.io/football/teams/10167.png,3,6,10,1,6,4,16,3,3,38%,3,,3,245,132,54%,
974201,1305,Bastia,https://media.api-sports.io/football/teams/1305.png,4,7,18,7,11,7,19,5,1,62%,2,,2,378,268,71%,
974203,80,Lyon,https://media.api-sports.io/football/teams/80.png,4,9,19,6,13,6,8,9,1,66%,,,0,597,527,88%,
974203,112,Metz,https://media.api-sports.io/football/teams/112.png,1,3,6,2,1,5,13,5,0,34%,,,3,304,219,72%,
974184,81,Marseille,https://media.api-sports.io/football/teams/81.png,2,10,12,0,6,6,15,1,0,47%,0,0,2,419,351,84%,
974184,3061,Hyères,https://media.api-sports.io/football/teams/3061.png,4,6,12,2,9,3,15,3,4,53%,1,1,2,490,415,85%,
974186,1303,Avranches,https://media.api-sports.io/football/teams/1303.png,1,3,4,0,3,1,4,2,2,53%,,,6,500,425,85%,
974186,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,9,6,21,6,14,7,14,9,0,47%,,,0,426,359,84%,
974196,9288,Linas-Montlhery,https://media.api-sports.io/football/teams/9288.png,1,1,4,2,2,2,14,5,2,33%,1,,3,266,196,74%,
974196,116,Lens,https://media.api-sports.io/football/teams/116.png,5,8,16,3,10,6,10,10,1,67%,0,,1,552,490,89%,
974199,16416,Strasbourg Koenigshoffen,https://media.api-sports.io/football/teams/16416.png,3,0,4,1,2,2,7,1,,31%,,,4,305,187,61%,
974199,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,4,4,12,4,7,5,13,9,,69%,,,3,690,577,84%,
974182,91,Monaco,https://media.api-sports.io/football/teams/91.png,10,5,19,4,15,4,10,7,4,63%,1,,2,548,488,89%,
974182,1301,Rodez,https://media.api-sports.io/football/teams/1301.png,4,5,10,1,9,1,10,5,0,37%,2,,8,311,241,77%,
974183,3069,Le Puy Foot,https://media.api-sports.io/football/teams/3069.png,2,2,5,1,3,2,7,2,1,38%,,,4,369,278,75%,
974183,84,Nice,https://media.api-sports.io/football/teams/84.png,4,12,21,5,10,11,12,5,3,62%,,,1,604,524,87%,
974195,3123,Thaon,https://media.api-sports.io/football/teams/3123.png,2,10,18,6,12,6,20,9,,34%,2,1,3,226,130,58%,
974195,87,Amiens,https://media.api-sports.io/football/teams/87.png,3,9,18,6,10,8,15,7,,66%,3,0,2,467,378,81%,
974190,3185,Granville,https://media.api-sports.io/football/teams/3185.png,3,3,11,5,7,4,13,5,1,41%,2,1,4,373,271,73%,
974190,113,Niort,https://media.api-sports.io/football/teams/113.png,7,2,11,2,3,8,15,1,2,59%,1,0,3,553,457,83%,
981285,3243,Vire,https://media.api-sports.io/football/teams/3243.png,3,4,9,2,4,5,13,0,2,40%,1,,5,350,269,77%,
981285,83,Nantes,https://media.api-sports.io/football/teams/83.png,7,9,18,2,11,7,13,7,1,60%,0,,3,528,452,86%,
974189,9311,Stade Plabennec,https://media.api-sports.io/football/teams/9311.png,,,,,1,,,0,,,1,0,,,,,
974189,3129,Vannes,https://media.api-sports.io/football/teams/3129.png,,,,,0,,,0,,,4,0,,,,,
974204,13675,Villerupt Thil,https://media.api-sports.io/football/teams/13675.png,2,1,4,1,4,0,12,2,2,33%,2,1,4,253,133,53%,
974204,3012,Annecy,https://media.api-sports.io/football/teams/3012.png,12,5,21,4,16,5,20,4,4,67%,1,0,1,511,400,78%,
974191,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,2,6,13,5,10,3,8,4,2,45%,0,1,3,392,315,80%,
974191,94,Rennes,https://media.api-sports.io/football/teams/94.png,5,3,13,5,10,3,14,7,3,55%,1,0,1,498,410,82%,
974194,1311,Belfort,https://media.api-sports.io/football/teams/1311.png,4,7,12,1,10,2,13,2,3,41%,3,,5,296,184,62%,
974194,3091,Olympique St Quentin,https://media.api-sports.io/football/teams/3091.png,6,3,16,7,11,5,15,6,1,59%,2,,1,425,319,75%,
974205,3033,Chamalières,https://media.api-sports.io/football/teams/3033.png,3,5,8,0,4,4,14,4,0,52%,2,,3,378,274,72%,
974205,17360,Bourges Foot 18,https://media.api-sports.io/football/teams/17360.png,3,3,11,5,4,7,21,6,1,48%,1,,3,341,262,77%,
974187,3066,La Châtaigneraie,https://media.api-sports.io/football/teams/3066.png,,,,,,,,2,,,0,0,,,,,
974187,97,Lorient,https://media.api-sports.io/football/teams/97.png,,,,,,,,13,,,0,0,,,,,
977793,9255,Jura Sud Foot,https://media.api-sports.io/football/teams/9255.png,4,2,8,2,5,3,19,3,2,45%,3,,1,343,243,71%,
977793,98,Ajaccio,https://media.api-sports.io/football/teams/98.png,3,6,12,3,9,3,11,4,2,55%,1,,2,430,343,80%,
974197,13654,Loon-Plage,https://media.api-sports.io/football/teams/13654.png,1,3,5,1,1,4,8,1,0,31%,2,,1,247,151,61%,
974197,93,Reims,https://media.api-sports.io/football/teams/93.png,9,3,15,3,13,2,12,9,2,69%,2,,1,561,472,84%,
974192,1304,Dunkerque,https://media.api-sports.io/football/teams/1304.png,4,2,11,5,9,2,9,3,3,40%,2,,7,320,243,76%,
974192,108,Auxerre,https://media.api-sports.io/football/teams/108.png,9,7,23,7,15,8,7,8,0,60%,1,,2,484,408,84%,
974185,3067,Lannion,https://media.api-sports.io/football/teams/3067.png,4,3,10,3,5,5,7,2,,38%,0,,6,372,296,80%,
974185,96,Toulouse,https://media.api-sports.io/football/teams/96.png,13,7,21,1,16,5,15,7,,62%,1,,4,635,554,87%,
974188,3119,Stade Pontivy,https://media.api-sports.io/football/teams/3119.png,3,2,5,0,3,2,12,2,2,21%,,1,7,197,122,62%,
974188,1308,Les Herbiers,https://media.api-sports.io/football/teams/1308.png,11,9,26,6,19,7,3,6,2,79%,,0,2,785,703,90%,
974178,9930,Aubagne,https://media.api-sports.io/football/teams/9930.png,3,6,11,2,6,5,12,2,0,64%,2,,3,470,369,79%,
974178,9969,Chambéry,https://media.api-sports.io/football/teams/9969.png,6,3,9,0,6,3,19,3,6,36%,2,,2,261,169,65%,
974198,79,Lille,https://media.api-sports.io/football/teams/79.png,8,5,22,9,13,9,10,3,2,71%,0,,3,742,673,91%,
974198,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,3,1,6,2,5,1,19,6,3,29%,3,,6,290,220,76%,
986136,81,Marseille,https://media.api-sports.io/football/teams/81.png,3,6,11,2,5,6,13,2,5,49%,1,,1,430,328,76%,
986136,94,Rennes,https://media.api-sports.io/football/teams/94.png,1,4,5,0,3,2,10,4,1,51%,2,,2,447,338,76%,
986127,9969,Chambéry,https://media.api-sports.io/football/teams/9969.png,6,4,15,5,6,9,11,5,5,35%,0,,8,318,207,65%,
986127,80,Lyon,https://media.api-sports.io/football/teams/80.png,12,7,19,0,15,4,14,5,6,65%,1,,6,609,502,82%,
986137,96,Toulouse,https://media.api-sports.io/football/teams/96.png,3,7,12,2,11,1,5,,0,64%,1,,2,615,518,84%,
