fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1318783,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,6,4,14,4,8,6,6,4,2,28%,1,,5,237,189,80%,,
1318783,112,Metz,https://media.api-sports.io/football/teams/112.png,5,5,11,1,5,6,7,5,1,72%,1,,3,605,545,90%,,
1318787,3221,Rouen,https://media.api-sports.io/football/teams/3221.png,1,5,10,4,7,3,10,4,6,28%,3,1,4,272,194,71%,,
1318787,79,Lille,https://media.api-sports.io/football/teams/79.png,5,7,15,3,9,6,21,7,0,72%,1,0,1,749,664,89%,,
1318790,3187,Hauts Lyonnais,https://media.api-sports.io/football/teams/3187.png,1,2,5,2,4,1,15,0,3,37%,3,1,3,269,144,54%,,
1318790,96,Toulouse,https://media.api-sports.io/football/teams/96.png,3,7,14,4,7,7,15,7,0,63%,3,1,1,440,339,77%,,
1318792,3229,Stade Briochin,https://media.api-sports.io/football/teams/3229.png,5,4,12,3,11,1,9,2,,32%,1,,4,289,219,76%,,
1318792,111,Le Havre,https://media.api-sports.io/football/teams/111.png,4,3,11,4,7,4,17,3,,68%,2,,4,612,538,88%,,
1318797,1293,Drancy,https://media.api-sports.io/football/teams/1293.png,1,3,4,0,3,1,11,0,4,34%,2,,2,354,290,82%,,
1318797,83,Nantes,https://media.api-sports.io/football/teams/83.png,6,9,19,4,14,5,8,7,0,66%,0,,1,684,625,91%,,
1318795,3069,Le Puy Foot,https://media.api-sports.io/football/teams/3069.png,10,5,22,7,16,6,7,8,2,47%,1,,3,357,285,80%,,
1318795,82,Montpellier,https://media.api-sports.io/football/teams/82.png,3,8,15,4,9,6,14,7,1,53%,2,,6,404,332,82%,,
1318796,3123,Thaon,https://media.api-sports.io/football/teams/3123.png,4,4,8,0,6,2,3,4,1,41%,1,,2,257,157,61%,,
1318796,87,Amiens,https://media.api-sports.io/football/teams/87.png,3,5,9,1,5,4,10,5,1,59%,3,,2,388,307,79%,,
1318798,3176,Feignies-Aulnoye,https://media.api-sports.io/football/teams/3176.png,4,4,8,0,3,5,17,3,3,31%,1,,3,279,205,73%,,
1318798,80,Lyon,https://media.api-sports.io/football/teams/80.png,5,6,12,1,9,3,12,8,2,69%,2,,3,647,570,88%,,
1318805,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,4,5,11,2,3,8,8,2,5,33%,2,,2,314,245,78%,,
1318805,94,Rennes,https://media.api-sports.io/football/teams/94.png,6,5,14,3,11,3,9,4,4,67%,2,,3,643,587,91%,,
