fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited,offsides
157422,Monaco,91,21566,Benjamin Lecomte,https://media.api-sports.io/football/players/21566.png,90,40,G,5.2,False,False,0,0,3.0,1.0,18,0,75%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157422,Monaco,91,21568,Ruben Aguilar,https://media.api-sports.io/football/players/21568.png,90,12,D,6.8,False,False,0,0,,,30,1,88%,0.0,1,1,0,2,1,0,0,0,0,,3.0,,,,,,
157422,Monaco,91,97,Kamil Glik,https://media.api-sports.io/football/players/97.png,90,25,D,6.6,True,False,0,0,,,46,0,88%,2.0,1,0,0,1,0,0,0,0,0,,,,,,,,
157422,Monaco,91,84088,Jonathan Panzo,https://media.api-sports.io/football/players/84088.png,90,37,D,6.8,False,False,1,0,,,55,0,85%,1.0,2,0,0,0,0,0,0,0,0,,2.0,,,,,,
157422,Monaco,91,105,Fodé Ballo-Touré,https://media.api-sports.io/football/players/105.png,90,2,D,6.0,False,False,0,0,,,22,0,78%,0.0,0,2,1,3,2,1,0,0,0,,1.0,1.0,,,,,
157422,Monaco,91,98,Benjamin Henrichs,https://media.api-sports.io/football/players/98.png,74,39,M,7.0,False,False,2,0,,,40,1,87%,0.0,0,3,1,3,1,0,0,0,0,,4.0,1.0,,,,,
157422,Monaco,91,96,Jemerson,https://media.api-sports.io/football/players/96.png,90,5,M,7.0,False,False,0,0,,,38,1,80%,0.0,2,0,0,1,2,0,0,0,0,,4.0,,,,,,
157422,Monaco,91,118,Gelson Martins,https://media.api-sports.io/football/players/118.png,90,11,M,6.4,False,False,1,1,,,21,1,95%,0.0,2,5,3,1,2,0,0,0,0,,1.0,2.0,,,,,
157422,Monaco,91,108,Cesc Fàbregas,https://media.api-sports.io/football/players/108.png,30,4,M,5.3,False,False,0,0,,,22,1,95%,0.0,0,0,0,1,2,0,1,0,0,,,1.0,,,,,
157422,Monaco,91,111,Rony Lopes,https://media.api-sports.io/football/players/111.png,81,7,M,6.3,False,False,2,0,,,23,0,92%,0.0,0,1,1,3,0,0,0,0,0,,,,,,,,
157422,Monaco,91,98936,Lyle Foster,https://media.api-sports.io/football/players/98936.png,45,35,F,6.5,False,False,0,0,,,4,0,57%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
157422,Monaco,91,21093,Gabriel Boschilia,https://media.api-sports.io/football/players/21093.png,45,26,M,6.4,False,True,1,0,,,9,0,81%,0.0,1,0,0,1,0,0,0,0,0,,,2.0,,,,,
157422,Monaco,91,3343,Adama Traoré,https://media.api-sports.io/football/players/3343.png,16,21,M,6.4,False,True,0,0,,,6,0,85%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
157422,Monaco,91,115,Moussa Sylla,https://media.api-sports.io/football/players/115.png,9,34,F,6.6,False,True,0,0,,,2,1,100%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
157422,Lyon,80,647,Anthony Lopes,https://media.api-sports.io/football/players/647.png,90,1,G,7.3,False,False,0,0,0.0,1.0,22,0,91%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157422,Lyon,80,650,Léo Dubois,https://media.api-sports.io/football/players/650.png,90,14,D,7.3,False,False,2,0,,,45,0,91%,1.0,1,3,2,2,4,1,0,0,0,,3.0,,,,,,
157422,Lyon,80,2729,Joachim Andersen,https://media.api-sports.io/football/players/2729.png,90,3,D,7.2,False,False,1,0,,,103,0,96%,0.0,0,0,0,0,0,0,0,0,0,,,1.0,,,,,
157422,Lyon,80,649,Jason Denayer,https://media.api-sports.io/football/players/649.png,90,5,D,7.6,True,False,0,0,,,99,1,99%,1.0,1,0,0,0,0,0,0,0,0,,,,,,,,
157422,Lyon,80,3334,Youssouf Koné,https://media.api-sports.io/football/players/3334.png,86,28,D,6.8,False,False,0,0,,,67,0,91%,0.0,1,1,0,0,0,0,0,0,0,,,,,,,,
157422,Lyon,80,22232,Thiago Mendes,https://media.api-sports.io/football/players/22232.png,90,12,M,7.0,False,False,0,0,,,50,4,89%,0.0,0,2,0,1,3,0,0,0,0,,,,2.0,,,,
157422,Lyon,80,664,Lucas Tousart,https://media.api-sports.io/football/players/664.png,90,29,M,7.5,False,False,2,1,,,63,0,94%,1.0,1,0,0,0,2,0,0,0,0,,2.0,2.0,,1.0,,,
157422,Lyon,80,658,Houssem Aouar,https://media.api-sports.io/football/players/658.png,77,8,M,6.4,False,False,0,0,,,42,0,80%,0.0,3,3,3,1,2,1,0,0,0,,,2.0,,,,,
157422,Lyon,80,671,Bertrand Traoré,https://media.api-sports.io/football/players/671.png,83,10,F,7.9,False,False,2,0,,,30,3,85%,0.0,0,3,2,2,1,0,0,0,0,,1.0,,1.0,,,,
157422,Lyon,80,666,Moussa Dembélé,https://media.api-sports.io/football/players/666.png,90,9,F,7.3,False,False,2,1,,,13,1,68%,0.0,0,2,0,1,3,0,0,0,0,,,,,1.0,,,
157422,Lyon,80,667,Memphis Depay,https://media.api-sports.io/football/players/667.png,90,11,F,7.3,False,False,4,1,,,26,2,89%,0.0,0,3,0,2,1,0,0,0,0,,,,,1.0,,,
157422,Lyon,80,657,Kenny Tete,https://media.api-sports.io/football/players/657.png,4,23,D,–,False,False,0,0,,,0,0,0%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
157422,Lyon,80,9994,Jean Lucas,https://media.api-sports.io/football/players/9994.png,13,22,M,6.2,False,False,0,0,,,8,0,88%,0.0,0,0,0,0,0,0,0,0,0,,,1.0,,,,,
157422,Lyon,80,665,Maxwel Cornet,https://media.api-sports.io/football/players/665.png,9,27,M,6.3,False,False,0,0,,,1,1,100%,0.0,0,1,0,0,1,0,0,0,0,,,,,,,,
157414,Marseille,81,1897,Steve Mandanda,https://media.api-sports.io/football/players/1897.png,90,30,G,6.7,True,False,0,0,2.0,3.0,20,0,95%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157414,Marseille,81,1907,Hiroki Sakai,https://media.api-sports.io/football/players/1907.png,90,2,D,6.7,False,False,0,0,,,74,1,89%,0.0,0,1,1,1,1,0,0,0,0,,,2.0,,,,,
157414,Marseille,81,1904,Boubacar Kamara,https://media.api-sports.io/football/players/1904.png,90,4,D,7.0,False,False,2,1,,,61,0,93%,0.0,4,0,0,1,1,1,0,0,0,,2.0,,,,,,
157414,Marseille,81,1902,Duje Ćaleta-Car,https://media.api-sports.io/football/players/1902.png,90,15,D,6.3,False,False,1,0,,,66,0,83%,0.0,1,0,0,0,1,0,0,0,0,,1.0,1.0,,,,,
157414,Marseille,81,1901,Jordan Amavi,https://media.api-sports.io/football/players/1901.png,90,18,D,6.9,False,False,0,0,,,44,1,89%,0.0,0,2,2,3,2,0,0,0,0,,,,,,,,
157414,Marseille,81,1914,Morgan Sanson,https://media.api-sports.io/football/players/1914.png,73,8,M,6.4,False,False,1,0,,,32,1,94%,0.0,0,1,1,0,3,0,0,0,0,,,,,,,,
157414,Marseille,81,1909,Luiz Gustavo,https://media.api-sports.io/football/players/1909.png,90,19,M,7.0,False,False,2,0,,,60,0,98%,2.0,5,0,0,0,4,0,0,0,0,,2.0,1.0,,,,,
157414,Marseille,81,1916,Kevin Strootman,https://media.api-sports.io/football/players/1916.png,90,12,M,6.2,False,False,2,0,,,39,0,72%,0.0,0,0,0,0,1,0,0,0,0,,,2.0,,,,,
157414,Marseille,81,1920,Nemanja Radonjić,https://media.api-sports.io/football/players/1920.png,59,7,F,6.5,False,False,0,0,,,24,0,77%,0.0,2,1,1,1,2,0,0,0,0,,,2.0,,,,,
157414,Marseille,81,1918,Valère Germain,https://media.api-sports.io/football/players/1918.png,73,28,F,6.4,False,False,1,0,,,12,0,63%,0.0,0,0,0,0,0,0,0,0,0,,,1.0,,,,,
157414,Marseille,81,1912,Dimitri Payet,https://media.api-sports.io/football/players/1912.png,90,10,F,7.1,False,False,1,1,,,23,2,65%,0.0,0,6,3,0,1,0,0,0,0,,,,,,,,
157414,Marseille,81,1915,Bouna Sarr,https://media.api-sports.io/football/players/1915.png,31,17,D,6.2,False,True,0,0,,,15,0,78%,0.0,0,5,2,1,0,0,0,0,0,,,,,,,,
157414,Marseille,81,1908,Florian Chabrolle,https://media.api-sports.io/football/players/1908.png,17,29,F,6.4,False,True,0,0,,,13,0,86%,0.0,0,0,0,1,1,0,0,0,0,,,1.0,,,,,
157414,Marseille,81,2478,Darío Benedetto,https://media.api-sports.io/football/players/2478.png,17,9,F,6.4,False,True,0,0,,,5,0,71%,0.0,0,0,0,0,1,0,0,0,0,,,,,,,,
157414,Reims,93,2814,Predrag Rajković,https://media.api-sports.io/football/players/2814.png,90,1,G,7.3,False,False,0,0,0.0,2.0,15,0,42%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157414,Reims,93,22000,Thomas Foket,https://media.api-sports.io/football/players/22000.png,90,32,D,7.1,False,False,0,0,,,11,0,61%,0.0,1,1,1,2,2,0,0,0,0,,1.0,2.0,,,,,
157414,Reims,93,21998,Axel Disasi,https://media.api-sports.io/football/players/21998.png,90,6,D,7.5,False,False,0,0,,,23,0,79%,4.0,1,0,0,0,1,0,0,0,0,,,1.0,,,,,
157414,Reims,93,2704,Yunis Abdelhamid,https://media.api-sports.io/football/players/2704.png,90,5,D,7.1,False,False,0,0,,,24,0,75%,0.0,4,0,0,1,0,0,0,0,0,,1.0,2.0,,,,,
157414,Reims,93,22007,Hassane Kamara,https://media.api-sports.io/football/players/22007.png,90,13,D,8.4,False,False,0,0,,,40,0,85%,0.0,6,2,2,2,0,0,0,0,0,,7.0,1.0,,,,,
157414,Reims,93,22012,Jacques-Alaixys Romao,https://media.api-sports.io/football/players/22012.png,90,4,M,7.3,True,False,0,0,,,19,1,86%,0.0,1,1,1,5,0,0,0,0,0,,,,,,,,
157414,Reims,93,22005,Xavier Chavalerin,https://media.api-sports.io/football/players/22005.png,90,7,M,6.9,False,False,0,0,,,36,0,87%,1.0,2,0,0,0,0,0,0,0,0,,1.0,2.0,,,,,
157414,Reims,93,22016,Remi Oudin,https://media.api-sports.io/football/players/22016.png,85,18,M,6.4,False,False,1,0,,,16,1,59%,0.0,0,0,0,1,0,0,0,0,0,,,1.0,,,,,
157414,Reims,93,22006,Tristan Dingome,https://media.api-sports.io/football/players/22006.png,73,20,M,7.4,False,False,1,0,,,15,2,62%,0.0,1,1,0,1,0,0,0,0,0,,1.0,,1.0,,,,
157414,Reims,93,3340,Moussa Doumbia,https://media.api-sports.io/football/players/3340.png,78,25,M,6.0,False,False,1,1,,,21,2,84%,0.0,2,7,3,1,1,0,0,0,0,,,1.0,,,,,
157414,Reims,93,22015,Boulaye Dia,https://media.api-sports.io/football/players/22015.png,90,11,F,8.4,False,False,4,3,,,14,1,73%,0.0,1,2,1,3,2,0,0,0,0,,3.0,,1.0,1.0,,,
157414,Reims,93,22002,Ghislain Konan,https://media.api-sports.io/football/players/22002.png,9,3,D,6.9,False,False,0,0,,,3,0,100%,0.0,0,1,1,1,0,0,0,0,0,,1.0,,,,,,
157414,Reims,93,22018,Hyun-Jun Suk,https://media.api-sports.io/football/players/22018.png,12,10,F,7.2,False,False,1,1,,,0,0,0%,0.0,1,1,0,0,1,0,0,0,0,,,,,1.0,,,
157414,Reims,93,129670,Nathanael Mbuku,https://media.api-sports.io/football/players/129670.png,17,33,F,7.2,False,False,0,0,,,4,1,57%,0.0,0,1,1,1,1,0,0,0,0,,1.0,,,,,,
157418,Angers,77,21136,Ludovic Butelle,https://media.api-sports.io/football/players/21136.png,90,16,G,6.4,True,False,0,0,1.0,2.0,16,0,51%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157418,Angers,77,21141,Vincent Manceau,https://media.api-sports.io/football/players/21141.png,90,29,D,6.6,False,False,1,0,,,31,0,81%,0.0,0,0,0,1,0,0,0,0,0,,3.0,2.0,,,,,
157418,Angers,77,21142,Mateo Pavlović,https://media.api-sports.io/football/players/21142.png,90,4,D,7.1,False,False,0,0,,,38,0,92%,0.0,1,0,0,0,0,0,0,0,0,,2.0,,,,,,
157418,Angers,77,21144,Romain Thomas,https://media.api-sports.io/football/players/21144.png,90,24,D,6.5,False,False,0,0,,,36,0,80%,1.0,1,0,0,2,2,1,0,0,0,,,2.0,,,,,
157418,Angers,77,21138,Rayan Aït Nouri,https://media.api-sports.io/football/players/21138.png,67,2,D,7.0,False,False,0,0,,,31,1,83%,0.0,0,2,2,0,0,0,0,0,0,,2.0,,1.0,,,,
157418,Angers,77,21153,Baptiste Santamaria,https://media.api-sports.io/football/players/21153.png,90,18,M,6.9,False,False,0,0,,,29,0,74%,1.0,5,1,0,1,1,0,0,0,0,,2.0,1.0,,,,,
157418,Angers,77,21145,Pierrick Capelle,https://media.api-sports.io/football/players/21145.png,90,15,M,7.0,False,False,4,1,,,20,3,74%,0.0,0,3,3,2,0,1,0,0,0,,3.0,3.0,,,,,
157418,Angers,77,21152,Jeff Reine-Adélaïde,https://media.api-sports.io/football/players/21152.png,80,22,M,8.2,False,False,2,1,,,28,1,82%,0.0,0,12,10,2,1,0,0,0,0,,,,1.0,1.0,,,
157418,Angers,77,21148,Thomas Mangani,https://media.api-sports.io/football/players/21148.png,90,5,M,7.7,False,False,2,1,,,43,1,78%,0.0,0,1,1,1,1,0,0,0,0,,2.0,1.0,,1.0,,,
157418,Angers,77,20780,Mathias Pereira Lage,https://media.api-sports.io/football/players/20780.png,71,27,M,8.1,False,False,2,1,,,18,3,72%,0.0,0,2,2,1,2,0,0,0,0,,,2.0,1.0,1.0,,,
157418,Angers,77,2718,Rachid Alioui,https://media.api-sports.io/football/players/2718.png,90,7,F,6.9,False,False,3,0,,,23,1,71%,0.0,0,1,1,2,1,0,0,0,0,,,1.0,,,,,
