fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_committed,tackles_blocks,dribbles_past,fouls_drawn,tackles_interceptions,shots_total,passes_key,offsides,shots_on,goals_total,goals_assists,penalty_won,penalty_commited
1044885,Nice,84,2274,Marcin Bułka,https://media.api-sports.io/football/players/2274.png,90.0,90,G,7.3,False,False,0,4.0,46.0,40,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1044885,Nice,84,3165,Youcef Atal,https://media.api-sports.io/football/players/3165.png,45.0,20,D,6.7,False,False,0,,13.0,11,0,0,0,0,,2.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
1044885,Nice,84,138,Jean-Clair Todibo,https://media.api-sports.io/football/players/138.png,90.0,6,D,6.9,False,False,0,,53.0,46,0,0,0,0,,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,
1044885,Nice,84,22163,Dante,https://media.api-sports.io/football/players/22163.png,90.0,4,D,7.2,True,False,0,,46.0,42,0,0,0,0,,1.0,7.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,
1044885,Nice,84,162465,Melvin Bard,https://media.api-sports.io/football/players/162465.png,90.0,26,D,6.2,False,False,0,,50.0,39,0,0,0,0,,1.0,13.0,4.0,4.0,1.0,3.0,,4.0,1.0,3.0,,,,,,,,
1044885,Nice,84,1914,Morgan Sanson,https://media.api-sports.io/football/players/1914.png,90.0,11,M,6.9,False,False,0,,24.0,21,0,0,0,0,,,13.0,6.0,5.0,4.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,,
1044885,Nice,84,3099,Youssouf Ndayishimiye,https://media.api-sports.io/football/players/3099.png,90.0,55,M,6.9,False,False,0,,30.0,26,0,0,0,0,,1.0,9.0,5.0,,,1.0,1.0,,2.0,1.0,,,,,,,,
1044885,Nice,84,116,Khéphren Thuram,https://media.api-sports.io/football/players/116.png,57.0,19,M,7.3,False,False,0,,18.0,15,0,0,0,0,,4.0,12.0,7.0,6.0,3.0,1.0,,1.0,,1.0,,2.0,1.0,,,,,
1044885,Nice,84,21592,Gaëtan Laborde,https://media.api-sports.io/football/players/21592.png,57.0,24,F,7.2,False,False,0,,13.0,9,0,0,0,0,,,8.0,3.0,5.0,3.0,1.0,,,,,2.0,,1.0,2.0,1.0,,,
1044885,Nice,84,69971,Terem Moffi,https://media.api-sports.io/football/players/69971.png,80.0,9,F,6.7,False,False,0,,14.0,11,0,0,0,0,,,8.0,2.0,4.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,
1044885,Nice,84,30531,Jérémie Boga,https://media.api-sports.io/football/players/30531.png,57.0,7,F,6.6,False,False,0,,14.0,13,0,0,0,0,,1.0,11.0,5.0,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,
1044885,Nice,84,945,Jordan Lotomba,https://media.api-sports.io/football/players/945.png,45.0,23,D,6.7,False,True,0,,18.0,16,0,0,0,0,,2.0,7.0,4.0,4.0,2.0,1.0,,1.0,,,,,,,,,,
1044885,Nice,84,107,Sofiane Diop,https://media.api-sports.io/football/players/107.png,33.0,10,M,6.7,False,True,0,,12.0,9,0,0,0,0,,2.0,6.0,3.0,2.0,1.0,,,2.0,,,,1.0,1.0,,,,,
1044885,Nice,84,240,Pablo Rosario,https://media.api-sports.io/football/players/240.png,33.0,8,M,6.7,False,True,0,,15.0,11,0,0,0,0,,1.0,3.0,2.0,,,,,,,,1.0,,,,,,,
1044885,Nice,84,137303,Evann Guessand,https://media.api-sports.io/football/players/137303.png,33.0,29,F,6.6,False,True,0,,8.0,6,0,0,0,0,,,4.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,
