fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1044885,84,Nice,https://media.api-sports.io/football/teams/84.png,3,3,8,2,5,3,13,3,5,40%,3,,4,383,323,84%,1.17,
1044885,79,Lille,https://media.api-sports.io/football/teams/79.png,5,3,12,4,8,4,9,3,1,60%,2,,2,582,513,88%,1.33,
1044884,81,Marseille,https://media.api-sports.io/football/teams/81.png,4,6,14,4,8,6,7,10,3,42%,1,,3,309,238,77%,1.04,
1044884,93,Reims,https://media.api-sports.io/football/teams/93.png,4,4,11,3,7,4,16,10,4,58%,3,,2,426,349,82%,0.77,
1044881,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,4,8,20,8,11,9,8,9,,78%,,,0,1001,939,94%,1.24,
1044881,97,Lorient,https://media.api-sports.io/football/teams/97.png,0,3,4,1,1,3,6,2,,22%,,,4,286,218,76%,0.12,
1044889,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,8,4,15,3,9,6,13,6,0,48%,2,0,0,359,289,81%,2.55,
1044889,116,Lens,https://media.api-sports.io/football/teams/116.png,2,3,8,3,5,3,15,8,4,52%,3,1,5,395,301,76%,0.71,
1044888,82,Montpellier,https://media.api-sports.io/football/teams/82.png,5,5,14,4,11,3,8,4,5,58%,1,,2,491,404,82%,1.62,
1044888,111,Le Havre,https://media.api-sports.io/football/teams/111.png,4,7,12,1,6,6,12,2,0,42%,2,,3,357,265,74%,1.10,
1044887,83,Nantes,https://media.api-sports.io/football/teams/83.png,4,3,9,2,7,2,14,7,2,44%,2,,3,434,366,84%,1.06,
1044887,96,Toulouse,https://media.api-sports.io/football/teams/96.png,5,2,9,2,7,2,14,5,2,56%,2,,3,578,489,85%,1.22,
1044886,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,7,7,15,1,9,6,7,6,3,55%,0,,4,538,460,86%,1.75,
1044886,91,Monaco,https://media.api-sports.io/football/teams/91.png,8,2,14,4,10,4,16,2,1,45%,4,,5,455,365,80%,2.46,
1044883,94,Rennes,https://media.api-sports.io/football/teams/94.png,14,7,29,8,23,6,7,5,1,70%,0,,3,706,649,92%,4.28,
1044883,112,Metz,https://media.api-sports.io/football/teams/112.png,3,2,9,4,6,3,10,4,4,30%,2,,9,286,233,81%,0.37,
1044882,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,2,3,8,3,5,3,8,1,3,36%,2,,6,312,234,75%,1.28,
1044882,80,Lyon,https://media.api-sports.io/football/teams/80.png,7,8,23,8,15,8,11,6,2,64%,2,,0,576,508,88%,1.77,
1044898,112,Metz,https://media.api-sports.io/football/teams/112.png,5,3,10,2,4,6,15,4,0,43%,3,1,3,361,278,77%,0.48,
1044898,81,Marseille,https://media.api-sports.io/football/teams/81.png,5,12,22,5,15,7,9,9,2,57%,2,0,3,477,403,84%,1.94,
1044894,80,Lyon,https://media.api-sports.io/football/teams/80.png,3,3,7,1,3,4,20,6,2,64%,4,1,4,532,459,86%,0.36,
1044894,82,Montpellier,https://media.api-sports.io/football/teams/82.png,8,4,14,2,7,7,9,2,4,36%,1,0,2,299,239,80%,2.92,
1044890,96,Toulouse,https://media.api-sports.io/football/teams/96.png,2,4,8,2,5,3,8,5,1,24%,0,,2,232,169,73%,1.22,
1044890,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,3,6,16,7,14,2,11,5,3,76%,3,,1,767,698,91%,2.12,
