fixture_id,bet_name,bet_value,bet_odd
1387706,Match Winner,Home,3.80
1387706,Match Winner,Draw,3.70
1387706,Match Winner,Away,1.91
1387706,Second Half Winner,Home,3.60
1387706,Second Half Winner,Draw,2.50
1387706,Second Half Winner,Away,2.25
1387706,Goals Over/Under,Over 1.5,1.25
1387706,Goals Over/Under,Under 1.5,4.00
1387706,Goals Over/Under,Over 2.5,1.80
1387706,Goals Over/Under,Under 2.5,2.00
1387706,Goals Over/Under,Over 3.5,3.00
1387706,Goals Over/Under,Under 3.5,1.40
1387706,Goals Over/Under,Over 0.5,1.05
1387706,Goals Over/Under,Under 0.5,11.00
1387706,Goals Over/Under,Over 4.5,5.50
1387706,Goals Over/Under,Under 4.5,1.14
1387706,Goals Over/Under,Over 7.5,51.00
1387706,Goals Over/Under,Under 7.5,1.00
1387706,Goals Over/Under,Over 5.5,11.00
1387706,Goals Over/Under,Under 5.5,1.05
1387706,Goals Over/Under,Over 6.5,23.00
1387706,Goals Over/Under,Under 6.5,1.01
1387706,HT/FT Double,Home/Draw,15.00
1387706,HT/FT Double,Home/Away,21.00
1387706,HT/FT Double,Draw/Away,5.00
1387706,HT/FT Double,Draw/Draw,5.50
1387706,HT/FT Double,Home/Home,6.50
1387706,HT/FT Double,Draw/Home,8.50
1387706,HT/FT Double,Away/Home,29.00
1387706,HT/FT Double,Away/Draw,13.00
1387706,HT/FT Double,Away/Away,3.00
1387706,Double Chance,Home/Draw,1.83
1387706,Double Chance,Home/Away,1.28
1387706,Double Chance,Draw/Away,1.25
1387706,First Half Winner,Home,4.33
1387706,First Half Winner,Draw,2.25
1387706,First Half Winner,Away,2.50
1387701,Match Winner,Home,2.35
1387701,Match Winner,Draw,3.60
1387701,Match Winner,Away,2.88
1387701,Second Half Winner,Home,2.60
1387701,Second Half Winner,Draw,2.60
1387701,Second Half Winner,Away,2.88
1387701,Goals Over/Under,Over 1.5,1.22
1387701,Goals Over/Under,Under 1.5,4.33
1387701,Goals Over/Under,Over 2.5,1.67
1387701,Goals Over/Under,Under 2.5,2.20
1387701,Goals Over/Under,Over 3.5,2.75
1387701,Goals Over/Under,Under 3.5,1.44
1387701,Goals Over/Under,Over 0.5,1.04
1387701,Goals Over/Under,Under 0.5,13.00
1387701,Goals Over/Under,Over 4.5,5.00
1387701,Goals Over/Under,Under 4.5,1.17
