fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
568090,96,Toulouse,https://media.api-sports.io/football/teams/96.png,2,8,14,4,9,5,16,8,4,57%,1,,4,457,354,77%
568090,1304,Dunkerque,https://media.api-sports.io/football/teams/1304.png,5,2,10,3,6,4,13,2,3,43%,1,,2,347,233,67%
568085,87,Amiens,https://media.api-sports.io/football/teams/87.png,6,6,14,2,9,5,18,4,1,44%,2,1,1,326,220,67%
568085,102,Nancy,https://media.api-sports.io/football/teams/102.png,1,4,8,3,5,3,21,3,6,56%,3,0,5,401,298,74%
568088,90,Guingamp,https://media.api-sports.io/football/teams/90.png,3,6,11,2,9,2,17,5,1,59%,1,,3,465,365,78%
568088,113,Niort,https://media.api-sports.io/football/teams/113.png,4,9,14,1,7,7,18,4,2,41%,2,,3,318,217,68%
568086,98,Ajaccio,https://media.api-sports.io/football/teams/98.png,1,5,8,2,8,0,15,2,1,56%,0,,0,395,308,78%
568086,107,Chateauroux,https://media.api-sports.io/football/teams/107.png,1,3,5,1,3,2,24,2,1,44%,1,,1,303,217,72%
568087,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,3,5,12,4,3,9,9,6,3,59%,,,4,504,414,82%
568087,88,Caen,https://media.api-sports.io/football/teams/88.png,4,1,9,4,6,3,13,7,0,41%,,,3,326,239,73%
568092,105,Valenciennes,https://media.api-sports.io/football/teams/105.png,6,4,14,4,7,7,14,4,0,50%,2,0,5,437,369,84%
568092,1297,PAU,https://media.api-sports.io/football/teams/1297.png,4,4,12,4,11,1,18,2,3,50%,2,1,3,433,353,82%
568084,108,Auxerre,https://media.api-sports.io/football/teams/108.png,1,0,3,2,1,2,18,4,3,53%,2,1,2,515,427,83%
568084,115,Sochaux,https://media.api-sports.io/football/teams/115.png,4,9,17,4,10,7,10,6,3,47%,1,0,1,445,355,80%
568083,1291,Chambly Thelle FC,https://media.api-sports.io/football/teams/1291.png,0,4,6,2,2,4,15,1,2,54%,2,0,5,431,350,81%
568083,114,Paris FC,https://media.api-sports.io/football/teams/114.png,8,3,11,0,7,4,24,2,2,46%,2,1,0,372,292,78%
568091,1301,Rodez,https://media.api-sports.io/football/teams/1301.png,4,2,6,0,4,2,13,5,1,47%,3,,4,401,314,78%
568091,101,Grenoble,https://media.api-sports.io/football/teams/101.png,4,6,15,5,9,6,16,3,0,53%,2,,3,453,388,86%
568089,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,8,6,17,3,9,8,12,2,2,55%,1,0,0,557,486,87%
568089,111,Le Havre,https://media.api-sports.io/football/teams/111.png,0,0,1,1,0,1,11,1,2,45%,2,2,6,467,372,80%
568096,88,Caen,https://media.api-sports.io/football/teams/88.png,3,1,6,2,6,0,17,4,2,39%,0,,3,320,233,73%
568096,98,Ajaccio,https://media.api-sports.io/football/teams/98.png,3,3,7,1,3,4,15,1,2,61%,4,,3,522,423,81%
568098,102,Nancy,https://media.api-sports.io/football/teams/102.png,4,6,12,2,8,4,13,7,1,46%,3,,1,336,253,75%
568098,90,Guingamp,https://media.api-sports.io/football/teams/90.png,3,6,9,0,7,2,16,8,0,54%,1,,2,403,317,79%
568093,101,Grenoble,https://media.api-sports.io/football/teams/101.png,8,4,14,2,11,3,17,7,3,43%,1,,4,356,255,72%
568093,96,Toulouse,https://media.api-sports.io/football/teams/96.png,7,7,18,4,12,6,24,3,1,57%,3,,3,473,356,75%
568095,107,Chateauroux,https://media.api-sports.io/football/teams/107.png,3,7,13,3,4,9,11,3,2,42%,0,,5,381,305,80%
568095,108,Auxerre,https://media.api-sports.io/football/teams/108.png,8,8,20,4,10,10,11,7,1,58%,1,,2,512,409,80%
568097,111,Le Havre,https://media.api-sports.io/football/teams/111.png,1,2,3,0,2,1,11,3,2,47%,3,1,5,394,320,81%
568097,87,Amiens,https://media.api-sports.io/football/teams/87.png,5,8,14,1,9,5,18,4,1,53%,4,1,1,443,351,79%
568101,113,Niort,https://media.api-sports.io/football/teams/113.png,5,6,16,5,7,9,20,4,2,63%,2,,0,476,373,78%
568101,1291,Chambly Thelle FC,https://media.api-sports.io/football/teams/1291.png,1,1,3,1,2,1,18,1,3,37%,2,,4,276,169,61%
568100,114,Paris FC,https://media.api-sports.io/football/teams/114.png,3,11,15,1,6,9,21,5,0,49%,3,,2,360,263,73%
568100,105,Valenciennes,https://media.api-sports.io/football/teams/105.png,2,3,7,2,4,3,12,2,1,51%,2,,2,369,268,73%
568102,115,Sochaux,https://media.api-sports.io/football/teams/115.png,3,2,6,1,3,3,11,7,5,38%,1,,4,300,227,76%
568102,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,5,5,16,6,11,5,15,6,0,62%,2,,2,487,411,84%
568099,1297,PAU,https://media.api-sports.io/football/teams/1297.png,4,7,14,3,10,4,17,8,1,49%,2,,2,312,208,67%
568099,1301,Rodez,https://media.api-sports.io/football/teams/1301.png,3,3,6,0,5,1,17,3,3,51%,3,,3,333,223,67%
568094,1304,Dunkerque,https://media.api-sports.io/football/teams/1304.png,2,2,4,0,2,2,17,2,2,29%,1,,3,286,201,70%
568094,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,5,6,17,6,12,5,11,10,1,71%,2,,1,679,597,88%
568107,90,Guingamp,https://media.api-sports.io/football/teams/90.png,4,11,20,5,10,10,17,5,2,56%,3,,1,466,402,86%
568107,111,Le Havre,https://media.api-sports.io/football/teams/111.png,3,1,4,0,3,1,18,2,0,44%,5,,3,373,291,78%
568105,87,Amiens,https://media.api-sports.io/football/teams/87.png,1,7,9,1,7,2,19,3,3,57%,3,,4,426,316,74%
568105,114,Paris FC,https://media.api-sports.io/football/teams/114.png,6,2,9,1,5,4,23,4,0,43%,3,,0,321,220,69%
568112,105,Valenciennes,https://media.api-sports.io/football/teams/105.png,3,9,16,4,3,13,16,6,2,59%,1,0,1,464,390,84%
568112,107,Chateauroux,https://media.api-sports.io/football/teams/107.png,1,5,8,2,5,3,19,3,1,41%,3,1,2,319,244,76%
568104,108,Auxerre,https://media.api-sports.io/football/teams/108.png,1,6,7,0,3,4,16,4,0,47%,0,,3,498,429,86%
568104,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,3,8,14,3,9,5,8,3,2,53%,2,,1,544,488,90%
568109,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,7,1,14,6,7,7,16,10,2,65%,2,0,1,488,408,84%
