fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
871885,115,Sochaux,https://media.api-sports.io/football/teams/115.png,1,7,10,2,4,6,12,5,5,67%,2,0,0,560,499,89%,
871885,114,Paris FC,https://media.api-sports.io/football/teams/114.png,0,1,2,1,2,0,11,2,0,33%,3,2,1,282,211,75%,
871891,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,6,3,13,4,5,8,15,12,1,68%,2,,0,625,565,90%,
871891,92,Nimes,https://media.api-sports.io/football/teams/92.png,1,4,6,1,4,2,13,1,3,32%,0,,5,293,220,75%,
871896,87,Amiens,https://media.api-sports.io/football/teams/87.png,2,3,6,1,4,2,16,2,11,45%,1,,4,395,298,75%,
871896,3012,Annecy,https://media.api-sports.io/football/teams/3012.png,4,3,10,3,5,5,15,2,1,55%,5,,1,479,376,78%,
871895,101,Grenoble,https://media.api-sports.io/football/teams/101.png,5,4,12,3,8,4,12,4,1,42%,2,,5,326,227,70%,
871895,115,Sochaux,https://media.api-sports.io/football/teams/115.png,5,5,15,5,13,2,19,6,0,58%,3,,4,449,346,77%,
871894,105,Valenciennes,https://media.api-sports.io/football/teams/105.png,3,2,6,1,1,5,13,2,0,31%,2,,1,265,174,66%,
871894,111,Le Havre,https://media.api-sports.io/football/teams/111.png,1,11,20,8,13,7,12,9,3,69%,0,,2,576,485,84%,
871897,113,Niort,https://media.api-sports.io/football/teams/113.png,4,12,17,1,11,6,13,5,2,57%,1,,7,417,322,77%,
871897,1305,Bastia,https://media.api-sports.io/football/teams/1305.png,11,5,19,3,16,3,18,5,4,43%,2,,3,323,235,73%,
871893,114,Paris FC,https://media.api-sports.io/football/teams/114.png,4,3,9,2,7,2,8,4,2,58%,2,,4,555,460,83%,
871893,431,Quevilly,https://media.api-sports.io/football/teams/431.png,5,5,11,1,8,3,10,6,4,42%,1,,2,393,311,79%,
871892,433,Laval,https://media.api-sports.io/football/teams/433.png,4,5,11,2,8,3,10,7,4,46%,1,,0,448,371,83%,
