fixture_id,date,player_id,player_name,player_photo,type,injury_reason,team_id,team_name,league_id,league_name,season
1389131,2025-08-09T12:00:00+00:00,191336,Sohaib Nair,https://media.api-sports.io/football/players/191336.png,Missing Fixture,ankle ligament tear,90,Guingamp,62,Ligue 2,2025
1389126,2025-08-09T18:00:00+00:00,21443,Teji Savanier,https://media.api-sports.io/football/players/21443.png,Missing Fixture,Meniscus injur,82,Montpellier,62,Ligue 2,2025
1389126,2025-08-09T18:00:00+00:00,23964,Bradley Danger,https://media.api-sports.io/football/players/23964.png,Missing Fixture,Knock,104,RED Star FC 93,62,Ligue 2,2025
1389126,2025-08-09T18:00:00+00:00,22885,Hacene Benali,https://media.api-sports.io/football/players/22885.png,Missing Fixture,Facial fracture,104,RED Star FC 93,62,Ligue 2,2025
1389126,2025-08-09T18:00:00+00:00,349616,Nicolas Pays,https://media.api-sports.io/football/players/349616.png,Missing Fixture,Metatarsal fracture,82,Montpellier,62,Ligue 2,2025
1389126,2025-08-09T18:00:00+00:00,161748,Rayane Doucoure,https://media.api-sports.io/football/players/161748.png,Missing Fixture,Knee injury,104,RED Star FC 93,62,Ligue 2,2025
1389126,2025-08-09T18:00:00+00:00,459711,Glenn Ngosso,https://media.api-sports.io/football/players/459711.png,Missing Fixture,Ruptured cruciate ligament,82,Montpellier,62,Ligue 2,2025
1389125,2025-08-09T18:00:00+00:00,138828,Yasser Larouci,https://media.api-sports.io/football/players/138828.png,Missing Fixture,Unknown Injury,110,Estac Troyes,62,Ligue 2,2025
1389127,2025-08-09T18:00:00+00:00,85063,William Bianda,https://media.api-sports.io/football/players/85063.png,Missing Fixture,Injury to the ankle,433,Laval,62,Ligue 2,2025
1389127,2025-08-09T18:00:00+00:00,20628,Peter Ouaneh,https://media.api-sports.io/football/players/20628.png,Missing Fixture,Patellar tendon tear,433,Laval,62,Ligue 2,2025
1389127,2025-08-09T18:00:00+00:00,337426,Augustine Boakye,https://media.api-sports.io/football/players/337426.png,Missing Fixture,Injury to the ankle,1063,Saint Etienne,62,Ligue 2,2025
