fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,fouls_drawn,fouls_committed,shots_total,shots_on,goals_total,tackles_blocks,dribbles_success,offsides,goals_saves,dribbles_past,penalty_won,penalty_commited
1389131,Guingamp,90,46785,Adrián Ortolá,https://media.api-sports.io/football/players/46785.png,90.0,16,G,6.2,False,False,3,0.0,35.0,31,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1389131,Guingamp,90,20770,Alpha Sissoko,https://media.api-sports.io/football/players/20770.png,90.0,22,D,6.9,False,False,0,0.0,71.0,61,0,0,0,0,,2.0,1.0,1.0,10.0,6.0,1.0,3.0,1.0,,,,,,,,,,
1389131,Guingamp,90,23402,Donatien Gomis,https://media.api-sports.io/football/players/23402.png,90.0,7,D,7.3,False,False,0,0.0,56.0,47,0,0,0,0,,1.0,,,6.0,3.0,,,,1.0,1.0,1.0,1.0,,,,,,
1389131,Guingamp,90,209943,Albin Demouchy,https://media.api-sports.io/football/players/209943.png,90.0,36,D,8.2,False,False,0,0.0,65.0,61,0,0,0,0,,,1.0,1.0,10.0,6.0,,3.0,,1.0,1.0,1.0,,,,,,,
1389131,Guingamp,90,365746,Dylan Ourega,https://media.api-sports.io/football/players/365746.png,58.0,23,D,6.2,False,False,0,0.0,24.0,17,1,0,0,0,,,,,4.0,2.0,,2.0,1.0,,,,1.0,,,,,,
1389131,Guingamp,90,15400,Erwin Koffi,https://media.api-sports.io/football/players/15400.png,58.0,2,M,6.3,False,False,0,0.0,18.0,14,0,0,0,0,,,2.0,,5.0,3.0,2.0,,,,,,,1.0,,,,,
1389131,Guingamp,90,20809,Dylan Louiserre,https://media.api-sports.io/football/players/20809.png,68.0,4,M,6.5,True,False,0,0.0,44.0,40,0,0,0,0,,,,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,
1389131,Guingamp,90,22150,Kalidou Sidibé,https://media.api-sports.io/football/players/22150.png,58.0,8,M,6.9,False,False,0,0.0,23.0,18,0,0,0,0,,1.0,,,17.0,11.0,4.0,2.0,2.0,2.0,1.0,,,3.0,,,,,
1389131,Guingamp,90,201264,Gauthier Ott,https://media.api-sports.io/football/players/201264.png,90.0,24,M,6.2,False,False,0,0.0,27.0,20,0,0,0,0,,2.0,,,3.0,1.0,,,1.0,4.0,2.0,,,,,,,,
1389131,Guingamp,90,190829,Amine Hemia,https://media.api-sports.io/football/players/190829.png,90.0,10,F,7.2,False,False,0,1.0,46.0,37,0,0,0,0,,3.0,2.0,,10.0,5.0,1.0,3.0,2.0,,,,,,,,,,
1389131,Guingamp,90,193705,Jacques Siwe,https://media.api-sports.io/football/players/193705.png,78.0,17,F,6.3,False,False,0,0.0,13.0,7,1,0,0,0,,1.0,3.0,2.0,12.0,4.0,,1.0,5.0,2.0,,,,,2.0,,,,
1389131,Guingamp,90,21251,Abdel Hakim Abdallah,https://media.api-sports.io/football/players/21251.png,33.0,29,D,6.5,False,True,0,0.0,29.0,23,0,0,0,0,,,,,2.0,1.0,,1.0,,,,,,,,,,,
1389131,Guingamp,90,85558,Louis Mafouta,https://media.api-sports.io/football/players/85558.png,33.0,9,F,7.2,False,True,0,0.0,11.0,8,1,0,0,0,,,,,3.0,2.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,
1389131,Guingamp,90,355042,Jérémy Hatchi,https://media.api-sports.io/football/players/355042.png,33.0,20,F,6.3,False,True,0,1.0,7.0,4,0,0,0,0,,1.0,1.0,,11.0,4.0,4.0,2.0,2.0,,,,,1.0,,,,,
1389131,Guingamp,90,161891,Darly Nlandu,https://media.api-sports.io/football/players/161891.png,23.0,6,M,6.3,False,True,0,1.0,14.0,11,0,0,0,0,,1.0,,,1.0,,,,,,,,,,,,,,
1389131,Guingamp,90,483117,Jérémie Matumona,https://media.api-sports.io/football/players/483117.png,13.0,3,D,6.6,False,True,0,0.0,8.0,7,0,0,0,0,,,1.0,,3.0,3.0,,2.0,,,,,,,,,,,
1389131,Guingamp,90,20618,Teddy Bartouche,https://media.api-sports.io/football/players/20618.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1389131,Guingamp,90,403276,Tanguy Ahile,https://media.api-sports.io/football/players/403276.png,,39,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1389131,Le Mans,1298,24189,Nicolas Kocik,https://media.api-sports.io/football/players/24189.png,90.0,98,G,5.9,False,False,3,0.0,23.0,10,0,0,0,0,0.0,,,,,,,,,,,,,,,4.0,,,
1389131,Le Mans,1298,20602,Samuel Yohou,https://media.api-sports.io/football/players/20602.png,83.0,17,D,6.3,False,False,0,0.0,23.0,22,1,0,0,0,,,,2.0,8.0,4.0,,2.0,2.0,1.0,,,,,,,,,
1389131,Le Mans,1298,174605,Harold Voyer,https://media.api-sports.io/football/players/174605.png,90.0,5,D,6.2,False,False,0,0.0,44.0,36,0,0,0,0,,,2.0,3.0,6.0,3.0,,,3.0,,,,,,,,,,
1389131,Le Mans,1298,270515,Théo Eyoum,https://media.api-sports.io/football/players/270515.png,90.0,21,D,6.9,False,False,0,0.0,36.0,33,0,0,0,0,,,2.0,,9.0,7.0,1.0,4.0,,,,,,,,,,,
1389131,Le Mans,1298,24259,Edwin Quarshie,https://media.api-sports.io/football/players/24259.png,67.0,6,M,8.2,True,False,0,0.0,31.0,24,0,0,0,0,,,4.0,,8.0,6.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,
1389131,Le Mans,1298,87645,Anthony Ribelin,https://media.api-sports.io/football/players/87645.png,90.0,12,M,8.2,False,False,0,0.0,23.0,17,0,0,0,0,,1.0,1.0,,6.0,4.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,
1389131,Le Mans,1298,162706,Jean Vercruysse,https://media.api-sports.io/football/players/162706.png,90.0,10,M,7.5,False,False,0,0.0,33.0,26,0,0,0,0,,2.0,2.0,,14.0,9.0,,4.0,2.0,,,,,,,,1.0,,
1389131,Le Mans,1298,191202,Milan Robin,https://media.api-sports.io/football/players/191202.png,90.0,24,M,6.5,False,False,0,1.0,22.0,16,0,0,0,0,,1.0,1.0,1.0,8.0,2.0,,1.0,1.0,,,,1.0,,,,2.0,,
1389131,Le Mans,1298,179414,Lucas Calodat,https://media.api-sports.io/football/players/179414.png,67.0,22,M,6.5,False,False,0,0.0,11.0,10,0,0,0,0,,,,,3.0,,1.0,,2.0,,,,,,,,,,
1389131,Le Mans,1298,21048,Antoine Rabillard,https://media.api-sports.io/football/players/21048.png,78.0,9,F,6.6,False,False,0,1.0,14.0,11,0,0,0,0,,2.0,4.0,1.0,13.0,6.0,,,2.0,1.0,,,,,1.0,,1.0,,
1389131,Le Mans,1298,4743,Dame Gueye,https://media.api-sports.io/football/players/4743.png,66.0,25,F,6.5,False,False,0,0.0,12.0,5,0,0,0,0,,,,,10.0,4.0,,1.0,2.0,,,,,,1.0,,1.0,,
1389131,Le Mans,1298,21450,Baptiste Guillaume,https://media.api-sports.io/football/players/21450.png,25.0,19,F,5.9,False,True,0,0.0,9.0,7,0,0,0,0,,,,1.0,4.0,,,,2.0,2.0,,,,,,,,,
1389131,Le Mans,1298,162990,Leroy Abanda,https://media.api-sports.io/football/players/162990.png,23.0,11,M,6.7,False,True,0,1.0,5.0,3,0,0,0,0,,1.0,,,3.0,,,,,1.0,,,,,,,,,
1389131,Le Mans,1298,349631,Martin Rossignol,https://media.api-sports.io/football/players/349631.png,24.0,27,M,6.3,False,True,0,0.0,8.0,5,0,0,0,0,,,2.0,,3.0,2.0,,,,,,,,,,,,,
1389131,Le Mans,1298,381116,William Harhouz,https://media.api-sports.io/football/players/381116.png,24.0,20,F,7.5,False,True,0,0.0,4.0,3,2,1,0,0,,1.0,,2.0,5.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,
1389131,Le Mans,1298,483116,Noa Boissé,https://media.api-sports.io/football/players/483116.png,8.0,31,D,6.3,False,True,0,0.0,2.0,2,0,0,0,0,,,,,1.0,1.0,,,,,,,,,,,,,
1389131,Le Mans,1298,179480,Ewan Hatfout,https://media.api-sports.io/football/players/179480.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1389131,Le Mans,1298,174795,Taylor Luvambo,https://media.api-sports.io/football/players/174795.png,,23,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1389126,Montpellier,82,398204,Viktor Džodić,https://media.api-sports.io/football/players/398204.png,90.0,50,G,6.7,False,False,1,0.0,20.0,12,0,0,0,0,0.0,,,,1.0,,,,,,,,,,,2.0,,,
1389126,Montpellier,82,179399,Enzo Tchato Mbiayi,https://media.api-sports.io/football/players/179399.png,90.0,29,D,7,False,False,0,0.0,25.0,18,0,0,0,0,,1.0,3.0,,6.0,5.0,,,,,,,,,1.0,,1.0,,
