fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
209229,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,8,8,18,2,13,5,7,4,0,52%,3,,4,529,445,84%
209229,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,6,3,14,5,8,6,16,5,1,48%,2,,5,482,384,80%
209230,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,4,7,13,2,6,7,15,5,8,65%,4,,2,533,430,81%
209230,1324,VfL Osnabruck,https://media.api-sports.io/football/teams/1324.png,3,7,16,6,5,11,9,2,0,35%,1,,4,280,181,65%
209231,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,5,9,17,3,10,7,9,7,0,60%,0,,2,554,429,77%
209231,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,5,0,6,1,5,1,18,1,2,40%,1,,4,375,262,70%
209232,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,6,4,13,3,11,2,9,4,3,29%,1,,3,248,152,61%
209232,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,5,8,15,2,10,5,14,6,4,71%,3,,3,622,529,85%
209233,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,6,12,22,4,13,9,11,8,1,68%,1,,6,500,383,77%
209233,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,7,1,9,1,7,2,13,1,2,32%,2,,6,238,124,52%
209234,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,5,4,15,6,11,4,8,3,2,33%,0,,6,304,221,73%
209234,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,10,8,23,5,13,10,12,10,3,67%,1,,4,621,535,86%
209235,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,5,5,13,3,9,4,9,4,0,28%,0,,2,257,191,74%
209235,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,2,9,22,11,12,10,16,15,5,72%,1,,3,643,576,90%
209236,190,Erzgebirge AUE,https://media.api-sports.io/football/teams/190.png,6,3,11,2,5,6,15,1,1,50%,4,,4,408,293,72%
209236,1319,SV Wehen,https://media.api-sports.io/football/teams/1319.png,7,10,23,6,15,8,20,5,6,50%,5,,3,376,253,67%
209237,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,0,4,8,4,4,4,13,4,3,50%,1,,5,459,367,80%
209237,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,8,3,15,4,6,9,7,3,7,50%,1,,0,457,363,79%
209238,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,6,5,14,3,8,6,8,14,2,60%,1,,0,578,484,84%
209238,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,0,5,7,2,2,5,16,0,1,40%,1,,5,387,308,80%
209239,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,6,7,15,2,8,7,14,3,3,56%,3,,4,425,309,73%
209239,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,6,4,11,1,8,3,16,6,1,44%,3,,3,332,199,60%
209240,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,5,8,17,4,10,7,11,4,2,67%,0,,1,573,493,86%
209240,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,2,7,15,6,10,5,17,9,1,33%,2,,3,274,176,64%
209241,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,5,3,12,4,6,6,17,9,1,58%,1,,7,492,416,85%
209241,190,Erzgebirge AUE,https://media.api-sports.io/football/teams/190.png,8,3,12,1,8,4,16,1,2,42%,3,,2,348,264,76%
209242,1319,SV Wehen,https://media.api-sports.io/football/teams/1319.png,5,5,14,4,6,8,12,4,1,35%,4,,3,340,264,78%
209242,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,6,4,11,1,9,2,8,6,3,65%,1,,5,613,532,87%
209245,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,7,4,15,4,10,5,19,5,3,44%,0,,0,281,166,59%
209245,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,1,3,4,0,2,2,14,3,3,56%,2,,6,359,242,67%
209244,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,5,6,16,5,10,6,11,5,1,60%,0,,5,540,473,88%
209244,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,6,5,12,1,7,5,15,6,1,40%,1,,4,343,272,79%
209243,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,7,8,21,6,12,9,17,6,3,60%,0,1,1,560,447,80%
209243,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,2,7,14,5,9,5,16,3,0,40%,2,0,5,346,225,65%
209246,1324,VfL Osnabruck,https://media.api-sports.io/football/teams/1324.png,8,9,20,3,10,10,16,3,2,55%,3,,1,507,439,87%
209246,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,1,3,8,4,4,4,19,6,2,45%,4,,4,390,314,81%
209247,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,2,5,11,4,3,8,11,4,4,30%,2,,2,305,230,75%
209247,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,2,10,12,0,7,5,16,4,3,70%,2,,2,705,641,91%
209248,190,Erzgebirge AUE,https://media.api-sports.io/football/teams/190.png,0,6,11,5,4,7,12,2,0,26%,1,0,5,247,182,74%
209248,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,5,5,12,2,9,3,11,7,7,74%,6,1,0,696,638,92%
209249,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,2,5,11,4,8,3,19,4,0,66%,3,,5,506,410,81%
209249,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,6,7,17,4,11,6,19,6,2,34%,4,,1,246,173,70%
209251,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,9,6,21,6,12,9,13,7,5,67%,3,1,4,515,415,81%
209251,1319,SV Wehen,https://media.api-sports.io/football/teams/1319.png,7,6,16,3,11,5,10,3,2,33%,1,0,6,255,157,62%
209250,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,3,5,10,2,8,2,15,5,2,33%,4,,1,233,145,62%
209250,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,6,13,3,7,6,9,7,2,67%,1,,2,490,393,80%
209252,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,7,8,16,1,7,9,16,14,2,51%,2,,2,391,305,78%
209252,1324,VfL Osnabruck,https://media.api-sports.io/football/teams/1324.png,2,2,7,3,3,4,9,1,9,49%,2,,6,378,291,77%
209253,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,2,7,14,5,10,4,10,8,1,53%,1,,2,426,334,78%
209253,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,4,4,14,6,12,2,8,5,7,47%,0,,2,383,288,75%
