fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
872880,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,3,4,10,3,6,4,10,7,2,55%,4,,2,338,264,78%,
872880,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,3,3,9,3,5,4,16,3,1,45%,3,,2,280,190,68%,
872884,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,4,3,9,2,7,2,18,5,1,31%,4,,5,213,124,58%,
872884,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,5,5,12,2,6,6,13,8,0,69%,1,,2,494,405,82%,
872881,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,4,9,13,0,12,1,10,2,2,49%,1,,1,389,298,77%,
872881,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,1,4,14,9,9,5,13,15,3,51%,2,,3,384,287,75%,
872885,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,3,3,9,3,7,2,24,6,3,43%,3,,1,320,240,75%,
872885,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,1,4,12,7,7,5,13,4,0,57%,1,,3,433,336,78%,
872882,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,11,14,30,5,20,10,10,3,3,53%,2,,5,426,340,80%,
872882,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,7,3,16,6,12,4,9,3,2,47%,4,,8,374,276,74%,
872883,1321,Hansa Rostock,https://media.api-sports.io/football/teams/1321.png,4,9,16,3,10,6,7,7,1,51%,1,,3,410,320,78%,
872883,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,5,13,4,9,4,8,7,0,49%,0,,2,401,293,73%,
872886,179,FC Magdeburg,https://media.api-sports.io/football/teams/179.png,3,4,9,2,5,4,10,3,3,58%,4,1,4,488,383,78%,
872886,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,6,8,18,4,13,5,15,9,5,42%,4,0,2,335,241,72%,
872887,744,Eintracht Braunschweig,https://media.api-sports.io/football/teams/744.png,2,2,6,2,3,3,15,2,1,44%,2,,4,322,208,65%,
872887,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,5,13,24,6,14,10,12,5,6,56%,3,,3,414,323,78%,
872888,745,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,3,5,10,2,7,3,9,8,4,37%,1,,3,317,227,72%,
872888,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,4,8,15,3,13,2,11,4,0,63%,1,,1,563,466,83%,
