fixture_id,date,player_id,player_name,player_photo,type,injury_reason,team_id,team_name,league_id,league_name,season
1388614,2025-08-01T18:30:00+00:00,19262,Tomas Kalas,https://media.api-sports.io/football/players/19262.png,Missing Fixture,fitness,174,FC Schalke 04,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,25397,John Anthony Brooks,https://media.api-sports.io/football/players/25397.png,Missing Fixture,Calf muscle tear,159,Hertha BSC,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,25466,Kenan Karaman,https://media.api-sports.io/football/players/25466.png,Missing Fixture,Meniscus injur,174,FC Schalke 04,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,25334,Marius Gersbeck,https://media.api-sports.io/football/players/25334.png,Missing Fixture,Shoulder injury,159,Hertha BSC,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,26397,Janik Bachmann,https://media.api-sports.io/football/players/26397.png,Missing Fixture,fitness,174,FC Schalke 04,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,24909,Kevin Sessa,https://media.api-sports.io/football/players/24909.png,Missing Fixture,Muscular problems,159,Hertha BSC,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,178353,Luca Schuler,https://media.api-sports.io/football/players/178353.png,Missing Fixture,fitness,159,Hertha BSC,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,382486,Pascal Klemens,https://media.api-sports.io/football/players/382486.png,Missing Fixture,Ankle Injury,159,Hertha BSC,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,342266,Tim Goller,https://media.api-sports.io/football/players/342266.png,Missing Fixture,Shoulder injury,159,Hertha BSC,79,2. Bundesliga,2025
1388614,2025-08-01T18:30:00+00:00,380507,Aris Bayindir,https://media.api-sports.io/football/players/380507.png,Missing Fixture,fitness,174,FC Schalke 04,79,2. Bundesliga,2025
1388617,2025-08-02T11:00:00+00:00,25040,Fabian Holland,https://media.api-sports.io/football/players/25040.png,Missing Fixture,Ruptured cruciate ligament,181,SV Darmstadt 98,79,2. Bundesliga,2025
1388617,2025-08-02T11:00:00+00:00,25925,Jean-Paul Boetius,https://media.api-sports.io/football/players/25925.png,Missing Fixture,Muscle Injury,181,SV Darmstadt 98,79,2. Bundesliga,2025
1388617,2025-08-02T11:00:00+00:00,25919,Gerrit Holtmann,https://media.api-sports.io/football/players/25919.png,Missing Fixture,Infection,176,VfL Bochum,79,2. Bundesliga,2025
1388617,2025-08-02T11:00:00+00:00,61411,Erhan Masovic,https://media.api-sports.io/football/players/61411.png,Missing Fixture,Collapsed lung,176,VfL Bochum,79,2. Bundesliga,2025
1388617,2025-08-02T11:00:00+00:00,392254,Francis Onyeka,https://media.api-sports.io/football/players/392254.png,Missing Fixture,Muscle Injury,176,VfL Bochum,79,2. Bundesliga,2025
1388617,2025-08-02T11:00:00+00:00,417817,Othmane El Idrissi,https://media.api-sports.io/football/players/417817.png,Missing Fixture,inflammation in the knee,181,SV Darmstadt 98,79,2. Bundesliga,2025
1388615,2025-08-02T11:00:00+00:00,24826,Sven Michel,https://media.api-sports.io/football/players/24826.png,Missing Fixture,Unknown Injury,185,SC Paderborn 07,79,2. Bundesliga,2025
1388615,2025-08-02T11:00:00+00:00,25609,Patrick Erras,https://media.api-sports.io/football/players/25609.png,Missing Fixture,Concussion,191,Holstein Kiel,79,2. Bundesliga,2025
1388615,2025-08-02T11:00:00+00:00,201351,Andu Yobel Kelati,https://media.api-sports.io/football/players/201351.png,Missing Fixture,Knee injury,191,Holstein Kiel,79,2. Bundesliga,2025
1388615,2025-08-02T11:00:00+00:00,354091,Anton Bauerle,https://media.api-sports.io/football/players/354091.png,Missing Fixture,Adductor problems,185,SC Paderborn 07,79,2. Bundesliga,2025
1388621,2025-08-02T11:00:00+00:00,24852,Joshua Mees,https://media.api-sports.io/football/players/24852.png,Missing Fixture,Ankle Injury,1313,Preußen Münster,79,2. Bundesliga,2025
1388621,2025-08-02T11:00:00+00:00,347679,Efe-Kaan Sihlaroglu,https://media.api-sports.io/football/players/347679.png,Missing Fixture,Knee Surgery,785,Karlsruher SC,79,2. Bundesliga,2025
1388621,2025-08-02T11:00:00+00:00,203331,Johannes Schenk,https://media.api-sports.io/football/players/203331.png,Missing Fixture,hand injury,1313,Preußen Münster,79,2. Bundesliga,2025
1388618,2025-08-02T11:00:00+00:00,282060,Caspar Jander,https://media.api-sports.io/football/players/282060.png,Missing Fixture,Knee Problems,171,1. FC Nürnberg,79,2. Bundesliga,2025
1388616,2025-08-02T18:30:00+00:00,48537,Roberts Uldrikis,https://media.api-sports.io/football/players/48537.png,Missing Fixture,Ruptured cruciate ligament,188,Arminia Bielefeld,79,2. Bundesliga,2025
1388620,2025-08-03T11:30:00+00:00,127850,Frank Ronstadt,https://media.api-sports.io/football/players/127850.png,Missing Fixture,Strain,745,1. FC Kaiserslautern,79,2. Bundesliga,2025
1388620,2025-08-03T11:30:00+00:00,357341,Fabian Heck,https://media.api-sports.io/football/players/357341.png,Missing Fixture,Navicular Bone Fracture,745,1. FC Kaiserslautern,79,2. Bundesliga,2025
1388619,2025-08-03T11:30:00+00:00,162723,Marco John,https://media.api-sports.io/football/players/162723.png,Missing Fixture,Muscular problems,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388619,2025-08-03T11:30:00+00:00,375983,Sacha Banse,https://media.api-sports.io/football/players/375983.png,Missing Fixture,fitness,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388619,2025-08-03T11:30:00+00:00,432529,Jakob Zickler,https://media.api-sports.io/football/players/432529.png,Missing Fixture,Shoulder injury,183,Dynamo Dresden,79,2. Bundesliga,2025
1388622,2025-08-03T11:30:00+00:00,25246,Tobias Muller,https://media.api-sports.io/football/players/25246.png,Missing Fixture,Knee Problems,179,1. FC Magdeburg,79,2. Bundesliga,2025
1388622,2025-08-03T11:30:00+00:00,314273,Sidney Raebiger,https://media.api-sports.io/football/players/314273.png,Missing Fixture,Torn Meniscus,744,Eintracht Braunschweig,79,2. Bundesliga,2025
1388622,2025-08-03T11:30:00+00:00,22708,Samuel Loric,https://media.api-sports.io/football/players/22708.png,Missing Fixture,Muscle Injury,179,1. FC Magdeburg,79,2. Bundesliga,2025
1388628,2025-08-08T16:30:00+00:00,25925,Jean-Paul Boetius,https://media.api-sports.io/football/players/25925.png,Missing Fixture,Muscle Injury,181,SV Darmstadt 98,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,26101,Marc Lorenz,https://media.api-sports.io/football/players/26101.png,Missing Fixture,Ankle Injury,1313,Preußen Münster,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,40415,Mikkel Kirkeskov,https://media.api-sports.io/football/players/40415.png,Missing Fixture,Calf Problems,1313,Preußen Münster,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,24826,Sven Michel,https://media.api-sports.io/football/players/24826.png,Missing Fixture,Unknown Injury,185,SC Paderborn 07,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,24964,David Kinsombi,https://media.api-sports.io/football/players/24964.png,Missing Fixture,Thigh muscle rupture,185,SC Paderborn 07,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,135513,Oscar Vilhelmsson,https://media.api-sports.io/football/players/135513.png,Missing Fixture,Thigh problems,1313,Preußen Münster,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,342433,Antonio Tikvic,https://media.api-sports.io/football/players/342433.png,Missing Fixture,Ruptured cruciate ligament,1313,Preußen Münster,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,280361,Jakob Korte,https://media.api-sports.io/football/players/280361.png,Missing Fixture,Pubic inflammation,1313,Preußen Münster,79,2. Bundesliga,2025
1388629,2025-08-08T16:30:00+00:00,336220,Leon Tasov,https://media.api-sports.io/football/players/336220.png,Missing Fixture,Thigh problems,1313,Preußen Münster,79,2. Bundesliga,2025
1388625,2025-08-09T11:00:00+00:00,25108,Emmanuel Iyoha,https://media.api-sports.io/football/players/25108.png,Missing Fixture,Torn Muscle Fibre,158,Fortuna Düsseldorf,79,2. Bundesliga,2025
1388625,2025-08-09T11:00:00+00:00,203299,Florian Schock,https://media.api-sports.io/football/players/203299.png,Missing Fixture,rupture of the timpanum,158,Fortuna Düsseldorf,79,2. Bundesliga,2025
1388625,2025-08-09T11:00:00+00:00,339230,Luca Raimund,https://media.api-sports.io/football/players/339230.png,Missing Fixture,fitness,158,Fortuna Düsseldorf,79,2. Bundesliga,2025
1388625,2025-08-09T11:00:00+00:00,427025,King Samuel Manu,https://media.api-sports.io/football/players/427025.png,Missing Fixture,Torn Muscle Fibre,158,Fortuna Düsseldorf,79,2. Bundesliga,2025
1388630,2025-08-09T11:00:00+00:00,22708,Samuel Loric,https://media.api-sports.io/football/players/22708.png,Missing Fixture,Muscle Injury,179,1. FC Magdeburg,79,2. Bundesliga,2025
1388630,2025-08-09T11:00:00+00:00,432529,Jakob Zickler,https://media.api-sports.io/football/players/432529.png,Missing Fixture,Shoulder injury,183,Dynamo Dresden,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,25214,Robin Krausse,https://media.api-sports.io/football/players/25214.png,Missing Fixture,Muscular problems,744,Eintracht Braunschweig,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,162723,Marco John,https://media.api-sports.io/football/players/162723.png,Missing Fixture,Muscular problems,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,314273,Sidney Raebiger,https://media.api-sports.io/football/players/314273.png,Missing Fixture,Torn Meniscus,744,Eintracht Braunschweig,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,375347,Timo Schlieck,https://media.api-sports.io/football/players/375347.png,Missing Fixture,Hamstring Injury,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,375983,Sacha Banse,https://media.api-sports.io/football/players/375983.png,Missing Fixture,fitness,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,322314,Aaron Keller,https://media.api-sports.io/football/players/322314.png,Missing Fixture,fitness,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388624,2025-08-09T11:00:00+00:00,432553,Lukas Reich,https://media.api-sports.io/football/players/432553.png,Missing Fixture,fitness,178,SpVgg Greuther Fürth,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,19262,Tomas Kalas,https://media.api-sports.io/football/players/19262.png,Missing Fixture,fitness,174,FC Schalke 04,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,25466,Kenan Karaman,https://media.api-sports.io/football/players/25466.png,Missing Fixture,Meniscus injur,174,FC Schalke 04,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,26397,Janik Bachmann,https://media.api-sports.io/football/players/26397.png,Missing Fixture,fitness,174,FC Schalke 04,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,127850,Frank Ronstadt,https://media.api-sports.io/football/players/127850.png,Missing Fixture,Strain,745,1. FC Kaiserslautern,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,403697,Zaid Amoussou-Tchibara,https://media.api-sports.io/football/players/403697.png,Missing Fixture,Ruptured cruciate ligament,174,FC Schalke 04,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,380507,Aris Bayindir,https://media.api-sports.io/football/players/380507.png,Missing Fixture,fitness,174,FC Schalke 04,79,2. Bundesliga,2025
1388627,2025-08-09T18:30:00+00:00,357341,Fabian Heck,https://media.api-sports.io/football/players/357341.png,Missing Fixture,Navicular Bone Fracture,745,1. FC Kaiserslautern,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,25397,John Anthony Brooks,https://media.api-sports.io/football/players/25397.png,Missing Fixture,Calf muscle tear,159,Hertha BSC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,25334,Marius Gersbeck,https://media.api-sports.io/football/players/25334.png,Missing Fixture,Shoulder injury,159,Hertha BSC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,25161,Paul Seguin,https://media.api-sports.io/football/players/25161.png,Missing Fixture,Calf Injury,159,Hertha BSC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,178353,Luca Schuler,https://media.api-sports.io/football/players/178353.png,Missing Fixture,fitness,159,Hertha BSC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,347679,Efe-Kaan Sihlaroglu,https://media.api-sports.io/football/players/347679.png,Missing Fixture,Knee Surgery,785,Karlsruher SC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,325689,Noah Rupp,https://media.api-sports.io/football/players/325689.png,Missing Fixture,Unknown Injury,785,Karlsruher SC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,382486,Pascal Klemens,https://media.api-sports.io/football/players/382486.png,Missing Fixture,Ankle Injury,159,Hertha BSC,79,2. Bundesliga,2025
1388626,2025-08-10T11:30:00+00:00,342266,Tim Goller,https://media.api-sports.io/football/players/342266.png,Missing Fixture,Shoulder injury,159,Hertha BSC,79,2. Bundesliga,2025
1388623,2025-08-10T11:30:00+00:00,61411,Erhan Masovic,https://media.api-sports.io/football/players/61411.png,Missing Fixture,Collapsed lung,176,VfL Bochum,79,2. Bundesliga,2025
1388623,2025-08-10T11:30:00+00:00,145059,Moritz-Broni Kwarteng,https://media.api-sports.io/football/players/145059.png,Missing Fixture,Outer ligament problems,176,VfL Bochum,79,2. Bundesliga,2025
1388623,2025-08-10T11:30:00+00:00,26342,Luca Pfeiffer,https://media.api-sports.io/football/players/26342.png,Missing Fixture,Foot surgery,1660,SV Elversberg,79,2. Bundesliga,2025
1388623,2025-08-10T11:30:00+00:00,280368,Samuel Bamba,https://media.api-sports.io/football/players/280368.png,Missing Fixture,Internal ligament strain,176,VfL Bochum,79,2. Bundesliga,2025
1388623,2025-08-10T11:30:00+00:00,392254,Francis Onyeka,https://media.api-sports.io/football/players/392254.png,Missing Fixture,Muscle Injury,176,VfL Bochum,79,2. Bundesliga,2025
1388631,2025-08-10T11:30:00+00:00,25609,Patrick Erras,https://media.api-sports.io/football/players/25609.png,Missing Fixture,Concussion,191,Holstein Kiel,79,2. Bundesliga,2025
1388631,2025-08-10T11:30:00+00:00,48537,Roberts Uldrikis,https://media.api-sports.io/football/players/48537.png,Missing Fixture,Ruptured cruciate ligament,188,Arminia Bielefeld,79,2. Bundesliga,2025
1388631,2025-08-10T11:30:00+00:00,201351,Andu Yobel Kelati,https://media.api-sports.io/football/players/201351.png,Missing Fixture,Knee injury,191,Holstein Kiel,79,2. Bundesliga,2025
