fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,fouls_drawn,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,dribbles_attempts,fouls_committed,shots_total,passes_key,shots_on,goals_total,dribbles_success,dribbles_past,tackles_blocks,offsides,penalty_commited,penalty_won
1388614,FC Schalke 04,174,1972,Loris Karius,https://media.api-sports.io/football/players/1972.png,90.0,1,G,6.6,False,False,1,0.0,2.0,24.0,11,1.0,1.0,1.0,1,0,0,0,0.0,,,,,,,,,,,,,,
1388614,FC Schalke 04,174,266192,Adrian Gantenbein,https://media.api-sports.io/football/players/266192.png,88.0,17,D,6.6,False,False,0,0.0,,27.0,16,10.0,5.0,2.0,1,0,0,0,,3.0,3.0,2.0,3.0,,,,,,,,,,
1388614,FC Schalke 04,174,90977,Timo Becker,https://media.api-sports.io/football/players/90977.png,90.0,5,D,7.3,True,False,0,0.0,,34.0,22,9.0,6.0,,1,0,0,0,,3.0,3.0,,1.0,1.0,1.0,,,,,,,,
1388614,FC Schalke 04,174,1741,Nikola Katić,https://media.api-sports.io/football/players/1741.png,90.0,25,D,8,False,False,0,0.0,,31.0,22,10.0,8.0,1.0,2,1,0,0,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,
1388614,FC Schalke 04,174,405691,Felipe Sánchez,https://media.api-sports.io/football/players/405691.png,88.0,2,D,6.9,False,False,0,0.0,,14.0,9,6.0,4.0,,1,0,0,0,,1.0,1.0,,1.0,,,,,,,,,,
1388614,FC Schalke 04,174,361411,Vitalie Becker,https://media.api-sports.io/football/players/361411.png,90.0,33,D,7,False,False,0,0.0,,27.0,14,8.0,5.0,,0,0,0,0,,4.0,2.0,,2.0,,,,,,,,,,
1388614,FC Schalke 04,174,356492,Peter Remmert,https://media.api-sports.io/football/players/356492.png,61.0,39,M,6.9,False,False,0,1.0,,8.0,7,21.0,6.0,1.0,0,0,0,0,,1.0,,,2.0,3.0,3.0,1.0,,,,,,,
1388614,FC Schalke 04,174,88140,Ron Schallenberg,https://media.api-sports.io/football/players/88140.png,90.0,6,M,7.5,False,False,0,0.0,,35.0,27,14.0,10.0,2.0,0,0,0,0,,3.0,2.0,,3.0,1.0,,,,,,,,,
1388614,FC Schalke 04,174,280090,Soufian El-Faouzi,https://media.api-sports.io/football/players/280090.png,90.0,23,M,7.2,False,False,0,0.0,,31.0,26,15.0,7.0,1.0,0,0,0,0,,6.0,1.0,3.0,2.0,,2.0,,,,2.0,,,,
1388614,FC Schalke 04,174,24815,Christopher Antwi-Adjei,https://media.api-sports.io/football/players/24815.png,77.0,18,M,7.3,False,False,0,1.0,,14.0,11,9.0,5.0,2.0,1,0,0,0,,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,2.0,,,,
1388614,FC Schalke 04,174,115,Moussa Sylla,https://media.api-sports.io/football/players/115.png,77.0,9,F,7.5,False,False,0,0.0,,15.0,11,5.0,3.0,1.0,0,0,0,0,,,,2.0,,5.0,,4.0,1.0,2.0,,,,,
1388614,FC Schalke 04,174,380854,Max Grüger,https://media.api-sports.io/football/players/380854.png,29.0,37,M,6.3,False,True,0,0.0,,2.0,,2.0,1.0,,0,0,0,0,,,,,1.0,,,,,,,,,,
1388614,FC Schalke 04,174,24228,Bryan Lasme,https://media.api-sports.io/football/players/24228.png,14.0,11,F,6.2,False,True,0,0.0,,2.0,2,5.0,1.0,,0,0,0,0,,,,1.0,,,,,,,1.0,,,,
1388614,FC Schalke 04,174,339875,Emil Højlund,https://media.api-sports.io/football/players/339875.png,14.0,15,F,6.6,False,True,0,0.0,,5.0,5,6.0,3.0,1.0,0,0,0,0,,,,,1.0,,,,,,,,,,
1388614,FC Schalke 04,174,394663,Taylan Bulut,https://media.api-sports.io/football/players/394663.png,11.0,31,D,6.2,False,True,0,0.0,,1.0,1,3.0,1.0,,0,0,0,0,,,,,,,,,,,,,,,
1388614,FC Schalke 04,174,361362,Mertcan Ayhan,https://media.api-sports.io/football/players/361362.png,11.0,43,D,6.3,False,True,0,0.0,,2.0,1,1.0,,,0,0,0,0,,,,,,,,,,,,,,,
1388614,FC Schalke 04,174,106792,Justin Heekeren,https://media.api-sports.io/football/players/106792.png,,28,G,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1388614,FC Schalke 04,174,178375,Henning Matriciani,https://media.api-sports.io/football/players/178375.png,,41,D,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1388614,FC Schalke 04,174,367972,Mauro Zalazar,https://media.api-sports.io/football/players/367972.png,,16,M,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1388614,FC Schalke 04,174,323581,Ilyes Hamache,https://media.api-sports.io/football/players/323581.png,,24,F,,False,True,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,
1388614,Hertha BSC,159,203380,Tjark Ernst,https://media.api-sports.io/football/players/203380.png,90.0,1,G,6.6,False,False,2,0.0,3.0,39.0,33,1.0,1.0,1.0,0,0,0,0,0.0,,,,,,,,,,,,,,
