rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,6,6,2. Bundesliga,WW,same,Promotion - Bundesliga,2,2,0,0,7,1,1,1,0,0,5,1,1,1,0,0,2,0
2,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,6,4,2. Bundesliga,WW,same,Promotion - Bundesliga,2,2,0,0,5,1,1,1,0,0,4,1,1,1,0,0,1,0
3,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,6,3,2. Bundesliga,WW,same,Promotion - Bundesliga (Promotion: ),2,2,0,0,3,0,1,1,0,0,1,0,1,1,0,0,2,0
4,744,Eintracht Braunschweig,https://media.api-sports.io/football/teams/744.png,6,2,2. Bundesliga,WW,same,,2,2,0,0,4,2,1,1,0,0,3,2,1,1,0,0,1,0
5,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,4,1,2. Bundesliga,DW,same,,2,1,1,0,3,2,1,1,0,0,3,2,1,0,1,0,0,0
6,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,4,1,2. Bundesliga,DW,same,,2,1,1,0,3,2,1,1,0,0,2,1,1,0,1,0,1,1
7,178,SpVgg Greuther Fürth,https://media.api-sports.io/football/teams/178.png,3,0,2. Bundesliga,LW,same,,2,1,0,1,5,5,1,1,0,0,3,2,1,0,0,1,2,3
8,179,1. FC Magdeburg,https://media.api-sports.io/football/teams/179.png,3,0,2. Bundesliga,WL,same,,2,1,0,1,2,2,1,0,0,1,0,1,1,1,0,0,2,1
9,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,3,0,2. Bundesliga,LW,same,,2,1,0,1,2,2,1,1,0,0,2,1,1,0,0,1,0,1
10,745,1. FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,3,0,2. Bundesliga,WL,same,,2,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1
11,176,VfL Bochum,https://media.api-sports.io/football/teams/176.png,3,-1,2. Bundesliga,WL,same,,2,1,0,1,3,4,1,1,0,0,2,0,1,0,0,1,1,4
12,1660,SV Elversberg,https://media.api-sports.io/football/teams/1660.png,3,-1,2. Bundesliga,LW,same,,2,1,0,1,1,2,1,1,0,0,1,0,1,0,0,1,0,2
13,1313,Preußen Münster,https://media.api-sports.io/football/teams/1313.png,1,-1,2. Bundesliga,DL,same,,2,0,1,1,3,4,1,0,1,0,1,1,1,0,0,1,2,3
14,159,Hertha BSC,https://media.api-sports.io/football/teams/159.png,1,-1,2. Bundesliga,DL,same,,2,0,1,1,1,2,1,0,1,0,0,0,1,0,0,1,1,2
15,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,0,-2,2. Bundesliga,LL,same,,2,0,0,2,3,5,1,0,0,1,1,2,1,0,0,1,2,3
16,171,1. FC Nürnberg,https://media.api-sports.io/football/teams/171.png,0,-2,2. Bundesliga,LL,same,2. Bundesliga (Relegation),2,0,0,2,0,2,1,0,0,1,0,1,1,0,0,1,0,1
17,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,0,-3,2. Bundesliga,LL,same,Relegation - 3. Liga,2,0,0,2,1,4,1,0,0,1,0,2,1,0,0,1,1,2
18,158,Fortuna Düsseldorf,https://media.api-sports.io/football/teams/158.png,0,-6,2. Bundesliga,LL,same,Relegation - 3. Liga,2,0,0,2,1,7,1,0,0,1,0,2,1,0,0,1,1,5
