fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1388614,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,6,6,14,2,9,5,19,5,0,37%,7,1,2,272,185,68%,,
1388614,159,Hertha BSC,https://media.api-sports.io/football/teams/159.png,3,6,9,0,5,4,12,10,2,63%,1,0,3,466,367,79%,,
1388617,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,7,7,20,6,16,4,12,5,1,43%,2,,2,324,243,75%,,
1388617,176,VfL Bochum,https://media.api-sports.io/football/teams/176.png,3,6,10,1,7,3,13,8,2,57%,3,,3,428,350,82%,,
1388615,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,3,2,9,4,4,5,13,3,3,47%,1,,1,412,312,76%,,
1388615,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,2,4,7,1,2,5,12,0,1,53%,3,,1,473,379,80%,,
1388621,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,4,5,13,4,9,4,17,6,1,32%,3,0,1,285,209,73%,,
1388621,1313,Preußen Münster,https://media.api-sports.io/football/teams/1313.png,3,3,11,5,6,5,17,5,2,68%,3,1,0,654,585,89%,,
1388618,1660,SV Elversberg,https://media.api-sports.io/football/teams/1660.png,4,5,12,3,6,6,16,2,2,55%,2,,4,466,412,88%,,
1388618,171,1. FC Nürnberg,https://media.api-sports.io/football/teams/171.png,4,5,11,2,7,4,23,4,1,45%,3,,3,375,313,83%,,
1388616,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,9,4,15,2,9,6,12,8,3,64%,4,0,1,547,460,84%,,
1388616,158,Fortuna Düsseldorf,https://media.api-sports.io/football/teams/158.png,3,6,11,2,7,4,14,3,4,36%,4,1,3,304,224,74%,,
1388620,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,5,6,14,3,10,4,13,5,1,62%,2,,0,541,458,85%,,
1388620,745,1. FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,0,6,9,3,5,4,14,5,0,38%,3,,4,316,220,70%,,
1388619,178,SpVgg Greuther Fürth,https://media.api-sports.io/football/teams/178.png,5,4,10,1,8,2,8,4,1,31%,1,,2,235,164,70%,,
1388619,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,4,12,21,5,10,11,11,10,3,69%,0,,2,515,458,89%,,
1388622,179,1. FC Magdeburg,https://media.api-sports.io/football/teams/179.png,3,8,19,8,13,6,17,12,0,67%,4,0,3,529,460,87%,,
1388622,744,Eintracht Braunschweig,https://media.api-sports.io/football/teams/744.png,4,2,9,3,1,8,11,2,1,33%,1,1,2,276,198,72%,,
1388628,171,1. FC Nürnberg,https://media.api-sports.io/football/teams/171.png,3,7,12,2,6,6,11,4,2,47%,2,,3,368,295,80%,,
1388628,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,5,7,14,2,5,9,15,5,1,53%,2,,3,409,340,83%,,
1388629,1313,Preußen Münster,https://media.api-sports.io/football/teams/1313.png,3,2,7,2,4,3,10,5,1,56%,,,7,529,452,85%,,
1388629,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,8,3,16,5,13,3,17,5,2,44%,,,2,390,324,83%,,
1388625,158,Fortuna Düsseldorf,https://media.api-sports.io/football/teams/158.png,1,6,9,2,4,5,18,5,1,53%,6,,1,446,380,85%,,
1388625,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,3,6,10,1,8,2,14,2,5,47%,4,,1,406,354,87%,,
1388630,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,2,8,23,13,16,7,10,6,1,60%,1,,3,469,385,82%,,
1388630,179,1. FC Magdeburg,https://media.api-sports.io/football/teams/179.png,6,1,9,2,7,2,14,5,2,40%,3,,1,322,252,78%,,
1388624,744,Eintracht Braunschweig,https://media.api-sports.io/football/teams/744.png,4,2,9,3,6,3,11,3,4,40%,2,,2,299,245,82%,,
1388624,178,SpVgg Greuther Fürth,https://media.api-sports.io/football/teams/178.png,4,5,20,11,8,12,11,9,0,60%,3,,1,450,397,88%,,
1388627,745,1. FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,2,6,11,3,6,5,8,5,3,55%,4,,4,411,305,74%,,
1388627,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,4,4,9,1,5,4,16,3,2,45%,4,,1,331,225,68%,,
1388626,159,Hertha BSC,https://media.api-sports.io/football/teams/159.png,4,8,15,3,8,7,8,5,1,51%,0,,2,436,361,83%,,
1388626,785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,2,11,19,6,13,6,11,10,2,49%,1,,4,406,325,80%,,
1388623,176,VfL Bochum,https://media.api-sports.io/football/teams/176.png,6,5,16,5,14,2,24,10,1,58%,8,0,1,391,334,85%,,
1388623,1660,SV Elversberg,https://media.api-sports.io/football/teams/1660.png,1,2,3,0,3,0,11,0,2,42%,5,1,5,298,233,78%,,
1388631,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,7,7,15,1,7,8,13,9,3,59%,0,0,1,452,364,81%,,
1388631,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,4,12,4,7,5,15,7,1,41%,6,1,7,316,227,72%,,
