fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
587176,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,12,6,21,3,17,4,11,9,3,62%,1,,1,604,539,89%
587176,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,1,2,5,2,3,2,12,2,3,38%,2,,3,361,268,74%
587183,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,6,7,16,3,8,8,13,7,,44%,2,,2,334,232,69%
587183,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,6,6,13,1,12,1,17,4,,56%,0,,5,431,341,79%
587180,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,6,6,18,6,12,6,14,14,2,62%,2,,3,533,425,80%
587180,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,5,12,3,5,7,13,3,1,38%,2,,5,331,231,70%
587184,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,7,10,26,9,17,9,12,7,0,64%,2,,2,551,455,83%
587184,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,6,0,7,1,6,1,16,2,3,36%,2,,4,308,216,70%
587181,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,3,6,15,6,8,7,9,8,4,58%,2,,2,533,433,81%
587181,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,5,1,9,3,7,2,9,1,1,42%,0,,2,386,286,74%
587182,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,6,6,13,1,10,3,12,1,0,49%,3,,4,446,356,80%
587182,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,7,5,13,1,8,5,13,6,2,51%,4,,4,456,358,79%
587177,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,4,3,10,3,9,1,10,1,2,47%,1,,2,530,462,87%
587177,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,2,2,8,4,4,4,9,3,2,53%,1,,1,585,515,88%
587178,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,10,10,23,3,20,3,5,7,1,72%,1,,0,746,662,89%
587178,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,1,4,9,4,6,3,11,5,3,28%,2,,6,268,195,73%
587179,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,1,4,9,4,6,3,14,4,3,40%,1,,3,390,289,74%
587179,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,3,2,7,2,6,1,12,4,3,60%,2,,1,576,468,81%
587189,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,6,4,12,2,7,5,13,4,1,56%,3,,0,484,406,84%
587189,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,7,11,1,7,4,16,3,0,44%,4,,6,381,289,76%
587185,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,6,3,14,5,12,2,11,7,4,62%,1,,1,633,533,84%
587185,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,2,8,14,4,9,5,16,5,0,38%,2,,5,372,270,73%
587191,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,2,5,12,5,6,6,9,3,1,49%,2,1,3,425,338,80%
587191,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,7,6,15,2,13,2,17,9,0,51%,4,1,1,441,353,80%
587186,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,4,6,11,1,7,4,16,4,6,59%,1,,1,559,464,83%
587186,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,2,5,7,0,4,3,10,1,0,41%,3,,3,380,268,71%
587192,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,4,2,6,0,5,1,7,3,3,20%,3,,6,204,133,65%
587192,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,6,7,18,5,13,5,8,11,0,80%,4,,2,817,745,91%
587193,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,2,3,7,2,1,6,12,4,1,47%,3,,2,404,337,83%
587193,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,2,4,12,6,9,3,16,7,0,53%,3,,1,444,354,80%
587190,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,4,4,18,10,9,9,20,8,2,65%,7,1,4,502,379,75%
587190,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,7,6,17,4,12,5,14,3,3,35%,2,0,3,257,133,52%
587187,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,8,4,17,5,14,3,15,3,1,28%,3,,2,247,154,62%
587187,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,3,9,16,4,13,3,10,6,5,72%,2,,4,628,534,85%
587188,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,7,6,19,6,11,8,11,9,3,53%,0,,1,423,333,79%
587188,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,2,5,8,1,3,5,13,1,0,47%,3,,6,389,299,77%
587199,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,7,3,11,1,9,2,13,4,2,50%,1,,0,488,387,79%
587199,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,0,2,5,3,2,3,11,2,1,50%,4,,3,478,372,78%
587201,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,2,4,7,1,3,4,12,2,6,36%,2,,4,318,228,72%
587201,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,4,9,1,5,4,16,1,2,64%,2,,1,565,465,82%
