fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_past,tackles_blocks,dribbles_success,fouls_drawn,fouls_committed,shots_on,offsides,goals_assists,goals_total,penalty_commited,penalty_won
719349,Borussia Monchengladbach,163,2802,Yann Sommer,https://media.api-sports.io/football/players/2802.png,90.0,1,G,8.5,False,False,1,8.0,35.0,19,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
719349,Borussia Monchengladbach,163,1082,Stefan Lainer,https://media.api-sports.io/football/players/1082.png,90.0,18,D,6.3,False,False,0,,31.0,22,0,0,0,0,,1.0,1.0,1.0,1.0,8.0,3.0,1.0,3.0,,,,,,,,,,
719349,Borussia Monchengladbach,163,2915,Matthias Ginter,https://media.api-sports.io/football/players/2915.png,90.0,28,D,7,False,False,0,,20.0,13,0,0,0,0,,,,1.0,3.0,10.0,5.0,,,1.0,,,,,,,,,
719349,Borussia Monchengladbach,163,2803,Nico Elvedi,https://media.api-sports.io/football/players/2803.png,90.0,30,D,6.9,False,False,0,,32.0,25,0,0,0,0,,1.0,1.0,,2.0,3.0,1.0,,1.0,2.0,,,,,,,,,
719349,Borussia Monchengladbach,163,50852,Joseph Scally,https://media.api-sports.io/football/players/50852.png,90.0,29,D,7,False,False,0,,26.0,21,0,0,0,0,,,,2.0,3.0,11.0,8.0,3.0,2.0,,2.0,2.0,,,,,,,
719349,Borussia Monchengladbach,163,25637,Christoph Kramer,https://media.api-sports.io/football/players/25637.png,90.0,6,M,6.9,False,False,0,,35.0,20,0,0,0,0,,,,4.0,,11.0,7.0,2.0,1.0,,2.0,,1.0,,,,,,
719349,Borussia Monchengladbach,163,25638,Florian Neuhaus,https://media.api-sports.io/football/players/25638.png,89.0,32,M,7.7,False,False,0,,29.0,24,1,0,0,0,,1.0,,4.0,4.0,9.0,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,
719349,Borussia Monchengladbach,163,25644,Patrick Herrmann,https://media.api-sports.io/football/players/25644.png,64.0,7,M,6.9,False,False,0,,21.0,15,0,0,0,0,,1.0,2.0,4.0,2.0,14.0,6.0,1.0,3.0,,,1.0,1.0,,2.0,,,,
719349,Borussia Monchengladbach,163,25639,Lars Stindl,https://media.api-sports.io/football/players/25639.png,90.0,13,M,6.9,True,False,0,,34.0,28,1,0,0,0,,3.0,1.0,2.0,1.0,15.0,5.0,2.0,3.0,,2.0,,1.0,1.0,,1.0,,,
719349,Borussia Monchengladbach,163,1103,Hannes Wolf,https://media.api-sports.io/football/players/1103.png,72.0,11,M,6.9,False,False,0,,21.0,12,0,0,0,0,,1.0,,11.0,,24.0,11.0,3.0,5.0,,,,2.0,1.0,,,,,
719349,Borussia Monchengladbach,163,25646,Alassane Pléa,https://media.api-sports.io/football/players/25646.png,64.0,14,F,7.2,False,False,0,,24.0,19,0,0,0,0,,1.0,1.0,,1.0,9.0,4.0,2.0,,,,1.0,,1.0,1.0,,1.0,,
719349,Borussia Monchengladbach,163,25627,Tobias Sippel,https://media.api-sports.io/football/players/25627.png,,21,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Borussia Monchengladbach,163,25630,Tony Jantschke,https://media.api-sports.io/football/players/25630.png,,24,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Borussia Monchengladbach,163,25628,Jordan Beyer,https://media.api-sports.io/football/players/25628.png,,15,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719349,Borussia Monchengladbach,163,163069,Luca Netz,https://media.api-sports.io/football/players/163069.png,,20,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
