fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,offsides,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,shots_total,fouls_committed,fouls_drawn,shots_on,passes_key,goals_total,goals_assists,penalty_won,penalty_commited
871164,Eintracht Frankfurt,169,1800,Kevin Trapp,https://media.api-sports.io/football/players/1800.png,90.0,1,G,5.6,False,False,6,4.0,27.0,20,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
871164,Eintracht Frankfurt,169,1811,Almamy Touré,https://media.api-sports.io/football/players/1811.png,90.0,18,D,6.2,False,False,0,,46.0,33,0,0,0,0,,1.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,,,,,,,,,
871164,Eintracht Frankfurt,169,1809,Tuta,https://media.api-sports.io/football/players/1809.png,81.0,35,D,6.5,False,False,0,,36.0,32,0,0,0,0,,,,2.0,3.0,3.0,1.0,,,1.0,1.0,1.0,,,,,,,
871164,Eintracht Frankfurt,169,1807,Evan Ndicka,https://media.api-sports.io/football/players/1807.png,90.0,2,D,6.2,False,False,0,,38.0,35,1,0,0,0,,,,3.0,2.0,5.0,2.0,,,1.0,,2.0,1.0,,,,,,
871164,Eintracht Frankfurt,169,161922,Ansgar Knauff,https://media.api-sports.io/football/players/161922.png,90.0,36,M,6.5,False,False,0,,40.0,19,0,0,0,0,,,4.0,,,10.0,6.0,4.0,2.0,1.0,3.0,1.0,,1.0,1.0,,,,
871164,Eintracht Frankfurt,169,1822,Sebastian Rode,https://media.api-sports.io/football/players/1822.png,45.0,17,M,6,True,False,0,,14.0,12,0,0,0,0,,,1.0,,1.0,5.0,2.0,1.0,,,,1.0,1.0,,,,,,
871164,Eintracht Frankfurt,169,957,Djibril Sow,https://media.api-sports.io/football/players/957.png,90.0,8,M,6.3,False,False,0,,35.0,30,0,0,0,0,,,,,2.0,4.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,
871164,Eintracht Frankfurt,169,1821,Filip Kostić,https://media.api-sports.io/football/players/1821.png,74.0,10,M,6.5,False,False,0,,26.0,18,1,0,0,0,,,2.0,,1.0,7.0,4.0,2.0,1.0,,,1.0,1.0,,1.0,,,,
871164,Eintracht Frankfurt,169,15884,Jesper Lindstrøm,https://media.api-sports.io/football/players/15884.png,45.0,29,F,5.9,False,False,0,,12.0,10,0,0,0,0,,,,,,6.0,1.0,3.0,,,1.0,,,,,,,,
871164,Eintracht Frankfurt,169,16,Mario Götze,https://media.api-sports.io/football/players/16.png,90.0,27,F,6.6,False,False,0,,30.0,21,0,0,0,0,,1.0,3.0,,,14.0,8.0,5.0,1.0,1.0,,,4.0,,1.0,,,,
871164,Eintracht Frankfurt,169,6011,Rafael Santos Borré,https://media.api-sports.io/football/players/6011.png,45.0,19,F,6.7,False,False,0,,9.0,8,0,0,0,0,,1.0,,,1.0,6.0,4.0,4.0,3.0,,,,1.0,,,,,,
871164,Eintracht Frankfurt,169,24894,Diant Ramaj,https://media.api-sports.io/football/players/24894.png,,40,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Eintracht Frankfurt,169,1819,Makoto Hasebe,https://media.api-sports.io/football/players/1819.png,9.0,20,D,6.2,False,True,0,,3.0,2,0,0,0,0,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,
871164,Eintracht Frankfurt,169,24841,Christopher Lenz,https://media.api-sports.io/football/players/24841.png,45.0,25,D,7.2,False,True,0,,22.0,20,0,0,0,0,,,3.0,,2.0,5.0,4.0,,,,,1.0,1.0,,,,,,
871164,Eintracht Frankfurt,169,1803,Timothy Chandler,https://media.api-sports.io/football/players/1803.png,,22,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Eintracht Frankfurt,169,14395,Kristijan Jakić,https://media.api-sports.io/football/players/14395.png,45.0,6,M,6.7,False,True,0,,11.0,7,0,0,0,0,,1.0,2.0,,1.0,5.0,3.0,,,1.0,,1.0,1.0,,1.0,,,,
871164,Eintracht Frankfurt,169,982,Lucas Alario,https://media.api-sports.io/football/players/982.png,,21,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Eintracht Frankfurt,169,177745,Faride Alidou,https://media.api-sports.io/football/players/177745.png,16.0,11,F,6.3,False,True,0,,3.0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Eintracht Frankfurt,169,2601,Daichi Kamada,https://media.api-sports.io/football/players/2601.png,,15,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Eintracht Frankfurt,169,21104,Randal Kolo Muani,https://media.api-sports.io/football/players/21104.png,45.0,9,F,6.9,False,True,0,,7.0,5,0,0,0,0,,,,,,7.0,2.0,3.0,,,2.0,,1.0,1.0,,1.0,,,
871164,Bayern Munich,157,497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,90.0,1,G,5.9,True,False,1,1.0,37.0,34,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
871164,Bayern Munich,157,2725,Benjamin Pavard,https://media.api-sports.io/football/players/2725.png,82.0,5,D,7.7,False,False,0,,58.0,50,0,0,0,0,,1.0,1.0,1.0,4.0,6.0,2.0,,,,1.0,2.0,1.0,1.0,,1.0,,,
871164,Bayern Munich,157,1149,Dayot Upamecano,https://media.api-sports.io/football/players/1149.png,90.0,2,D,7,False,False,0,,97.0,85,0,0,0,0,,,5.0,,,11.0,7.0,,,3.0,,,,,1.0,,,,
871164,Bayern Munich,157,33,Lucas Hernández,https://media.api-sports.io/football/players/33.png,82.0,21,D,7,False,False,0,,82.0,78,0,0,0,0,,,1.0,,,4.0,2.0,,,,,2.0,1.0,,1.0,,,,
871164,Bayern Munich,157,509,Alphonso Davies,https://media.api-sports.io/football/players/509.png,90.0,19,D,6.5,False,False,0,,50.0,45,0,0,0,0,,,2.0,,3.0,11.0,4.0,5.0,1.0,,,,1.0,,,,,,
871164,Bayern Munich,157,522,Thomas Müller,https://media.api-sports.io/football/players/522.png,65.0,25,M,7.9,False,False,0,,33.0,24,0,0,0,0,,,,,,3.0,1.0,,,1.0,1.0,,1.0,,3.0,,2.0,,
871164,Bayern Munich,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90.0,6,M,8.3,False,False,0,,79.0,68,0,0,0,0,,,2.0,,2.0,7.0,4.0,,,1.0,2.0,1.0,1.0,2.0,4.0,1.0,,,
871164,Bayern Munich,157,1159,Marcel Sabitzer,https://media.api-sports.io/football/players/1159.png,57.0,18,M,7.5,False,False,0,,29.0,27,0,0,0,0,,,6.0,,1.0,6.0,6.0,,,,,,,,,,,,
871164,Bayern Munich,157,181812,Jamal Musiala,https://media.api-sports.io/football/players/181812.png,90.0,42,M,9,False,False,0,,34.0,27,0,0,0,0,,,2.0,,,16.0,9.0,6.0,5.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,,,
871164,Bayern Munich,157,304,Sadio Mané,https://media.api-sports.io/football/players/304.png,90.0,17,F,6.5,False,False,0,,23.0,18,0,0,0,0,,1.0,,,,7.0,1.0,3.0,1.0,3.0,4.0,1.0,,2.0,2.0,1.0,,,
871164,Bayern Munich,157,510,Serge Gnabry,https://media.api-sports.io/football/players/510.png,65.0,7,F,8.2,False,False,0,,30.0,25,0,0,0,0,,1.0,1.0,,,5.0,2.0,,,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,,
871164,Bayern Munich,157,498,Sven Ulreich,https://media.api-sports.io/football/players/498.png,,26,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Bayern Munich,157,125171,Josip Stanišić,https://media.api-sports.io/football/players/125171.png,,44,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Bayern Munich,157,532,Matthijs de Ligt,https://media.api-sports.io/football/players/532.png,8.0,4,D,6.7,False,True,0,,8.0,8,0,0,0,0,,,,,1.0,1.0,,,,,,1.0,,,,,,,
871164,Bayern Munich,157,545,Noussair Mazraoui,https://media.api-sports.io/football/players/545.png,8.0,40,D,6.3,False,True,0,,8.0,8,0,0,0,0,,,,,,3.0,1.0,,,,1.0,2.0,1.0,,,,,,
871164,Bayern Munich,157,133110,Tanguy Nianzou,https://media.api-sports.io/football/players/133110.png,,23,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871164,Bayern Munich,157,542,Ryan Gravenberch,https://media.api-sports.io/football/players/542.png,33.0,38,M,6.7,False,True,0,,31.0,29,0,0,0,0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
871164,Bayern Munich,157,644,Leroy Sané,https://media.api-sports.io/football/players/644.png,25.0,10,F,7.2,False,True,0,,15.0,13,0,0,0,0,,,,,,3.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,
871164,Bayern Munich,157,270510,Mathys Tel,https://media.api-sports.io/football/players/270510.png,25.0,39,F,6.6,False,True,0,,11.0,9,0,0,0,0,,,,,,1.0,,,,,,,,,2.0,,,,
871164,Bayern Munich,157,70100,Joshua Zirkzee,https://media.api-sports.io/football/players/70100.png,,32,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,VfL Wolfsburg,161,2918,Koen Casteels,https://media.api-sports.io/football/players/2918.png,90.0,1,G,6.2,False,False,2,3.0,25.0,17,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
871169,VfL Wolfsburg,161,25917,Ridle Baku,https://media.api-sports.io/football/players/25917.png,76.0,20,D,6.2,False,False,0,,56.0,46,0,0,0,0,,,1.0,,,4.0,1.0,,,3.0,2.0,,,,1.0,,,,
871169,VfL Wolfsburg,161,1408,Sebastiaan Bornauw,https://media.api-sports.io/football/players/1408.png,90.0,3,D,6.6,False,False,0,,62.0,50,0,0,0,0,,,2.0,,1.0,6.0,4.0,1.0,,,,,,,,,,,
871169,VfL Wolfsburg,161,20995,Maxence Lacroix,https://media.api-sports.io/football/players/20995.png,90.0,4,D,6.7,False,False,0,,60.0,52,0,0,0,0,,,,1.0,1.0,9.0,4.0,,,2.0,,,1.0,,,,,,
871169,VfL Wolfsburg,161,152849,Micky van de Ven,https://media.api-sports.io/football/players/152849.png,90.0,5,D,6.9,False,False,0,,71.0,61,1,0,0,0,,,3.0,1.0,1.0,11.0,8.0,3.0,3.0,1.0,,1.0,1.0,,,,,,
871169,VfL Wolfsburg,161,30484,Mattias Svanberg,https://media.api-sports.io/football/players/30484.png,45.0,32,M,6.5,False,False,0,,16.0,8,0,0,0,0,,,1.0,,1.0,8.0,4.0,1.0,1.0,,,,1.0,,,,,,
871169,VfL Wolfsburg,161,25408,Maximilian Arnold,https://media.api-sports.io/football/players/25408.png,90.0,27,M,8.3,True,False,0,,56.0,43,0,0,0,0,,,4.0,,1.0,10.0,8.0,2.0,2.0,,1.0,1.0,2.0,,2.0,,,,
871169,VfL Wolfsburg,161,126642,Patrick Wimmer,https://media.api-sports.io/football/players/126642.png,67.0,39,M,7,False,False,0,,29.0,21,0,0,0,0,,,2.0,,1.0,14.0,5.0,4.0,3.0,2.0,1.0,2.0,,,1.0,,1.0,,
871169,VfL Wolfsburg,161,2762,Josip Brekalo,https://media.api-sports.io/football/players/2762.png,56.0,14,M,6.2,False,False,0,,38.0,29,0,0,0,0,,,,,,6.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,
871169,VfL Wolfsburg,161,81573,Omar Marmoush,https://media.api-sports.io/football/players/81573.png,67.0,33,M,6.2,False,False,0,,26.0,16,0,0,0,0,,,1.0,,1.0,21.0,10.0,6.0,3.0,1.0,,2.0,4.0,,,,,,
871169,VfL Wolfsburg,161,19461,Lukas Nmecha,https://media.api-sports.io/football/players/19461.png,90.0,10,F,7.5,False,False,0,,25.0,19,1,0,0,0,,1.0,,,1.0,9.0,5.0,5.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,
871169,VfL Wolfsburg,161,25396,Pavao Pervan,https://media.api-sports.io/football/players/25396.png,,12,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,VfL Wolfsburg,161,14704,Bartol Franjić,https://media.api-sports.io/football/players/14704.png,,38,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,VfL Wolfsburg,161,25208,Paulo Otávio,https://media.api-sports.io/football/players/25208.png,,6,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,VfL Wolfsburg,161,25410,Josuha Guilavogui,https://media.api-sports.io/football/players/25410.png,45.0,29,M,7.3,False,True,0,,25.0,21,0,0,0,0,,,,,1.0,8.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,
871169,VfL Wolfsburg,161,40560,Jakub Kamiński,https://media.api-sports.io/football/players/40560.png,23.0,16,M,6.5,False,True,0,,16.0,8,0,0,0,0,,,1.0,,,3.0,2.0,,,,2.0,,1.0,1.0,,,,,
871169,VfL Wolfsburg,161,127413,Aster Vranckx,https://media.api-sports.io/football/players/127413.png,,8,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
871169,VfL Wolfsburg,161,1302,Jonas Wind,https://media.api-sports.io/football/players/1302.png,34.0,23,F,6.7,False,True,0,,18.0,13,0,0,0,0,,,,,,6.0,4.0,,,1.0,,,2.0,,,,,,
871169,VfL Wolfsburg,161,25329,Max Kruse,https://media.api-sports.io/football/players/25329.png,14.0,9,F,6.9,False,True,0,,9.0,7,0,0,0,0,,,,1.0,,1.0,,,,,,,,,1.0,,,,
871169,VfL Wolfsburg,161,26260,Luca Waldschmidt,https://media.api-sports.io/football/players/26260.png,23.0,7,F,6.3,False,True,0,,8.0,8,0,0,0,0,,,,,2.0,2.0,,,,,,1.0,,,,,,,
871169,Werder Bremen,162,25310,Jiří Pavlenka,https://media.api-sports.io/football/players/25310.png,90.0,1,G,6.2,False,False,2,1.0,32.0,14,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
871169,Werder Bremen,162,25011,Amos Pieper,https://media.api-sports.io/football/players/25011.png,90.0,5,D,7.3,False,False,0,,31.0,19,1,0,0,0,,,2.0,2.0,2.0,12.0,7.0,,,1.0,,2.0,,,,,,,
871169,Werder Bremen,162,2821,Miloš Veljković,https://media.api-sports.io/football/players/2821.png,90.0,13,D,6.3,False,False,0,,22.0,15,0,0,0,0,,,1.0,,4.0,4.0,3.0,,,1.0,,,,,,,,,
